"Category","Total"
Afganistán,1646376.01
Albania,5326006.43
Argelia,1163610478.5
Angola,36826855.99
Antigua y Barbuda,271189.73
Azerbaiján,1560372.68
Australia,516589634.89
Austria,12640235.68
Bahamas,40989472.08
Bahrein,3954324.48
Bangladesh,489732449.37
Armenia,8100675.57
Barbados,762573.38
Bélgica,387508684.62
Bolivia,562974038.98
Bosnia y Herzegovina,3707021.93
Botswana,141024
Belice,320722.75
Salomón, Islas,75370
Brunei Darussalam,6974886.06
Bulgaria,38564937.47
Myanmar,7515389.28
Burundi,356000
Bielorrusia,20022235.27
Camboya,17125765.83
Camerún, República Unida del,25146117.61
Canadá,1147785166.14
Cabo Verde,2033869.74
República Centroafricana,695389.57
Sri Lanka,3816940.17
Chad,134554.28
Chile,2306087499.66
China,4433497800.73
Taiwán,81294930.22
Colombia,528150724.64
Comoras,2096070
República del Congo,12751465.01
República Democrática del Congo,11080630.23
Costa Rica,48290647.07
Croacia,77661631.78
Cuba,324237712.66
Chipre,30937833.73
República Checa,88748699.47
Benin,2880430.09
Dinamarca,236456284.83
Dominica,198411.64
República Dominicana,143863497.93
Ecuador,241349621
El Salvador,12790216.21
Guinea Ecuatorial,2468885.58
Etiopía,1390458.39
Eritrea,68477.5
Estonia,4000237.11
Fiji,353225.01
Finlandia,147524598.79
Francia,367723297.9
Djibouti,427093.19
Gabón,5539164.03
Georgia,2113613.99
Gambia,2738459.47
Territorios Autónomos de Palestina,2466117.2
Alemania,1271520126.47
Ghana,43861964.07
Gibraltar,149939.4
Grecia,124386427.01
Granada,305039.15
Guatemala,72115501.86
Guinea,689661.3
Guyana,2661510.6
Haití,6198810.23
Vaticano, Ciudad del,1400
Honduras,20774770.25
Hong Kong,235333162.86
Hungría,9569603.89
Islandia,1980604.91
India,2202687501.91
Indonesia,1243342508.36
Irán, República Islámica del,426476927.64
Irak,98380633.02
Irlanda (Eire),232195072.79
Israel,196429300.91
Italia,1006318619.69
Costa de Marfil,21061236.69
Jamaica,4743199.47
Japón,657635828.24
Kazajistán,7600810.31
Jordania,222385018.04
Kenia,23476830.15
Corea (Sur), República de,865957658.38
Kuwait,21976840.52
Kirguizistán,117466
Laos, República Popular Democrática de,142690.15
Líbano,98609431.66
Lesotho,1516481.21
Letonia,78844628.06
Liberia,1218961.22
Libia,67977961.88
Liechtenstein,6210
Lituania,45942495.89
Luxemburgo,740960.4
Macao,7929.48
Madagascar,13635368
Malawi,5162000
Malasia,999702136.6
Maldivas,574035.16
Malí,876139.12
Malta,1094276.37
Mauritania,6069739.84
Mauricio,49603636.43
México,780489365.44
Mónaco,21959
Mongolia,720398.26
Moldavia,3607659.05
Montenegro,1230560.36
Marruecos,368735989.86
Mozambique,58546087.14
Omán,42975490.48
Namibia,6824875.29
Nepal,6591037.94
Países Bajos,1182782189.09
Aruba,1626786.8
Vanuatu,14365.98
Nueva Zelanda,97056412.04
Nicaragua,31357231.82
Níger,4860135.03
Nigeria,38251684.63
Noruega,13874362.4
Pakistán,245937178.48
Panamá,67912048.84
Papúa Nueva Guinea,25356.12
Perú,821401825.11
Filipinas,357766107.94
Polonia,634912364.85
Portugal,116160873.6
Puerto Rico,62858627.83
Qatar,8172522.71
Rumania,60744456.06
Rusia,491720222.06
Ruanda,1480841.9
San Cristóbal y Nieves,70606.27
Santa Lucía,719695.29
San Vicente y las Granadinas,130324.14
Arabia Saudita,664231276.98
Senegal,58951394.54
Serbia,16189393.35
Seychelles,402806.57
Sierra Leona,1071357.34
Singapur,52121596.14
Eslovaquia,23671314.63
Vietnam,2546175760.06
Eslovenia,3275677.58
Somalia,578938.34
Sudáfrica, República de,810769273.21
Zimbabwe,106939.45
España,1647718588.9
Sudán del Sur,29576.62
Sudan,20126618.2
Surinam,3364234.58
Swasilandia,39950.04
Suecia,70063132.55
Suiza,1137463146.25
Siria, República Arabe de,66836658.18
Tadjikistán,34837.74
Tailandia,571889038
Togo,220303.35
Trinidad y Tobago,11573875.49
Emiratos Arabes Unidos,240154896.06
Tunicia,125367732.94
Turquía,486655434.44
Turkmenistán,491997.16
Uganda,9915140.8
Ucrania,51897678.95
Macedonia,5570321.75
Egipto,1791668832.18
Reino Unido,697420902.74
Tanzania, República Unida de,13666442.06
Estados Unidos,4427764196.26
Islas Vírgenes de los Estados Unidos,171525.44
Burkina Faso,932354.2
Uzbekistán,3996697.43
Venezuela,706919207.19
Yemen,167766660.87
Zambia,478683.15
N/D,753097028.88
