"Category","Total"
Afganistán,1209145.1
Albania,4199544.54
Argelia,1012043620.07
Samoa Americana,34781.25
Andorra,60283.89
Angola,145077389.71
Antigua y Barbuda,450015.99
Azerbaiján,5626042.04
Australia,286693372.13
Austria,14033651.1
Bahamas,17408583.92
Bahrein,3349270.01
Bangladesh,214860979.8
Armenia,1752610.05
Barbados,2534348.39
Bélgica,348822476.93
Bolivia,608412415.63
Bosnia y Herzegovina,5572674.43
Botswana,46890.4
Belice,369435.43
Salomón, Islas,21714
Brunei Darussalam,484050
Bulgaria,77093036.94
Myanmar,442344.62
Bielorrusia,5781814.5
Camboya,11135500.31
Camerún, República Unida del,18487690.32
Canadá,1401222653.63
Cabo Verde,2558354.56
República Centroafricana,67639.11
Sri Lanka,2469797.22
Chad,1471922.22
Chile,4493082975.52
China,5798857972.81
Taiwán,221165050.03
Colombia,1302600875.76
Comoras,653687.86
República del Congo,28715262.72
República Democrática del Congo,29560857.38
Costa Rica,162007090.21
Croacia,27613862.43
Cuba,88603423.12
Chipre,29677366.55
República Checa,23756859.77
Benin,2052158.13
Dinamarca,344333492.3
Dominica,786198.03
República Dominicana,156465848.18
Ecuador,501375139.81
El Salvador,13771682.64
Guinea Ecuatorial,5974582.22
Etiopía,825813.72
Estonia,7888661.07
Fiji,267286.03
Finlandia,17102694.45
Francia,527115477.46
Djibouti,181589.01
Gabón,5842627.95
Georgia,12742148.11
Gambia,743038.01
Territorios Autónomos de Palestina,1701788.48
Alemania,1832055667.99
Ghana,27138723.44
Gibraltar,3267.07
Grecia,111445813.3
Granada,499232.8
Guatemala,79592994.19
Guinea,854932.23
Guyana,618015.48
Haití,31524901.56
Honduras,12085612.91
Hong Kong,317873635
Hungría,8785786.13
Islandia,1532234.63
India,1321491007.44
Indonesia,852441664.07
Irán, República Islámica del,1453125354.71
Irak,23199821.92
Irlanda (Eire),118272495.94
Israel,223064198.99
Italia,1586014246.27
Costa de Marfil,21187142.82
Jamaica,7799616.98
Japón,853777849.48
Kazajistán,10212199.84
Jordania,65434215.48
Kenia,5911683.64
Corea (Sur), República de,776357697.72
Kuwait,32313186.5
Laos, República Popular Democrática de,5080.45
Líbano,60326323.08
Lesotho,4228.4
Letonia,41777652.18
Liberia,4743210.96
Libia,137322697.38
Liechtenstein,31085.88
Lituania,25293657.14
Luxemburgo,1431593.02
Macao,9349
Madagascar,4180665.5
Malawi,1103782.78
Malasia,813081703.47
Maldivas,87994.34
Malí,1754108.88
Malta,1835837.55
Mauritania,1295380
Mauricio,45834158.39
México,1230645434.41
Mónaco,100533.73
Mongolia,1803258.19
Moldavia,1579230.67
Montenegro,1317326.99
Marruecos,235463859.17
Mozambique,43442182.85
Omán,39695424.11
Namibia,5333348.81
Nepal,245788.98
Países Bajos,2369769934.04
Aruba,3576742.75
Vanuatu,138017.97
Nueva Zelanda,49997521.91
Nicaragua,11606465.48
Níger,15435983.2
Nigeria,80671368
Noruega,31083145.9
Pakistán,45392263.35
Panamá,57998696.77
Papúa Nueva Guinea,3404.55
Perú,1131982434.19
Filipinas,439439692.78
Islas Pitcairn,2200
Polonia,460649086.04
Portugal,87389353.32
Guinea - Bissau,541781.35
Puerto Rico,123880721.16
Qatar,5104492.01
Rumania,96941762.01
Rusia,635988675.49
Ruanda,414675
San Cristóbal y Nieves,243639.8
Santa Lucía,1178845.87
San Vicente y las Granadinas,391342.55
San Marino,77425.9
Santo Tomé y Príncipe,24321.9
Arabia Saudita,309257944.75
Senegal,79950586.18
Serbia,5630190.09
Seychelles,48560.06
Sierra Leona,1696982.07
Singapur,37616338.63
Eslovaquia,1296311.16
Vietnam,655729778.05
Eslovenia,7591369.28
Sudáfrica, República de,878875287.67
Zimbabwe,1422363.02
España,2241800597.61
Surinam,8933791
Swasilandia,908731.66
Suecia,49539316.15
Suiza,1017008312.56
Siria, República Arabe de,246346241.59
Tadjikistán,70388.24
Tailandia,440937284.68
Togo,2578863.45
Tonga,20113.25
Trinidad y Tobago,22222030.96
Emiratos Arabes Unidos,272202905.46
Tunicia,122818657.74
Turquía,199355108.59
Uganda,5600615.91
Ucrania,72221940.48
Macedonia,3296438.58
Egipto,979114722.21
Reino Unido,755742048.96
Tanzania, República Unida de,19167445.1
Estados Unidos,3544826287.95
Islas Vírgenes de los Estados Unidos,121230.16
Burkina Faso,1457734.44
Uzbekistán,2801381.42
Venezuela,1426227528.92
Yemen,101813455.14
Zambia,327854.41
N/D,1406376474.34
