"Category","Total"
Afganistán,165170.62
Albania,6990320.62
Argelia,1563986505.56
Samoa Americana,4348.6
Angola,128724560.26
Antigua y Barbuda,518041.88
Azerbaiján,5384350.37
Australia,736647458.9
Austria,14426843.26
Bahamas,16157799.34
Bahrein,4860711.38
Bangladesh,309840530.39
Armenia,5874693.49
Barbados,1270600.45
Bélgica,300360984.9
Bután,13693
Bolivia,792976401.19
Bosnia y Herzegovina,4987116.61
Belice,843943.29
Salomón, Islas,129585
Brunei Darussalam,3039032.45
Bulgaria,156874370.53
Myanmar,2605425.39
Burundi,9950
Bielorrusia,9489682.43
Camboya,16306148.55
Camerún, República Unida del,47998330.57
Canadá,1702908008.59
Cabo Verde,3505157.16
Sri Lanka,2672938.83
Chad,1014664
Chile,3823118433.88
China,5511587664.7
Taiwán,382983308.49
Colombia,1530541046.62
Comoras,2118215.72
República del Congo,41111575.91
República Democrática del Congo,22395797.82
Costa Rica,106599776.78
Croacia,22612834.34
Cuba,307422693.4
Chipre,15884755.09
República Checa,15881877.28
Benin,3343542.75
Dinamarca,277185032.45
Dominica,924111.96
República Dominicana,258413275.54
Ecuador,346989153.12
El Salvador,31711127.76
Guinea Ecuatorial,23307923.45
Etiopía,1738908.31
Eritrea,649895
Estonia,9513202.42
Fiji,719955.35
Finlandia,85191996.48
Francia,431185007.4
Djibouti,955982.86
Gabón,16586197.71
Georgia,32898214.62
Gambia,664999.26
Territorios Autónomos de Palestina,3470272.34
Alemania,1637227523.5
Ghana,47940708.75
Gibraltar,23574
Grecia,130934457.51
Granada,335881.16
Guatemala,150692797.88
Guinea,725905
Guyana,1042163.74
Haití,18014939.56
Honduras,30711555.29
Hong Kong,325748670.72
Hungría,12662816.63
Islandia,2084400.67
India,1089096312
Indonesia,1469194276.87
Irán, República Islámica del,1102961086.83
Irak,116105013.44
Irlanda (Eire),252821442.71
Israel,199469475.26
Italia,1080873264.6
Costa de Marfil,7432815.55
Jamaica,14231141.63
Japón,1391731303.99
Kazajistán,52564637.12
Jordania,245126662.59
Kenia,11385296.86
Corea (Sur), República de,1002346922.72
Kuwait,53693866.45
Kirguizistán,254492.3
Líbano,103255920.93
Letonia,192700446.04
Liberia,3508350.91
Libia,128750927.19
Liechtenstein,24543.58
Lituania,117224841.72
Luxemburgo,1871493.57
Madagascar,11816035.49
Malawi,1088817.97
Malasia,962619478.27
Maldivas,815031.43
Malí,4525975.48
Malta,748401.77
Mauritania,5726541.55
Mauricio,55351457.29
México,970251365.6
Mónaco,42764
Mongolia,376337.57
Moldavia,2846124.73
Montenegro,987408.41
Marruecos,484526042
Mozambique,42083762.61
Omán,34300659.13
Namibia,3927271.36
Nepal,2205294.91
Países Bajos,1912957945.39
Aruba,2899935.43
Vanuatu,25231.96
Nueva Zelanda,128524576.33
Nicaragua,37875140.72
Níger,10565091.69
Nigeria,107058030.05
Noruega,20139086.71
Pakistán,146039295.31
Panamá,94968835.14
Papúa Nueva Guinea,147899.24
Perú,1420998195.72
Filipinas,419195441.14
Islas Pitcairn,43770.4
Polonia,620530775.76
Portugal,58294078.67
Guinea - Bissau,228245
Puerto Rico,75472502.72
Qatar,5223049.18
Rumania,122633695.28
Rusia,725834438.91
Ruanda,62879.54
San Cristóbal y Nieves,5103730.19
Santa Lucía,652856.67
San Vicente y las Granadinas,607924.76
San Marino,20934.81
Arabia Saudita,1163011937.09
Senegal,53775917.85
Serbia,6070871.33
Seychelles,537005.16
Sierra Leona,3213486.19
Singapur,114428716.56
Eslovaquia,1941733.74
Vietnam,1185116588.57
Eslovenia,2259635.68
Somalia,166773.06
Sudáfrica, República de,684648559.92
Zimbabwe,1523989.73
España,1669472303.02
Sudán del Sur,587232.86
Sudan,6914069.65
Surinam,9889246.89
Suecia,70785683.72
Suiza,561157297.22
Siria, República Arabe de,155173890.29
Tadjikistán,42167.1
Tailandia,924547089.43
Togo,1696525
Trinidad y Tobago,15176715.16
Emiratos Arabes Unidos,256390142.94
Tunicia,206701140.8
Turquía,451432512.58
Turkmenistán,155482.22
Uganda,2800748.06
Ucrania,76852582.22
Macedonia,4453129.35
Egipto,1254550868.4
Reino Unido,645917858.1
Tanzania, República Unida de,10018193.21
Estados Unidos,4106704989.2
Islas Vírgenes de los Estados Unidos,180599.75
Burkina Faso,828219.3
Uzbekistán,20172266.95
Venezuela,2156780840.09
Yemen,204470037.68
Zambia,449431.57
N/D,2288075846.24
