"Category","Total"
Afganistán,84330
Albania,1965249
Argelia,116564321
Andorra,58879
Angola,29384050
Antigua y Barbuda,1387970
Azerbaiján,286956
Australia,95314289
Austria,6806252
Bahamas,7402794
Bahrein,2285076
Bangladesh,82971804
Armenia,693662
Barbados,11467450
Bélgica,250254607
Bolivia,299478151
Bosnia y Herzegovina,396059
Belice,953357
Brunei Darussalam,44128
Bulgaria,21087876
Myanmar,157
Bielorrusia,665824
Camboya,445910
Camerún, República Unida del,3046299
Canadá,186342679
Cabo Verde,41386
Sri Lanka,9294286
Chile,2957813069
China,1093519211
Taiwán,83638454
Colombia,188729554
República del Congo,11366971
República Democrática del Congo,1975028
Costa Rica,27192540
Croacia,5169504
Cuba,22086316
Chipre,21088398
República Checa,16919667
Benin,1038547
Dinamarca,212311008
Dominica,76789
República Dominicana,69765558
Ecuador,162558106
El Salvador,10313285
Guinea Ecuatorial,622964
Etiopía,12547
Estonia,4055677
Fiji,1193116
Finlandia,48140355
Francia,312743951
Djibouti,71992
Gabón,2165177
Georgia,102076
Gambia,693318
Alemania,604886253
Ghana,7193666
Grecia,71222211
Granada,239261
Guatemala,47551729
Guinea,504093
Guyana,651824
Haití,10898053
Honduras,8605788
Hong Kong,83248488
Hungría,9879259
Islandia,84179
India,444505904
Indonesia,72444091
Irán, República Islámica del,339160737
Irak,50022878
Irlanda (Eire),30892952
Israel,62167298
Italia,851111114
Costa de Marfil,7470613
Jamaica,4178285
Japón,369528917
Kazajistán,3720650
Jordania,108017804
Kenia,16889321
Corea (Sur), República de,330977183
Kuwait,17190605
Laos, República Popular Democrática de,2050
Líbano,32583229
Letonia,3117867
Liberia,433933
Libia,18350739
Liechtenstein,7453
Lituania,5326838
Luxemburgo,899094
Madagascar,3850681
Malawi,40529
Malasia,215448907
Malí,2500590
Malta,2566161
Mauritania,1346714
Mauricio,27943296
México,670361239
Mongolia,81188
Moldavia,16032
Marruecos,98161666
Mozambique,11587122
Omán,38164259
Namibia,4898919
Nepal,96820
Países Bajos,1037757861
Vanuatu,9315
Nueva Zelanda,9836433
Nicaragua,3068913
Níger,1601506
Nigeria,73622163
Noruega,15681378
Pakistán,58501118
Panamá,27970131
Papúa Nueva Guinea,16079
Perú,444760870
Filipinas,154964356
Polonia,53481362
Portugal,130937340
Puerto Rico,88048627
Qatar,7794980
Rumania,8665307
Rusia,149531023
San Cristóbal y Nieves,188814
Santa Lucía,329437
San Vicente y las Granadinas,118601
Arabia Saudita,86921067
Senegal,23267738
Seychelles,337
Sierra Leona,502639
Singapur,15954402
Eslovaquia,272886
Vietnam,71820546
Eslovenia,2694295
Sudáfrica, República de,291941804
Zimbabwe,1026902
España,1135063165
Surinam,1044499
Swasilandia,10496
Suecia,41560829
Suiza,19102619
Siria, República Arabe de,112525593
Tadjikistán,550005
Tailandia,312205762
Togo,281328
Trinidad y Tobago,6515045
Emiratos Arabes Unidos,112188297
Tunicia,92532605
Turquía,78280159
Uganda,181727
Ucrania,6687549
Macedonia,296560
Egipto,405342131
Reino Unido,379704450
Tanzania, República Unida de,3130525
Estados Unidos,2891973131
Islas Vírgenes de los Estados Unidos,26406
Burkina Faso,73382
Uzbekistán,1555836
Venezuela,148469895
Yemen,39133890
Zambia,398995
N/D,302013368
