"Category","Total"
Albania,6916690.77
Argelia,1523638991.49
Angola,37490141.18
Antigua y Barbuda,109273.2
Azerbaiján,3923065.71
Australia,526848031.64
Austria,10730575.27
Bahamas,78933680.62
Bahrein,8214486.47
Bangladesh,605533101.62
Barbados,645374.06
Bélgica,405535075.6
Bolivia,615485421.04
Bosnia y Herzegovina,8023686.05
Belice,1062703.48
Brunei Darussalam,2105650.53
Bulgaria,46690341.88
Myanmar,2026550.94
Bielorrusia,20364401.55
Camboya,14332390.58
Camerún, República Unida del,46893276.81
Canadá,650698103.12
Cabo Verde,3589928.84
República Centroafricana,104942.25
Sri Lanka,6065237.24
Chile,3043768396.85
China,6814084653.77
Taiwán,163873411.53
Colombia,895809285.44
Comoras,182418
República del Congo,24088726.76
República Democrática del Congo,13736000.95
Costa Rica,106704025.92
Croacia,33409581.11
Cuba,279548792.88
Chipre,39997818.19
República Checa,40101808.49
Benin,1606202.64
Dinamarca,194607855.61
República Dominicana,171776013.78
Ecuador,281614693.97
El Salvador,40131105.72
Guinea Ecuatorial,2328849.17
Etiopía,19667247.33
Estonia,1625665.67
Finlandia,7323644.01
Francia,346885846.47
Djibouti,1522311.83
Gabón,9448767.16
Georgia,17088554.22
Gambia,2763537.02
Territorios Autónomos de Palestina,405580.69
Alemania,938572466.82
Ghana,83482439.16
Grecia,152219728.12
Granada,316841.5
Guatemala,144575341.66
Guinea,1246089.69
Guyana,4351099.72
Haití,8618335.17
Honduras,56194318.87
Hong Kong,234760150.56
Hungría,9134445.32
Islandia,2527293.32
India,2157110625.98
Indonesia,1622562472.9
Irán, República Islámica del,682750733.03
Irak,192056626.7
Irlanda (Eire),305734998.89
Israel,233409748.51
Italia,1000380195.52
Costa de Marfil,57989910.29
Jamaica,4019084.06
Japón,452781758.63
Kazajistán,19378134.77
Jordania,169997795.87
Kenia,139892112.97
Corea (Sur), República de,842567729.84
Kuwait,52909187.28
Líbano,95819406.28
Letonia,47496510.98
Liberia,655673.31
Libia,61898314.41
Lituania,29025711.37
Luxemburgo,77752.78
Madagascar,11552144.31
Malasia,884051869.65
Maldivas,595436.51
Malí,4914451.99
Malta,93527324.18
Mauritania,8686396.85
Mauricio,40380107.31
México,667479823.79
Mongolia,1481767.73
Moldavia,2517881.13
Montenegro,2347093.7
Marruecos,611690990.09
Mozambique,104371016.72
Omán,97672422.81
Namibia,1410011.5
Nepal,1993041
Países Bajos,1806271014.98
Curazao,6982828.78
Aruba,4954059.53
San Martín (Parte holandesa),448895.28
Nueva Zelanda,142427400.01
Nicaragua,26656643.97
Níger,729346.25
Nigeria,110254035.81
Noruega,22051658.82
Pakistán,101912418.28
Panamá,167637751.09
Perú,1586590301.63
Filipinas,309488491.51
Polonia,506023500.68
Portugal,99858859.51
Puerto Rico,39306311.1
Qatar,47630506.36
Rumania,41547878.03
Rusia,650289677.37
Santa Lucía,227499.36
Arabia Saudita,1009411681.48
Senegal,90333389.38
Serbia,7637595.7
Sierra Leona,549254.39
Singapur,102982331.28
Eslovaquia,34997844.26
Vietnam,2805806948.54
Eslovenia,2800420.82
Sudáfrica, República de,598770600.8
España,1426669395.13
Sudan,2048487.38
Surinam,3504920.94
Suecia,43304390.94
Suiza,1689665364.82
Siria, República Arabe de,69183264.09
Tailandia,600325219.75
Togo,344305.2
Trinidad y Tobago,12122796.73
Emiratos Arabes Unidos,453489383.41
Tunicia,121613822.91
Turquía,514395090.91
Uganda,38175025.29
Ucrania,35857849.27
Macedonia,4568798.3
Egipto,984659090.51
Reino Unido,731812557
Tanzania, República Unida de,31901804.81
Estados Unidos,4026924837.96
Islas Vírgenes de los Estados Unidos,16594520.28
Uzbekistán,610534.06
Venezuela,126156880.28
Yemen,173475114.69
N/D,1559787837.06
