"Category","Total"
Afganistán,699
Albania,673
Argelia,2108032
Andorra,83955
Australia,50871454
Austria,77771856
Bahamas,812507
Bahrein,2008155
Bangladesh,2351032
Armenia,636
Barbados,49274
Bélgica,158609313
Bolivia,19420312
Bosnia y Herzegovina,242371
Botswana,77
Brunei Darussalam,1411
Bulgaria,3183954
Myanmar,1791404
Bielorrusia,15875
Camboya,197736
Camerún, República Unida del,1455
Canadá,188346665
Sri Lanka,3699098
Chile,472319317
China,981892734
Taiwán,217511020
Colombia,45671585
Comoras,411
República del Congo,3848
Costa Rica,5778930
Croacia,2142753
Cuba,3010111
Chipre,87917
República Checa,15442596
Dinamarca,75146712
Dominica,77220
República Dominicana,862698
Ecuador,85937384
El Salvador,247121
Etiopía,265
Estonia,144085
Fiji,38
Finlandia,74776416
Francia,690374085
Djibouti,566
Georgia,3281953
Alemania,1003030848
Ghana,12292
Gibraltar,108676
Grecia,8596958
Granada,1040292
Guatemala,1215350
Guinea,827
Guyana,263514
Haití,16766
Honduras,101998
Hong Kong,40788718
Hungría,21249471
Islandia,227539
India,142449667
Indonesia,96211741
Irán, República Islámica del,2084571
Irlanda (Eire),76451346
Israel,71415318
Italia,798004804
Costa de Marfil,841717
Jamaica,623993
Japón,725160685
Kazajistán,1370176
Jordania,3
Kenia,411926
Corea (Sur), República de,378477955
Kuwait,1549356
Kirguizistán,10948
Laos, República Popular Democrática de,2846
Líbano,136997
Letonia,6189381
Libia,4791022
Liechtenstein,138749
Lituania,105952
Luxemburgo,6040158
Macao,2808596
Madagascar,202085
Malawi,1415149
Malasia,134858096
Malta,783636
Mauritania,54976
Mauricio,79833
México,409716928
Mónaco,880942
Mongolia,15
Marruecos,5948108
Mozambique,266
Omán,1746
Namibia,366426
Nepal,47413
Países Bajos,123083813
Nueva Zelanda,17596177
Nicaragua,13173
Nigeria,106394959
Noruega,20546016
Marianas del Norte, Islas,38570
Pakistán,28749918
Panamá,958720
Perú,19525387
Filipinas,25645026
Polonia,25586018
Portugal,39484294
Puerto Rico,43015814
Qatar,4941793
Rumania,13649668
Rusia,93167676
San Marino,719990
Arabia Saudita,11578139
Senegal,480
Sierra Leona,11901
Singapur,81142995
Eslovaquia,19240125
Vietnam,8820371
Eslovenia,5288956
Somalia,3260
Sudáfrica, República de,113284016
Zimbabwe,1158835
España,662943413
Surinam,4358690
Swasilandia,40197
Suecia,167171345
Suiza,181729269
Siria, República Arabe de,358288
Tailandia,118923971
Trinidad y Tobago,142317
Emiratos Arabes Unidos,28002673
Tunicia,5140353
Turquía,29215643
Turkmenistán,1
Uganda,583965
Ucrania,9350028
Macedonia,461212
Egipto,6378264
Reino Unido,388167134
Tanzania, República Unida de,897
Estados Unidos,3539409306
Islas Vírgenes de los Estados Unidos,1018
Burkina Faso,4321
Uzbekistán,54366
Venezuela,22260072
N/D,453899342
