"Category","Total"
Afganistán,7908.42
Albania,308115.77
Argelia,2757940.62
Andorra,51267
Angola,2079.72
Australia,384352827.1
Austria,183686687.6
Bahamas,4889880.84
Bangladesh,11318654.08
Armenia,499218.91
Barbados,23926.07
Bélgica,400487720.4
Bolivia,612717788.39
Bosnia y Herzegovina,245919.3
Botswana,134.51
Belice,22702.27
Bulgaria,38718508.93
Myanmar,10293808.33
Bielorrusia,50924286.77
Camboya,13822539.24
Camerún, República Unida del,394447.57
Canadá,601201321.39
Cabo Verde,1566.38
Sri Lanka,9909842.82
Chad,98182.86
Chile,1027635944.74
China,10002686967.06
Taiwán,514590456.34
Colombia,221282961.19
Comoras,15775.62
República del Congo,114330.23
Costa Rica,46755970.57
Croacia,5828147.84
Cuba,8569570.83
Chipre,318238.21
República Checa,156354873.53
Dinamarca,170623729.52
Dominica,4695.53
República Dominicana,3078240.46
Ecuador,162714086.91
El Salvador,527250.49
Etiopía,140149.59
Estonia,5167134.76
Fiji,12614.8
Finlandia,201818312.86
Francia,1462307593.43
Gabón,530509.14
Georgia,260444.5
Alemania,3526382219.88
Ghana,453803.7
Grecia,14812036.02
Guatemala,12570113.15
Guinea,2558.25
Guyana,1019.65
Haití,69317.14
Honduras,1617028.87
Hong Kong,36530524.57
Hungría,116164128.87
Islandia,1400949.7
India,599920924.16
Indonesia,353702638.98
Irán, República Islámica del,16417574.71
Irak,13077.22
Irlanda (Eire),187738075.66
Israel,172332325.19
Italia,1417705380.44
Costa de Marfil,1708508.08
Jamaica,16494.17
Japón,1356710250.54
Kazajistán,9948839.2
Jordania,757031.06
Kenia,449675.91
Corea (Sur), República de,1075821885.34
Kuwait,6422749.09
Kirguizistán,136395.04
Laos, República Popular Democrática de,23738.61
Líbano,721091.05
Letonia,78371023.11
Liechtenstein,1816283.69
Lituania,8949000.15
Luxemburgo,12769960.78
Macao,209673.18
Madagascar,418223.53
Malawi,2691278.16
Malasia,418707507.11
Malta,7009160.17
Mauritania,370.79
Mauricio,190633.91
México,2441850641.73
Mónaco,1432053.01
Mongolia,1715.64
Moldavia,728591.47
Marruecos,132511234.16
Mozambique,2400808.2
Omán,21488693.6
Namibia,19851.58
Nauru,1623.6
Nepal,220707.96
Países Bajos,407934495.37
Aruba,23035629.58
Nueva Zelanda,14529435.59
Nicaragua,252268.64
Níger,186400.14
Nigeria,196179285.44
Noruega,47688806.46
Marianas del Norte, Islas,455.6
Pakistán,61555130.8
Panamá,1710871.18
Papúa Nueva Guinea,14515.92
Perú,154962466.21
Filipinas,74664407.35
Polonia,140999001.51
Portugal,82919417.54
Puerto Rico,77518023.57
Qatar,267417343.15
Rumania,39052757.99
Rusia,736161437.46
San Cristóbal y Nieves,128275.23
Santa Lucía,4838.27
San Marino,509079.48
Santo Tomé y Príncipe,7551.28
Arabia Saudita,31064709.5
Senegal,48571.39
Serbia,786801.26
Seychelles,58778.51
Sierra Leona,8750.34
Singapur,162337991.69
Eslovaquia,74377638.32
Vietnam,178249383.55
Eslovenia,15598003.27
Somalia,76643.82
Sudáfrica, República de,187103670.28
Zimbabwe,3325357.48
España,1324983585.56
Swasilandia,43455.27
Suecia,317794594.92
Suiza,530285257.45
Siria, República Arabe de,1931819.79
Tailandia,664164179.28
Togo,373.27
Trinidad y Tobago,1224823382.57
Emiratos Arabes Unidos,41720393.28
Tunicia,6376611.85
Turquía,232770761.56
Turkmenistán,676
Uganda,28455.28
Ucrania,31370809.82
Macedonia,4188323.9
Egipto,69078201.88
Reino Unido,640662298.6
Tanzania, República Unida de,7774.45
Estados Unidos,7347596033.64
Burkina Faso,4608.98
Venezuela,22386136.17
Yemen,162768.46
Zambia,248229.79
N/D,4428301275.51
