"Category","Total"
Afganistán,220.25
Albania,384903.19
Argelia,58088982.26
Andorra,378.53
Angola,25
Antigua y Barbuda,36.87
Azerbaiján,1258.51
Australia,133243295.58
Austria,134551028.77
Bahamas,243.76
Bahrein,19102690.29
Bangladesh,16456172.31
Armenia,54203.89
Barbados,469.05
Bélgica,249387531.89
Bután,1446.57
Bolivia,1020339931.21
Bosnia y Herzegovina,2692259.05
Belice,860.97
Brunei Darussalam,48272.04
Bulgaria,12835825.25
Myanmar,3476079.51
Bielorrusia,5614850.9
Camboya,20562321.63
Camerún, República Unida del,6654.11
Canadá,273684746.01
Cabo Verde,3.23
Sri Lanka,8925818.69
Chad,92.95
Chile,499016150.77
China,8238087908.09
Taiwán,312626907.38
Colombia,191840760.99
Comoras,31346.19
República del Congo,5146.12
República Democrática del Congo,525.6
Costa Rica,15675906.21
Croacia,2461911.93
Cuba,4390923.72
Chipre,1216171.4
República Checa,104730900.6
Benin,3829.24
Dinamarca,147676922.65
Dominica,3564.05
República Dominicana,3259111.03
Ecuador,220729395.98
El Salvador,1379813.09
Etiopía,211877.32
Estonia,5929212.37
Finlandia,133837776.3
Francia,750162478.46
Djibouti,22265
Gabón,242730.36
Georgia,4120769.37
Territorios Autónomos de Palestina,40135.6
Alemania,1917465688.76
Ghana,809491.92
Grecia,9016352.77
Granada,463312
Guatemala,1742192.56
Guinea,3054.58
Haití,143480.48
Honduras,651684.18
Hong Kong,6222414.49
Hungría,167945680.91
Islandia,983971.85
India,761597068.99
Indonesia,221477334.68
Irán, República Islámica del,771934.86
Irak,163168.61
Irlanda (Eire),248104875.09
Israel,127083839.25
Italia,976034628.74
Costa de Marfil,964499.41
Jamaica,4544836.97
Japón,703722168.26
Kazajistán,9918814.27
Jordania,1083968.84
Kenia,366647.46
Corea (Sur), República de,341436611.44
Kuwait,268987.4
Kirguizistán,4594.51
Laos, República Popular Democrática de,287191.03
Líbano,222110.67
Lesotho,13722.28
Letonia,4161190.69
Libia,442724.62
Liechtenstein,462766.53
Lituania,13038358.14
Luxemburgo,7467492.62
Macao,709271.92
Madagascar,1400484.02
Malawi,66570.69
Malasia,261239298.05
Malí,75.9
Malta,788894.6
Mauricio,175240.41
México,910204411.27
Mónaco,354944.01
Mongolia,301.17
Moldavia,59319.53
Montenegro,36.36
Marruecos,223460998.82
Mozambique,4859069.31
Omán,61393122.81
Namibia,24902.76
Nepal,5347.47
Países Bajos,301221544.06
Curazao,58615.14
Aruba,259.27
San Martín (Parte holandesa),8414.92
Vanuatu,59.69
Nueva Zelanda,15139368.95
Nicaragua,540710.69
Níger,92.4
Nigeria,30113.95
Noruega,43774883
Marianas del Norte, Islas,34.49
Pakistán,33658665.84
Panamá,122337.35
Papúa Nueva Guinea,34661.27
Perú,107233620.44
Filipinas,83350807.86
Polonia,136908123.98
Portugal,74952964.87
Timor Leste,527.24
Puerto Rico,47148572.65
Qatar,80448312.2
Rumania,54091574.18
Rusia,144050517.05
Ruanda,4833.41
San Cristóbal y Nieves,153697.98
San Marino,347821.71
Arabia Saudita,54575028.05
Senegal,3785.57
Serbia,10517846.79
Seychelles,19267.72
Sierra Leona,7833.75
Singapur,116559970.87
Eslovaquia,40199171.04
Vietnam,737846672.62
Eslovenia,17438598.29
Somalia,609134.77
Sudáfrica, República de,114453995.26
Zimbabwe,443616.79
España,673867582.049999
Sudán del Sur,11439.02
Sudan,148661.39
Surinam,90190.1
Swasilandia,1564.15
Suecia,148341730.16
Suiza,409333451.36
Siria, República Arabe de,16149.96
Tadjikistán,7523.28
Tailandia,967537897.15
Togo,7318375.75
Trinidad y Tobago,64063107.38
Emiratos Arabes Unidos,84693219.87
Tunicia,17950338.46
Turquía,183910327.61
Turkmenistán,4633.44
Uganda,13998
Ucrania,15402195.1
Macedonia,2955852.04
Egipto,184687091.07
Reino Unido,407761911.69
Tanzania, República Unida de,252268.24
Estados Unidos,4119564398.35
Islas Vírgenes de los Estados Unidos,103.58
Burkina Faso,8329.71
Uzbekistán,470116.88
Venezuela,5628373.18
Samoa,12.28
Yemen,8168.63
N/D,509117747.3
