"Category","Total"
Afganistán,1228533
Albania,2448014.27
Argelia,1601191339.26
Angola,126933267.98
Antigua y Barbuda,548819.52
Azerbaiján,6019209.22
Australia,708862637.32
Austria,14238993.83
Bahamas,180223253.71
Bahrein,4183058.87
Bangladesh,358983707.19
Armenia,3685457.8
Barbados,1503545.36
Bélgica,300299052.65
Bolivia,792184703.43
Bosnia y Herzegovina,3843542.35
Botswana,64340
Belice,795630.77
Salomón, Islas,48965
Brunei Darussalam,5698555
Bulgaria,104717671.26
Myanmar,5195003.37
Bielorrusia,9322398.93
Camboya,14710702.63
Camerún, República Unida del,35580250.32
Canadá,1655816179.44
Cabo Verde,2461052.69
República Centroafricana,219705.9
Sri Lanka,1912330.62
Chad,649750
Chile,2792208417.82
China,4459977676.38
Taiwán,145490511.65
Colombia,860275100.94
Comoras,5442756.92
República del Congo,42041880.89
República Democrática del Congo,19701387.12
Costa Rica,51258797.93
Croacia,120772375.01
Cuba,272953546.75
Chipre,16394869.32
República Checa,52205455.13
Benin,8608717.65
Dinamarca,306159538.23
Dominica,193621.82
República Dominicana,121998362.34
Ecuador,398789382.08
El Salvador,15446448.99
Guinea Ecuatorial,24123008.05
Etiopía,1771573.87
Eritrea,615131.24
Estonia,5851533.26
Fiji,372361.61
Finlandia,42497223.23
Francia,320290442
Djibouti,184675.98
Gabón,8663194.68
Georgia,10826687.27
Gambia,367845.71
Territorios Autónomos de Palestina,2624216.48
Alemania,1536738696.86
Ghana,20657544.2
Gibraltar,247963172.61
Grecia,135189343.66
Granada,335476.6
Guatemala,55607868.38
Guinea,416416.76
Guyana,2409285.75
Haití,10689194.23
Honduras,34439766.31
Hong Kong,331949308.12
Hungría,9095315.57
Islandia,1464488.54
India,1810469123.58
Indonesia,1239638889.64
Irán, República Islámica del,928824753.74
Irak,145152194.43
Irlanda (Eire),242172074.44
Israel,181270617.11
Italia,1030939590.65
Costa de Marfil,36579243.39
Jamaica,4196843.37
Japón,748396340.5
Kazajistán,20034802.97
Jordania,273693205.35
Kenia,8019427.06
Corea (Sur), República de,485209376.86
Kuwait,51839649.32
Kirguizistán,436022.46
Laos, República Popular Democrática de,1540
Líbano,127818649.97
Letonia,251221784.16
Liberia,1767877.42
Libia,175245959.49
Lituania,59885791.52
Luxemburgo,1351763.01
Macao,18731.64
Madagascar,13958982.64
Malawi,890300.3
Malasia,940661781.95
Maldivas,179569.35
Malí,3653360.75
Malta,7425032.31
Mauritania,4021371.84
Mauricio,53403863.43
México,907503152.21
Mónaco,15200
Mongolia,954403.71
Moldavia,3083131.5
Montenegro,1239307.79
Marruecos,536290136.79
Mozambique,46023095.64
Omán,28701683.1
Namibia,4691300.53
Nepal,4360966.32
Países Bajos,1574555521.81
Aruba,1403826.45
Vanuatu,7105.5
Nueva Zelanda,139021745.1
Nicaragua,29431480.5
Níger,20302422.18
Nigeria,67374615.1
Noruega,15627472.29
Pakistán,281105732.85
Panamá,77355378.69
Papúa Nueva Guinea,20899.33
Perú,1113946069.87
Filipinas,663606291.93
Islas Pitcairn,4452
Polonia,731423859.55
Portugal,55577997.1
Guinea - Bissau,367500
Puerto Rico,63661039.87
Qatar,12192540.59
Rumania,135593795.64
Rusia,730040309.64
Ruanda,182758.34
San Cristóbal y Nieves,32340.69
Santa Lucía,724912.45
San Vicente y las Granadinas,483797.32
San Marino,282523.15
Arabia Saudita,811917782.63
Senegal,84389313.77
Serbia,6717136.81
Seychelles,266174.07
Sierra Leona,6787051.55
Singapur,140180688.85
Eslovaquia,3554910.55
Vietnam,1550426654.35
Eslovenia,2995778.7
Sudáfrica, República de,509624243.39
Zimbabwe,545189.25
España,1693950935.88
Sudán del Sur,505177.11
Sudan,6438327.97
Surinam,7952801.87
Swasilandia,55632.67
Suecia,61195039.95
Suiza,544939603.42
Siria, República Arabe de,203146205.32
Tadjikistán,358913.65
Tailandia,619669647.35
Togo,492943.4
Trinidad y Tobago,13152784.67
Emiratos Arabes Unidos,200134257.14
Tunicia,166168414.67
Turquía,375177142.84
Turkmenistán,63022.72
Uganda,163935.98
Ucrania,36158668.51
Macedonia,5041014.17
Egipto,1051059716.05
Reino Unido,885492073.23
Tanzania, República Unida de,9080618.93
Estados Unidos,4017987209.66
Islas Vírgenes de los Estados Unidos,175317.54
Burkina Faso,506006
Uzbekistán,1965104.24
Venezuela,1987166177.93
Yemen,207435802.05
Zambia,237485.31
N/D,1995898843.12
