"Category","Total"
Afganistán,833401.3
Albania,4577514.21
Argelia,1726084942.93
Andorra,1240.3
Angola,37672044.26
Antigua y Barbuda,188404.77
Azerbaiján,2737400.66
Australia,620866531.19
Austria,12675928.42
Bahamas,78594581.45
Bahrein,7932553.61
Bangladesh,531190114.23
Armenia,3279427.49
Barbados,540950.37
Bélgica,382443132.47
Bolivia,657908001.47
Bosnia y Herzegovina,8553876.13
Belice,572326.75
Salomón, Islas,12220
Brunei Darussalam,2385410
Bulgaria,23790635.42
Myanmar,2618395.97
Burundi,27950
Bielorrusia,51798963.13
Camboya,11235703.99
Camerún, República Unida del,37171350.31
Canadá,1339456188.16
Cabo Verde,1727832.52
República Centroafricana,140824.32
Sri Lanka,6453567.38
Chad,19650
Chile,3059189997.8
China,4223854406.77
Taiwán,102431848.69
Colombia,650843327.51
Comoras,1306090.16
República del Congo,14977095.56
República Democrática del Congo,12608327.11
Costa Rica,94322294.19
Croacia,33545449.75
Cuba,253908218.38
Chipre,49004780.13
República Checa,53133650.2
Benin,1017602.97
Dinamarca,273318987.87
Dominica,18271.23
República Dominicana,128332994.77
Ecuador,408389479.97
El Salvador,44225060.47
Guinea Ecuatorial,1828647.66
Etiopía,1481079.99
Estonia,918227
Fiji,49672.35
Finlandia,8502105.78
Francia,406373566.2
Djibouti,549405.26
Gabón,5759510.64
Georgia,7604760.32
Gambia,1923000.5
Territorios Autónomos de Palestina,2743656.02
Alemania,1054888129.28
Ghana,49315824.67
Gibraltar,56547.12
Grecia,184059940.85
Granada,96422.39
Guatemala,127761563.57
Guinea,473767.88
Guyana,8975860.88
Haití,26970278.53
Honduras,67051651.87
Hong Kong,273291843.26
Hungría,11129890.11
Islandia,4378065.35
India,1600878754.14
Indonesia,1282750324.09
Irán, República Islámica del,447501339.29
Irak,224459818.34
Irlanda (Eire),304644078.26
Israel,218092767.59
Italia,1090369101.89
Costa de Marfil,62367379.85
Jamaica,5867090.1
Japón,486214469.54
Kazajistán,15713307.38
Jordania,237418759.69
Kenia,93938619.92
Corea (Sur), República de,291191459.03
Kuwait,128703594.73
Laos, República Popular Democrática de,8632.5
Líbano,116479207.65
Letonia,82317808.77
Liberia,1145423.96
Libia,63907073.94
Lituania,37414664.97
Luxemburgo,450503.93
Macao,10054.8
Madagascar,2728308.3
Malasia,957171756.04
Maldivas,400468.88
Malí,2101504.56
Malta,279616070.35
Mauritania,26698781.42
Mauricio,50406399.55
México,737209778.66
Mongolia,1874028.15
Moldavia,3173199.62
Montenegro,1756958.31
Marruecos,374560961.94
Mozambique,84822184.21
Omán,73131472.68
Namibia,1087167.48
Nepal,2943620.77
Países Bajos,1717758880.08
Curazao,2563465.19
Aruba,2928482.76
San Martín (Parte holandesa),1049940.57
Nueva Zelanda,124763794.8
Nicaragua,31168225.25
Níger,1304941.98
Nigeria,85055021.91
Noruega,20081688.42
Pakistán,104773893.79
Panamá,130402760.43
Papúa Nueva Guinea,125200
Perú,1169007981.39
Filipinas,308813702.56
Polonia,631148010.16
Portugal,68895554.11
Puerto Rico,44593278.74
Qatar,24635491.3
Rumania,42872424.47
Rusia,759296487.61
Ruanda,1433790
Santa Lucía,286287.45
San Vicente y las Granadinas,6088.79
Arabia Saudita,933300321.43
Senegal,108063806.31
Serbia,8442063.13
Sierra Leona,529647.54
Singapur,47361533.51
Eslovaquia,24986222.9
Vietnam,2101664333.3
Eslovenia,8365451.37
Sudáfrica, República de,516583574.84
España,1593679273.4
Sudan,2376794.25
Surinam,4976852.62
Suecia,44298040.28
Suiza,1291386067.14
Siria, República Arabe de,76459871.36
Tailandia,536824693.65
Togo,20141605.19
Trinidad y Tobago,10823717.06
Emiratos Arabes Unidos,227910404.57
Tunicia,67488293.38
Turquía,454932721.15
Turkmenistán,68206.5
Uganda,14225692.56
Ucrania,38207947.63
Macedonia,6838829.98
Egipto,990710706.75
Reino Unido,832513041.69
Tanzania, República Unida de,18303918.04
Estados Unidos,4192440118.38
Islas Vírgenes de los Estados Unidos,38794748.56
Burkina Faso,1113133.94
Uzbekistán,160528.95
Venezuela,359420936.1
Yemen,203153067.58
Zambia,59581
N/D,1343465457
