"Category","Total"
Afganistán,129429
Albania,20677
Argelia,87744
Andorra,16543
Angola,45
Australia,54397544
Austria,54954422
Bahamas,520320
Bangladesh,437173
Armenia,135
Barbados,48765
Bélgica,102651853
Bolivia,21790193
Bosnia y Herzegovina,295894
Bulgaria,3238622
Myanmar,1093780
Bielorrusia,3365651
Camboya,44198
Camerún, República Unida del,9370
Canadá,80615471
Sri Lanka,2640004
Chad,2034
Chile,272634868
China,675861813
Taiwán,123982573
Colombia,18603165
Comoras,2149
República del Congo,2864147
Costa Rica,5625168
Croacia,1045780
Cuba,1095304
Chipre,94213
República Checa,21031142
Dinamarca,65209640
Dominica,120
República Dominicana,475204
Ecuador,29406655
El Salvador,50756
Etiopía,21861
Estonia,53986
Finlandia,56282077
Francia,303676895
Gabón,1030
Georgia,10763324
Alemania,738337419
Ghana,995119
Gibraltar,46
Grecia,5633547
Granada,642172
Guatemala,124106
Haití,15700
Honduras,36112
Hong Kong,20947232
Hungría,18391738
Islandia,188091
India,130859863
Indonesia,63699368
Irán, República Islámica del,486532
Irlanda (Eire),40256835
Israel,37189007
Italia,425652468
Costa de Marfil,307094
Jamaica,3599
Japón,373429780
Kazajistán,1540237
Jordania,2
Kenia,138523
Corea (Sur), República de,200550085
Kuwait,3780390
Kirguizistán,606
Líbano,80672
Letonia,617573
Liechtenstein,178797
Lituania,20990
Luxemburgo,3900396
Macao,74789
Madagascar,178256
Malawi,1284838
Malasia,80753103
Maldivas,7199
Malta,654869
Mauritania,6013
Mauricio,14865
México,225942608
Mónaco,681495
Mongolia,266575
Marruecos,2864914
Mozambique,45941
Omán,136586
Namibia,28482
Países Bajos,108075462
Aruba,12517247
Nueva Zelanda,6264722
Nicaragua,68014
Nigeria,33750179
Noruega,12090180
Pakistán,16380184
Panamá,317113
Perú,15846779
Filipinas,13368960
Islas Pitcairn,3708
Polonia,24872538
Portugal,34097584
Puerto Rico,25089632
Qatar,169
Rumania,8734136
Rusia,96662345
San Marino,207188
Arabia Saudita,3762313
Senegal,3314
Sierra Leona,1503
Singapur,37226293
Eslovaquia,7887717
Vietnam,5682716
Eslovenia,3692396
Sudáfrica, República de,50025671
Zimbabwe,535717
España,371171139
Surinam,1000
Suecia,88684100
Suiza,177276146
Siria, República Arabe de,261091
Tailandia,51902137
Trinidad y Tobago,72029
Emiratos Arabes Unidos,2193453
Tunicia,11581659
Turquía,10076907
Ucrania,6422049
Macedonia,27485
Egipto,5351831
Reino Unido,205872496
Estados Unidos,2118468526
Uzbekistán,4786743
Venezuela,7692182
N/D,328227429
