"Category","Total"
Afganistán,494393.8
Albania,1745397.28
Argelia,452468347.3
Andorra,40443.45
Angola,139262002.85
Antigua y Barbuda,552112.08
Azerbaiján,781642.02
Australia,145161753.53
Austria,10871146.14
Bahamas,19968689.22
Bahrein,5289316.62
Bangladesh,162691242.38
Armenia,1687302.54
Barbados,2372476.39
Bélgica,261974974.84
Bolivia,380078911.77
Bosnia y Herzegovina,12563798.6
Botswana,1874131.26
Belice,1287918.1
Brunei Darussalam,356981.92
Bulgaria,122752485.68
Myanmar,40036
Burundi,51782.2
Bielorrusia,4307237.28
Camboya,1816283.81
Camerún, República Unida del,7220191.22
Canadá,303147804.32
Cabo Verde,1970073.88
República Centroafricana,70877.54
Sri Lanka,32737045.41
Chad,391443.11
Chile,4499690950.82
China,3192647255.04
Taiwán,107750142.2
Colombia,361062883.43
Comoras,108183.72
República del Congo,42974385.03
República Democrática del Congo,12741978.53
Costa Rica,55682646
Croacia,19216058.82
Cuba,96840548.58
Chipre,14873273.93
República Checa,20855144.3
Benin,2382193.04
Dinamarca,290512516.07
Dominica,679229.32
República Dominicana,123270635.7
Ecuador,264590426.22
El Salvador,59905897.93
Guinea Ecuatorial,1595137.35
Etiopía,143904.54
Eritrea,2046886.5
Estonia,4375190.3
Fiji,85161.17
Finlandia,58718233.65
Francia,380838183.99
Djibouti,100175.17
Gabón,8281368.57
Georgia,1423171.83
Gambia,1198584.99
Territorios Autónomos de Palestina,526085.91
Alemania,870993886.96
Ghana,26138295.29
Gibraltar,14113.28
Grecia,70154200.37
Granada,347831.12
Guatemala,126248349
Guinea,1741174.35
Guyana,1588221.02
Haití,11556161.11
Honduras,47574886.06
Hong Kong,142916138.06
Hungría,9121977.64
Islandia,810544.82
India,739135838.35
Indonesia,370344765.76
Irán, República Islámica del,187825.05
Irak,18769682.38
Irlanda (Eire),61372518.9
Israel,208409133.6
Italia,983504121.75
Costa de Marfil,14423086.45
Jamaica,10096281.28
Japón,304185189.31
Kazajistán,3252463.44
Jordania,68136154.77
Kenia,25524394.11
Corea (Sur), República de,368814918.55
Kuwait,30185237.92
Kirguizistán,29046.35
Líbano,27866151.01
Lesotho,185937.8
Letonia,30091178.03
Liberia,3096569.11
Libia,60223769.27
Liechtenstein,10013
Lituania,16032017.42
Luxemburgo,840328.93
Madagascar,13531985.9
Malawi,2857581.87
Malasia,420040999.39
Maldivas,232292.38
Malí,1446929.8
Malta,1535914.56
Mauritania,4115063.35
Mauricio,26439399.35
México,1158662018.91
Mónaco,13498.85
Mongolia,765746.94
Moldavia,585266.06
Marruecos,199614703.19
Mozambique,31337109.13
Omán,43688421.3
Namibia,1246216.24
Nepal,117230.44
Países Bajos,1351982100.13
Aruba,6845461.8
Vanuatu,193431.5
Nueva Zelanda,14623379.22
Nicaragua,47040385.27
Níger,8128696.16
Nigeria,108388636.54
Noruega,29690475.31
Marianas del Norte, Islas,17563.5
Pakistán,39090398.96
Panamá,64179811.07
Perú,599583423.29
Filipinas,302331829.28
Islas Pitcairn,4855.13
Polonia,300884864.49
Portugal,120725380.91
Guinea - Bissau,292078
Puerto Rico,78839385.73
Qatar,29440745.73
Rumania,18656292.11
Rusia,670587928.22
San Cristóbal y Nieves,242448.12
Santa Lucía,39611504.18
San Vicente y las Granadinas,360451.74
Santo Tomé y Príncipe,201386
Arabia Saudita,233014327.77
Senegal,29571351.28
Seychelles,273280.85
Sierra Leona,3220716.3
Singapur,16720035.08
Eslovaquia,272574.09
Vietnam,197308303.63
Eslovenia,16162827.23
Sudáfrica, República de,491402948.69
Zimbabwe,12647.52
España,1567002720.98
Surinam,3712958.83
Swasilandia,163620.48
Suecia,27359430.97
Suiza,97277122.44
Siria, República Arabe de,163445892.8
Tadjikistán,543192.51
Tailandia,312158693.72
Togo,4018349.95
Trinidad y Tobago,27070317.01
Emiratos Arabes Unidos,216646759.03
Tunicia,111293720.29
Turquía,211427178.7
Turkmenistán,6384
Uganda,744724.7
Ucrania,47135939.15
Macedonia,1670038.23
Egipto,558803246.21
Reino Unido,374678963.44
Tanzania, República Unida de,24249280.85
Estados Unidos,4493053976.09
Islas Vírgenes de los Estados Unidos,192119.92
Burkina Faso,461528.47
Uzbekistán,6390
Venezuela,513386093.4
Yemen,68117816.31
Zambia,783739.96
N/D,791073434.43
