"Category","Total"
Afganistán,24971.78
Albania,1064829.03
Argelia,171416339.03
Andorra,8797.1
Angola,706.78
Antigua y Barbuda,1549.83
Azerbaiján,131559.48
Australia,443656906.66
Austria,240557941.17
Bahamas,9532.99
Bahrein,68966491.62
Bangladesh,20447788.44
Armenia,79458.7
Barbados,88658.96
Bélgica,596389955.7
Bután,2822.52
Bolivia,2157463494.28
Bosnia y Herzegovina,2979218.03
Botswana,37
Belice,28125.52
Salomón, Islas,197.53
Brunei Darussalam,87740.49
Bulgaria,31715493.29
Myanmar,4531623.63
Bielorrusia,1040076.32
Camboya,20238395.47
Camerún, República Unida del,202101.59
Canadá,473056262.25
República Centroafricana,228.1
Sri Lanka,13368590.07
Chile,736422508.4
China,15855696384.33
Taiwán,501878129.86
Colombia,433908955.31
Comoras,21505.51
República del Congo,26519589.94
República Democrática del Congo,225.38
Costa Rica,21264790.93
Croacia,16948837.61
Cuba,4801366.72
Chipre,1238280.69
República Checa,181277736.34
Benin,31737.27
Dinamarca,199511024.55
Dominica,14856.78
República Dominicana,5050342.56
Ecuador,283708340.93
El Salvador,1347494.03
Guinea Ecuatorial,179493298.43
Etiopía,199193.2
Eritrea,553.05
Estonia,23731021.04
Fiji,272.13
Finlandia,465605082.27
Francia,1038561680.47
Gabón,619731.1
Georgia,1644467.5
Gambia,3255
Territorios Autónomos de Palestina,66250
Alemania,2587180462.95
Ghana,2191756.87
Gibraltar,906.89
Grecia,26766372.86
Groenlandia,12483.86
Granada,559632
Guatemala,3325357.66
Guinea,1422.9
Guyana,5009.6
Haití,140995.07
Honduras,1227780.73
Hong Kong,12625080.74
Hungría,248735136.54
Islandia,1029051.85
India,1699535310.83
Indonesia,418592083.62
Irán, República Islámica del,1211657.25
Irak,439815.37
Irlanda (Eire),370226086.81
Israel,186541840.61
Italia,1592344997.12
Costa de Marfil,1768781.34
Jamaica,28969802.43
Japón,1131564188.45
Kazajistán,30771176.64
Jordania,23830886.31
Kenia,668665.78
Corea (Sur), República de,646928919.78
Kuwait,76160501.39
Kirguizistán,83536.44
Laos, República Popular Democrática de,447403.83
Líbano,199234.06
Lesotho,5189.08
Letonia,3882022.82
Libia,207.48
Liechtenstein,1284544.18
Lituania,16498458.54
Luxemburgo,11702453.64
Macao,581948.49
Madagascar,1569266.44
Malawi,392019.41
Malasia,373518968.25
Maldivas,79425.42
Malí,570
Malta,1368539.05
Mauritania,1056.98
Mauricio,338240.56
México,1619421498.94
Mónaco,450740.73
Mongolia,1207.79
Moldavia,1811030.72
Montenegro,21022.47
Marruecos,506498575.23
Mozambique,333897.9
Omán,64264351.22
Namibia,9274.61
Nepal,25992.86
Países Bajos,838211616.64
Curazao,151048.65
Aruba,691.91
San Martín (Parte holandesa),413.38
Nueva Zelanda,22424096.98
Nicaragua,494179.81
Níger,2775.37
Nigeria,116514743.52
Noruega,148213668.65
Micronesia, Estados Federados de,2.29
Pakistán,60758191.82
Panamá,777940.46
Papúa Nueva Guinea,58366.25
Perú,271552636.12
Filipinas,123610756.06
Polonia,220589287.06
Portugal,192651454.26
Timor Leste,52.63
Puerto Rico,63340160.57
Qatar,126687088.32
Rumania,108440235.79
Rusia,249138795.75
Ruanda,850.27
San Cristóbal y Nieves,25520.9
Santa Lucía,3938.36
San Marino,372342.41
Santo Tomé y Príncipe,282.21
Arabia Saudita,1029960308.04
Senegal,582.05
Serbia,26016466
Seychelles,16791.06
Sierra Leona,50913.42
Singapur,120829824.76
Eslovaquia,64307579.4
Vietnam,1184978978.02
Eslovenia,25869480.45
Somalia,1027294.37
Sudáfrica, República de,183646265.45
Zimbabwe,520394.45
España,1176115195.6
Sudan,396412.09
Surinam,343.91
Swasilandia,11903.35
Suecia,250483123.24
Suiza,571739187.19
Siria, República Arabe de,399.23
Tadjikistán,2.23
Tailandia,1690713515.88
Trinidad y Tobago,104142480.22
Emiratos Arabes Unidos,818702722.67
Tunicia,19311882.88
Turquía,422124980.18
Turkmenistán,105238096.56
Uganda,38069.58
Ucrania,16226440.53
Macedonia,813098.78
Egipto,397934466.85
Reino Unido,623114639.21
Tanzania, República Unida de,300439.49
Estados Unidos,9588299707.86
Islas Vírgenes de los Estados Unidos,510
Burkina Faso,25453.62
Uzbekistán,368076.65
Venezuela,2856395.02
Samoa,24.51
Yemen,13307.69
N/D,970716065.58
