Date,Price (USD per ton)
2000,211.83333333333334
2001,195.83333333333334
2002,212.66666666666666
2003,264.0
2004,306.5
2005,274.6875
2006,268.6458333333333
2007,383.1033333333333
2008,521.87
2009,423.6225
2010,447.1016666666667
2011,537.5191666666667
2012,595.5075
2013,551.3891666666667
2014,484.8575
2015,392.1225
2016,405.4475
2017,393.3775
2018,394.4241666666667
2019,368.37916666666666
2020,406.625
2021,583.3225
2022,675.395
