"Category","Total"
Afganistán,53452.84
Albania,14559.65
Argelia,14615613.88
Andorra,50495.27
Angola,11536
Antigua y Barbuda,51.7
Azerbaiján,108825.83
Australia,124393894.54
Austria,114965040.66
Bahamas,2322285.49
Bahrein,6928689.6
Bangladesh,2297088.64
Barbados,139171.29
Bélgica,220758120.48
Bolivia,303859978.25
Bosnia y Herzegovina,227452.25
Belice,3124.39
Bulgaria,10003199.11
Myanmar,9375650.19
Bielorrusia,6720832.01
Camboya,1476167.16
Camerún, República Unida del,3675.67
Canadá,175222857.28
República Centroafricana,2310.07
Sri Lanka,5960531.41
Chad,8189.06
Chile,571330356.28
China,2911766981.4
Taiwán,265999276.26
Colombia,51300969.57
Comoras,41896.04
República del Congo,113382.4
Costa Rica,20814498.65
Croacia,1090671.99
Cuba,2296472.78
Chipre,51215.02
República Checa,58832501.09
Dinamarca,110101296.24
Dominica,26715.43
República Dominicana,2333162.52
Ecuador,53352709.74
El Salvador,41921.58
Etiopía,18433.03
Estonia,1274843.46
Finlandia,122487909.12
Francia,875870447.88
Gabón,518306.96
Georgia,20332435.79
Gambia,1
Alemania,1488499611.64
Ghana,557396.48
Grecia,6769398.84
Granada,47335.84
Guatemala,1204384.26
Guinea,3802.59
Guyana,1290
Haití,17601.98
Honduras,78598.81
Hong Kong,28930578.05
Hungría,35845361.32
Islandia,257116.56
India,287859092.18
Indonesia,174212276.8
Irán, República Islámica del,878543.29
Irlanda (Eire),74262727.72
Israel,89110077.47
Italia,874154113.069999
Costa de Marfil,1583266.15
Jamaica,3799.9
Japón,893175057.73
Kazajistán,15941982.84
Jordania,6112
Kenia,261226.39
Corea (Sur), República de,411044153.78
Kuwait,9061852.44
Kirguizistán,3567.71
Laos, República Popular Democrática de,14113.08
Líbano,189480.7
Letonia,21365169.83
Liberia,1611.37
Libia,7487868.27
Liechtenstein,791185.51
Lituania,2928490.46
Luxemburgo,10384843.96
Macao,256574.37
Madagascar,110740.05
Malawi,2001952.05
Malasia,213655499.91
Malí,4310.22
Malta,1945308.47
Mauritania,63510.17
Mauricio,77639.33
México,1072609052.54
Mónaco,1240896.8
Mongolia,62706.56
Moldavia,8027.99
Marruecos,56911609.98
Omán,224466.79
Namibia,713.01
Nepal,58385.85
Países Bajos,196056350.69
Aruba,9102626
Nueva Zelanda,10599686.65
Nicaragua,16920.46
Nigeria,554855.46
Noruega,21142451.25
Marianas del Norte, Islas,328.7
Pakistán,37875118.84
Panamá,352205.7
Papúa Nueva Guinea,5852.95
Perú,49446378.48
Filipinas,39387448.73
Polonia,80157662
Portugal,62726069
Puerto Rico,44395333.68
Qatar,12536.69
Rumania,22872878.02
Rusia,214764249.94
San Cristóbal y Nieves,19.5
Santa Lucía,289.61
San Marino,170777.03
Arabia Saudita,355217.65
Senegal,3391.01
Seychelles,72932
Sierra Leona,225371.52
Singapur,138628268.38
Eslovaquia,17524603.74
Vietnam,41916254.02
Eslovenia,5946893.81
Somalia,3151.05
Sudáfrica, República de,106064946.51
Zimbabwe,11158.7
España,582833059.08
Surinam,259.78
Suecia,246642348.07
Suiza,252917459.6
Siria, República Arabe de,357088.98
Tadjikistán,2035.87
Tailandia,380727953.6
Tonga,2573.76
Trinidad y Tobago,7350.55
Emiratos Arabes Unidos,451689.69
Tunicia,8771426.85
Turquía,55503465.33
Ucrania,23815930.81
Macedonia,2962433.37
Egipto,12315151.71
Reino Unido,372251358.12
Tanzania, República Unida de,16684.21
Estados Unidos,4064359074.22
Islas Vírgenes de los Estados Unidos,1087827.41
Burkina Faso,2786.44
Uzbekistán,434.18
Venezuela,21791691.24
N/D,1525784605.59
