"Category","Total"
Afganistán,433882.99
Albania,150185.43
Argelia,9742.8
Samoa Americana,43231.3
Andorra,98367.86
Angola,11064.91
Antigua y Barbuda,239.65
Azerbaiján,48368.32
Australia,190587123.67
Austria,220456125.59
Bahamas,22745398.71
Bahrein,5891340.88
Bangladesh,8911062.36
Armenia,737.31
Barbados,59.85
Bélgica,735738451.8
Bután,333.15
Bolivia,2758168226.3
Bosnia y Herzegovina,1489375.94
Botswana,1019.38
Belice,10706.49
Brunei Darussalam,7983.87
Bulgaria,16198813.25
Myanmar,7837474.25
Bielorrusia,7106745.85
Camboya,14906179.57
Camerún, República Unida del,305163.72
Canadá,471969751.87
República Centroafricana,1951.94
Sri Lanka,6043455.1
Chad,58688.13
Chile,901933508.84
China,10797809870.1
Taiwán,525120422.04
Colombia,406771040.68
Comoras,25100.62
República del Congo,32041.03
República Democrática del Congo,249.69
Costa Rica,51899685.75
Croacia,3285487.31
Cuba,11091015.25
Chipre,101470.58
República Checa,158570458.38
Benin,1070
Dinamarca,156132631.71
Dominica,6579.5
República Dominicana,2614605.18
Ecuador,216968999.2
El Salvador,570885.48
Guinea Ecuatorial,27868.33
Etiopía,132110.82
Estonia,3759636.63
Fiji,10685.5
Finlandia,162794454.6
Francia,1675365821.33
Gabón,1593540.4
Georgia,361585.56
Gambia,760.75
Territorios Autónomos de Palestina,44.94
Alemania,3774228332.75
Ghana,74920.08
Gibraltar,19724.72
Grecia,11917106.06
Guatemala,3742495.33
Guinea,4208.68
Guyana,14212.96
Haití,96750.81
Honduras,8276610.37
Hong Kong,27281075.29
Hungría,144239871.64
Islandia,463391.35
India,741233163.69
Indonesia,363500857.45
Irán, República Islámica del,51895.08
Irak,3070.45
Irlanda (Eire),221488452.11
Israel,144436249.58
Italia,1595480946.23
Costa de Marfil,1662355.28
Jamaica,6834.29
Japón,1476536658.57
Kazajistán,4357040.57
Jordania,1564730.7
Kenia,294114.61
Corea (Sur), República de,1160325020.94
Kuwait,72.06
Kirguizistán,230.94
Laos, República Popular Democrática de,39616.65
Líbano,2400370.98
Lesotho,293.27
Letonia,13050721.06
Libia,11191093.91
Liechtenstein,1020168.26
Lituania,15353406.89
Luxemburgo,8884756.27
Macao,133793.71
Madagascar,693521.47
Malawi,4308567.27
Malasia,470974313.14
Malta,4276658.42
Mauritania,66.24
Mauricio,179126.21
México,2077073777.67
Mónaco,1239533.58
Moldavia,9640.9
Montenegro,75.47
Marruecos,41957020
Mozambique,2737022.35
Omán,1347079.56
Namibia,7687927.42
Nauru,13633.02
Nepal,191923.55
Países Bajos,1024309584.3
Nueva Zelanda,15024905.19
Nicaragua,383244.21
Níger,4600.06
Nigeria,248382502.05
Noruega,85526227.62
Marianas del Norte, Islas,1014.47
Pakistán,58740786.96
Panamá,259196.23
Papúa Nueva Guinea,11005.37
Perú,123910815.21
Filipinas,100379166.97
Polonia,208827334.76
Portugal,219060782.53
Puerto Rico,52918246.8
Qatar,1009028616.25
Rumania,55084268.29
Rusia,1635236341.88
San Cristóbal y Nieves,62011.09
San Marino,255456.29
Arabia Saudita,18448099.49
Senegal,96160.47
Serbia,963857.67
Seychelles,59700
Sierra Leona,631477
Singapur,119236462.42
Eslovaquia,70485946
Vietnam,191309962.78
Eslovenia,21614650.88
Somalia,422954.97
Sudáfrica, República de,225403685.99
Zimbabwe,2106383.22
España,1297103493.81
Sudan,221360.13
Surinam,601.38
Swasilandia,27255.08
Suecia,294624730.49
Suiza,498094631.6
Siria, República Arabe de,82011.51
Tadjikistán,1830.81
Tailandia,903599874.99
Togo,2054.2
Trinidad y Tobago,1790944284.66
Emiratos Arabes Unidos,47895064.03
Tunicia,17263062.65
Turquía,352110169.69
Turkmenistán,719.22
Uganda,233.71
Ucrania,17107592.72
Macedonia,2334573.34
Egipto,112272125.42
Reino Unido,560878990.46
Tanzania, República Unida de,196933.29
Estados Unidos,7619557674.25
Islas Vírgenes de los Estados Unidos,6262941.4
Burkina Faso,351.84
Uzbekistán,877606.48
Venezuela,45575872.77
Yemen,10325
Zambia,328.5
N/D,850712238.32
