"Category","Total"
Afganistán,144171.24
Albania,2138385.29
Argelia,765293676.5
Samoa Americana,27215.66
Andorra,150439.88
Angola,165981960.6
Antigua y Barbuda,192473.24
Azerbaiján,3306029.58
Australia,210677991.74
Austria,16675953.83
Bahamas,2198356.06
Bahrein,3679114.29
Bangladesh,310312095.96
Armenia,5216992.35
Barbados,2204434.49
Bélgica,408933455.28
Bolivia,463486225.9
Bosnia y Herzegovina,5914706.77
Botswana,125768.5
Belice,2295252.1
Brunei Darussalam,189968.37
Bulgaria,14497345.35
Myanmar,369257.51
Bielorrusia,9480340.68
Camboya,2986275.68
Camerún, República Unida del,11229386.13
Canadá,349991278.37
Cabo Verde,1221011
República Centroafricana,155575
Sri Lanka,2002692
Chad,553065.5
Chile,4180180418.04
China,5169816507.78
Taiwán,85691822.55
Colombia,576450614.29
Comoras,481174.83
República del Congo,54824112.62
República Democrática del Congo,27292179.95
Costa Rica,103446765.32
Croacia,41448792.66
Cuba,100718538.19
Chipre,25636968.59
República Checa,33632890.56
Benin,4808243.55
Dinamarca,350269796.88
Dominica,387176.14
República Dominicana,198483290.62
Ecuador,345436193.27
El Salvador,93071843.07
Guinea Ecuatorial,2692008.61
Etiopía,507221.39
Eritrea,22426.89
Estonia,6298833.02
Fiji,198620.02
Finlandia,149952810.34
Francia,605104404.7
Djibouti,360944.58
Gabón,10251128.79
Georgia,3116014.96
Gambia,4332930.91
Territorios Autónomos de Palestina,299560.62
Alemania,1264813659.89
Ghana,32366809.04
Gibraltar,9548.15
Grecia,121693244.01
Granada,565094.23
Guatemala,154398832.45
Guinea,3426949.29
Guyana,1977168.58
Haití,14665604.45
Honduras,61500726.55
Hong Kong,193213276.62
Hungría,11604815.78
Islandia,1638460.38
India,868679626.55
Indonesia,408666126.43
Irán, República Islámica del,319286083.24
Irak,16854443.43
Irlanda (Eire),115800328.64
Israel,212693727.35
Italia,1387220953.36
Costa de Marfil,17227107.23
Jamaica,13116527.82
Japón,686147550.84
Kazajistán,15978400.55
Jordania,25218183.9
Kenia,50491783.07
Corea (Sur), República de,700876953.83
Kuwait,39819817.56
Kirguizistán,353721.44
Laos, República Popular Democrática de,42573.55
Líbano,45945784.51
Letonia,9191938.35
Liberia,13819430.31
Libia,122532268.54
Liechtenstein,19233
Lituania,18802964.53
Luxemburgo,1399247.48
Macao,3054.98
Madagascar,30561240.85
Malawi,8682381.99
Malasia,567989314.12
Maldivas,67371.06
Malí,1733438.98
Malta,1739181.29
Mauritania,10417893.08
Mauricio,25793821.12
México,1439485778.06
Mónaco,88755.6
Mongolia,969708.6
Moldavia,364032.23
Montenegro,5428137.19
Marruecos,353759643.74
Mozambique,59545561.95
Omán,25413986.16
Namibia,3217104.66
Nepal,26954.5
Países Bajos,1797425781.12
Aruba,4398487.31
Vanuatu,134916.39
Nueva Zelanda,30683014.72
Nicaragua,54600873.58
Níger,7471636.31
Nigeria,302801544.99
Noruega,24162297.79
Marshall, Islas,561180
Pakistán,79975945.63
Panamá,132811424.67
Papúa Nueva Guinea,37335
Perú,958019826.23
Filipinas,431246120.21
Polonia,417089980.91
Portugal,193191374.2
Guinea - Bissau,472449
Puerto Rico,193077755.47
Qatar,15337823.11
Rumania,81763784.4
Rusia,784576192.92
Ruanda,9447.9
San Cristóbal y Nieves,180941.29
Santa Lucía,968653.88
San Vicente y las Granadinas,225743.46
San Marino,6120
Santo Tomé y Príncipe,38419.23
Arabia Saudita,372485659.89
Senegal,56238409.52
Serbia,8430593.51
Seychelles,191588.49
Sierra Leona,6336951.88
Singapur,26465808.23
Eslovaquia,3839980.1
Vietnam,330842502.05
Eslovenia,46256210.71
Sudáfrica, República de,999620562.89
Zimbabwe,72056.53
España,2064842545.67
Surinam,5366794.53
Swasilandia,448931.52
Suecia,60468916.56
Suiza,536873289.26
Siria, República Arabe de,144323592.73
Tadjikistán,297000
Tailandia,366708457.91
Togo,7596204.38
Tonga,30371.65
Trinidad y Tobago,27632687.13
Emiratos Arabes Unidos,191225235.48
Tunicia,166507960.21
Turquía,271823627.58
Turkmenistán,1983945.7
Uganda,5884099.64
Ucrania,80169859.7
Macedonia,2530836.56
Egipto,577471653.79
Reino Unido,694117197.24
Tanzania, República Unida de,45219328.97
Estados Unidos,4153418984.27
Burkina Faso,912453.12
Uzbekistán,5258714.56
Venezuela,1178485814.56
Yemen,101723104.4
Zambia,327753.15
N/D,1052138593.26
