"Category","Total"
Afganistán,247684.28
Albania,558085.91
Argelia,537743007
Andorra,135762.1
Angola,138458144.77
Antigua y Barbuda,404556.64
Azerbaiján,981181.18
Australia,135366449.29
Austria,9914144.67
Bahamas,5196910.69
Bahrein,5992168.89
Bangladesh,140010770.63
Armenia,2595404.2
Barbados,1646774.59
Bélgica,298299529.95
Bután,13900
Bolivia,380544138.51
Bosnia y Herzegovina,3222659.42
Botswana,31519.5
Belice,1897680.21
Brunei Darussalam,455526.96
Bulgaria,75094573.67
Myanmar,120290.04
Burundi,16338.7
Bielorrusia,4904449.23
Camboya,1736468.54
Camerún, República Unida del,10614913.97
Canadá,437450735.43
Cabo Verde,2032692.1
República Centroafricana,22172.77
Sri Lanka,2524664.81
Chad,206625
Chile,4403814877.06
China,3475852591.52
Taiwán,83768587.81
Colombia,550872720.97
Comoras,342477.15
República del Congo,44751904.75
República Democrática del Congo,35314366.74
Costa Rica,99507534.75
Croacia,36717119.29
Cuba,95800122.34
Chipre,24420775.14
República Checa,22596063.1
Benin,4928096.21
Dinamarca,292163507.99
Dominica,472080.05
República Dominicana,149169209.54
Ecuador,302419863.71
El Salvador,95408908.19
Guinea Ecuatorial,1229042.89
Etiopía,150183.78
Eritrea,18719.68
Estonia,5248203.36
Fiji,109460.45
Finlandia,111983930.19
Francia,553352550.95
Djibouti,165176.72
Gabón,12311777.19
Georgia,3971523.24
Gambia,2141273.57
Territorios Autónomos de Palestina,1145528.61
Alemania,1124426407.4
Ghana,20514831.76
Gibraltar,73165.61
Grecia,76961382.76
Granada,507242.42
Guatemala,171814063.87
Guinea,2124859.21
Guyana,2245631.18
Haití,21631826.11
Honduras,85697178.69
Hong Kong,170047116.46
Hungría,10226476.5
Islandia,978666.19
India,908613316.55
Indonesia,316883274.85
Irán, República Islámica del,6390703.48
Irak,30940514.87
Irlanda (Eire),93211065.45
Israel,134853990.93
Italia,1095553696.5
Costa de Marfil,11682643.23
Jamaica,16616200.51
Japón,398009350.3
Kazajistán,16929574.79
Jordania,46582347.69
Kenia,15305186.23
Corea (Sur), República de,428629072.32
Kuwait,63266889.98
Líbano,27516916.62
Letonia,28447375.55
Liberia,3482983.63
Libia,83792693.46
Liechtenstein,33015
Lituania,14294412.47
Luxemburgo,887926.25
Macao,103947
Madagascar,14420204.94
Malawi,4707395.15
Malasia,531547381.91
Maldivas,30994.65
Malí,4752334.43
Malta,4205139.32
Mauritania,1832206.71
Mauricio,45089394.28
México,1519174805.16
Mónaco,53535.98
Mongolia,691450.53
Moldavia,826757.13
Marruecos,232663537.1
Mozambique,35929349.24
Omán,49177928.73
Namibia,1833951.05
Nepal,99923.26
Países Bajos,1444647727.24
Aruba,7169342.34
Vanuatu,262635.57
Nueva Zelanda,14371422.03
Nicaragua,56434114.92
Níger,11072435.37
Nigeria,158092997.88
Noruega,28566644.83
Marianas del Norte, Islas,12855
Pakistán,58347782.01
Panamá,98544614.69
Papúa Nueva Guinea,53340
Perú,728912984.55
Filipinas,287206392.29
Polonia,338689609.65
Portugal,79613184.66
Guinea - Bissau,465270
Puerto Rico,93783276.98
Qatar,19511620.9
Rumania,36140982.07
Rusia,901389950.46
Ruanda,574787.6
San Cristóbal y Nieves,263180.76
Santa Lucía,557291.7
San Vicente y las Granadinas,280913.27
San Marino,50997.13
Arabia Saudita,343676613.17
Senegal,72943269.75
Seychelles,228837.77
Sierra Leona,8154421.37
Singapur,44108330.86
Eslovaquia,2604811.48
Vietnam,204580859.13
Eslovenia,28425948.32
Sudáfrica, República de,916535527.77
Zimbabwe,97965.95
España,1825811423.48
Surinam,4326930.33
Swasilandia,48040.95
Suecia,34758581.73
Suiza,518513517.89
Siria, República Arabe de,129757081.33
Tailandia,285313924.57
Togo,9399956.92
Tonga,8765.34
Trinidad y Tobago,29069972.31
Emiratos Arabes Unidos,159636347.01
Tunicia,132457263.11
Turquía,243528497.02
Uganda,2322551.27
Ucrania,48902991.07
Macedonia,2714964.22
Egipto,324130284.87
Reino Unido,490632172.55
Tanzania, República Unida de,20278557.57
Estados Unidos,4025330031.41
Islas Vírgenes de los Estados Unidos,24833.9
Burkina Faso,2303008.32
Venezuela,809479939.7
Samoa,95301.89
Yemen,68844690.08
Zambia,439782.25
N/D,968334994.95
