jun. 2020,"369,58"
jul. 2020,"381,07"
ago. 2020,"384,55"
sep. 2020,"423,41"
oct. 2020,"454,25"
nov. 2020,"499,98"
dic. 2020,"510,94"
ene. 2021,"576,37"
feb. 2021,"578,26"
mar. 2021,"585,71"
abr. 2021,"597,13"
may. 2021,"646,8"
jun. 2021,"614,68"
jul. 2021,"600,44"
ago. 2021,"585,8"
sep. 2021,"557,55"
oct. 2021,"551,95"
nov. 2021,"551,04"
dic. 2021,"554,14"
ene. 2022,"606,22"
feb. 2022,"661,63"
mar. 2022,"720,6"
abr. 2022,"720,79"
may. 2022,"724,09"
jun. 2022,"737,06"
jul. 2022,"678,2"
ago. 2022,"671,11"
sep. 2022,"664,45"
oct. 2022,626
nov. 2022,"648,92"
dic. 2022,"645,67"
