"Category","Total"
Afganistán,2159
Albania,15413
Argelia,252418
Andorra,7667
Angola,16
Azerbaiján,641
Australia,61980709
Austria,84460823
Bahamas,1056979
Bangladesh,991631
Armenia,8
Barbados,56894
Bélgica,134457263
Bután,443
Bolivia,123701993
Bosnia y Herzegovina,595458
Belice,337
Bulgaria,4053058
Myanmar,4279186
Bielorrusia,1991929
Camboya,301737
Camerún, República Unida del,36809
Canadá,120826833
Sri Lanka,4721314
Chile,381984324
China,1298336613
Taiwán,176314054
Colombia,41352299
Comoras,26854
República del Congo,1777517
Costa Rica,16533256
Croacia,338697
Cuba,1439884
Chipre,45367
República Checa,37002976
Dinamarca,97373701
Dominica,26999
República Dominicana,849514
Ecuador,39320970
El Salvador,39018
Estonia,703731
Finlandia,69987063
Francia,559297455
Georgia,6319
Alemania,1051952647
Ghana,28244407
Grecia,10805506
Granada,530028
Guatemala,189417
Guyana,3541
Haití,43114
Honduras,71179
Hong Kong,26265149
Hungría,20818128
Islandia,305589
India,153746956
Indonesia,97700263
Irán, República Islámica del,1290288
Irlanda (Eire),47057254
Israel,55604312
Italia,597570405
Costa de Marfil,476251
Jamaica,26524
Japón,580733363
Kazajistán,13331480
Jordania,5011
Kenia,167957
Corea (Sur), República de,287599330
Kuwait,4724145
Kirguizistán,51
Laos, República Popular Democrática de,25371
Líbano,149670
Letonia,24815921
Liberia,24976
Libia,15
Liechtenstein,500388
Lituania,81429
Luxemburgo,7413059
Macao,22002
Madagascar,109860
Malawi,1121087
Malasia,124595373
Malí,15
Malta,764611
Mauritania,43576
Mauricio,41361
México,726568304
Mónaco,947769
Mongolia,433222
Marruecos,4469103
Mozambique,211
Omán,4185
Namibia,1639
Nepal,1659
Países Bajos,161077514
Aruba,20263022
Nueva Zelanda,10956479
Nicaragua,17687
Nigeria,14365936
Noruega,20705491
Marianas del Norte, Islas,1219
Pakistán,25767195
Panamá,337626
Papúa Nueva Guinea,13084
Perú,31395035
Filipinas,19575844
Polonia,39176086
Portugal,48087915
Puerto Rico,42040174
Qatar,682
Rumania,20621438
Rusia,111785230
Santa Lucía,415
San Marino,19722
Arabia Saudita,8634775
Senegal,2171
Sierra Leona,593
Singapur,62098209
Eslovaquia,11516085
Vietnam,10706090
Eslovenia,3904399
Somalia,14637
Sudáfrica, República de,76398809
Zimbabwe,320339
España,491461966
Suecia,257522191
Suiza,241468303
Siria, República Arabe de,1174490
Tailandia,119744756
Tonga,339
Trinidad y Tobago,3199280
Emiratos Arabes Unidos,2630817
Tunicia,13611961
Turquía,24371146
Turkmenistán,4
Ucrania,16360783
Macedonia,370230
Egipto,13200584
Reino Unido,298013674
Tanzania, República Unida de,448
Estados Unidos,3228351687
Islas Vírgenes de los Estados Unidos,621411
Burkina Faso,7994
Uzbekistán,5620
Venezuela,28823001
N/D,848072955
