"Category","Total"
Afganistán,1254648.37
Albania,1457441.36
Argelia,1465525991.92
Andorra,22488.29
Angola,200150929.4
Antigua y Barbuda,587754.42
Azerbaiján,6846779.71
Australia,585000864.85
Austria,14288212.01
Bahamas,31802306.76
Bahrein,19704587.91
Bangladesh,358214528.36
Armenia,5847769.02
Barbados,2176825.59
Bélgica,448536625.13
Bolivia,852160026.65
Bosnia y Herzegovina,4940444.86
Botswana,208051.2
Belice,338571.3
Salomón, Islas,72930
Brunei Darussalam,71284
Bulgaria,100832901.85
Myanmar,841229.9
Bielorrusia,7142129.46
Camboya,14076811.99
Camerún, República Unida del,37600612.24
Canadá,2213448753.24
Cabo Verde,5040663.53
Sri Lanka,3371691.65
Chad,950840
Chile,5051833888.29
China,5068295629.06
Taiwán,307351197.64
Colombia,2079591109.04
Comoras,1665364.26
República del Congo,48455381.99
República Democrática del Congo,40670638.07
Costa Rica,100445086.71
Croacia,36852627.94
Cuba,106709193.65
Chipre,22434629.41
República Checa,42596951.1
Benin,13921886.67
Dinamarca,409187268.41
Dominica,596738.52
República Dominicana,243934225.36
Ecuador,417795548.81
El Salvador,30395376.99
Guinea Ecuatorial,29624262.68
Etiopía,1063042.52
Eritrea,316940
Estonia,9468821.88
Fiji,811166.09
Finlandia,50131127.91
Francia,413415921.09
Djibouti,38260127.7
Gabón,9187436.2
Georgia,15061699.35
Gambia,361268.83
Territorios Autónomos de Palestina,3426598.9
Alemania,1970216475.07
Ghana,32777540.03
Gibraltar,130129
Grecia,109286641.32
Granada,420779.26
Guatemala,133844852.91
Guinea,1990204.81
Guyana,2946469.05
Haití,26462296.25
Honduras,33621484.71
Hong Kong,310287669.59
Hungría,11069047.4
Islandia,29411498.87
India,1186810267.01
Indonesia,1549438818.72
Irán, República Islámica del,987373649.94
Irak,104352977.75
Irlanda (Eire),216778945.44
Israel,225655791.56
Italia,1118830595.15
Costa de Marfil,25967047.74
Jamaica,10248623.86
Japón,1207486041.82
Kazajistán,37959067.4
Jordania,218935526.25
Kenia,106190055.68
Corea (Sur), República de,1381682467.76
Kuwait,31342189.23
Kirguizistán,239643.17
Laos, República Popular Democrática de,13312.7
Líbano,82873756.25
Letonia,132045369.7
Liberia,4237575.17
Libia,95540624.82
Liechtenstein,122365.04
Lituania,164292596.75
Luxemburgo,1498571.64
Macao,729.36
Madagascar,4524596.07
Malawi,1287347.72
Malasia,993685227.43
Maldivas,182401.41
Malí,3829199.11
Malta,1853744.57
Mauritania,37624882.55
Mauricio,70391974.89
México,889136695.44
Mónaco,651243.21
Mongolia,2439721.88
Moldavia,5092240.52
Montenegro,1206036.66
Marruecos,516053752.78
Mozambique,69434695.7
Omán,38999749.65
Namibia,12333386.58
Nepal,162810.5
Países Bajos,2204214624.96
Aruba,3628873.53
Vanuatu,133081.31
Nueva Zelanda,117040061.31
Nicaragua,25979429.48
Níger,13359265.1
Nigeria,151175201.79
Noruega,35969230.62
Pakistán,66759480.17
Panamá,170841337.5
Papúa Nueva Guinea,109706.87
Perú,1924853113.87
Filipinas,302123243.99
Polonia,556112817.25
Portugal,71801940.07
Guinea - Bissau,44200
Puerto Rico,44110350.15
Qatar,8931946.48
Rumania,63614804.5
Rusia,745129503.58
Ruanda,4493978.48
San Cristóbal y Nieves,226278.53
Santa Lucía,120479525.37
San Vicente y las Granadinas,401542.6
San Marino,152965
Santo Tomé y Príncipe,31496
Arabia Saudita,789035513.4
Senegal,117140396.21
Serbia,8551535.85
Seychelles,440565.29
Sierra Leona,2769920.41
Singapur,48379369.63
Eslovaquia,2598956.22
Vietnam,800855888.6
Eslovenia,4110190.82
Somalia,42250
Sudáfrica, República de,1030102693.54
Zimbabwe,13352084.89
España,2514557423.2
Sudan,17210148.05
Surinam,10146396.16
Suecia,71665389.26
Suiza,656640098.99
Siria, República Arabe de,212399525.06
Tadjikistán,37393.2
Tailandia,682704715.53
Togo,4511051.89
Trinidad y Tobago,20999063.9
Emiratos Arabes Unidos,280624031.12
Tunicia,175880013.64
Turquía,302021297.77
Turkmenistán,8724790.36
Uganda,18930739.43
Ucrania,81498031.26
Macedonia,4945674.42
Egipto,1013232674.08
Reino Unido,818080472.57
Tanzania, República Unida de,86483722.41
Estados Unidos,3978921116.18
Islas Vírgenes de los Estados Unidos,79447.76
Burkina Faso,1327145.48
Uzbekistán,5957778.99
Venezuela,2220365762.53
Yemen,227318537.41
Zambia,2251374.25
N/D,2245103400.18
