"Category","Total"
Albania,6115607.12
Argelia,1467376990.24
Angola,96240973.38
Antigua y Barbuda,236500.84
Azerbaiján,2122479.62
Australia,620719211.13
Austria,7661951.01
Bahamas,1027904.28
Bahrein,2912666.99
Bangladesh,875658773.46
Armenia,10644.14
Barbados,646764
Bélgica,419762151.97
Bolivia,564622320.18
Bosnia y Herzegovina,10498662.23
Belice,1117239.61
Bulgaria,27361373.96
Myanmar,31609812.6
Bielorrusia,143798842.48
Camboya,5124527.7
Camerún, República Unida del,37607952.75
Canadá,704964435.69
Cabo Verde,2842173.65
Sri Lanka,3346394.07
Chile,4204882098.8
China,6155976377.3
Taiwán,336715793.35
Colombia,1129879435.9
Comoras,84475
República del Congo,32725810.81
República Democrática del Congo,7603285.34
Costa Rica,92095160.28
Croacia,42800455.15
Cuba,328993309.17
Chipre,47286505.64
República Checa,19351684.91
Benin,3400223.15
Dinamarca,183418122.11
República Dominicana,328131872.97
Ecuador,504208463.08
El Salvador,56636095.57
Guinea Ecuatorial,4511546.6
Estonia,1431454.82
Finlandia,7886600.77
Francia,431975052.39
Djibouti,557090
Gabón,6629421.16
Georgia,16398537.58
Gambia,9840195.88
Territorios Autónomos de Palestina,1194766.03
Alemania,810665236.96
Ghana,90228349.89
Grecia,238361638.44
Granada,229283.84
Guatemala,231658098.63
Guinea,16716581.65
Guyana,4809357.65
Haití,10661258.61
Honduras,62226796.55
Hong Kong,139300054.88
Hungría,8395404.49
Islandia,2918110.03
India,4293273360.13
Indonesia,1862979945.41
Irán, República Islámica del,1201554574.92
Irak,407036192.76
Irlanda (Eire),437595337.48
Israel,366419999.52
Italia,974029578.48
Costa de Marfil,118246614.47
Jamaica,8135361.1
Japón,721943983.15
Kazajistán,6779494.4
Jordania,304789101.26
Kenia,148303877.26
Corea (Sur), República de,1720166412.17
Kuwait,30086938.03
Líbano,90204562.82
Letonia,175877446.95
Liberia,2824033.02
Libia,128876454.99
Lituania,42875177.52
Madagascar,10227140.48
Malasia,1426079497.88
Maldivas,450509.78
Malí,12388871.08
Malta,2467848.03
Mauritania,25903939.42
Mauricio,65956131.75
México,696174781
Mongolia,1643349.7
Moldavia,3106710.03
Montenegro,845419.3
Marruecos,679273545.41
Mozambique,230513402.11
Omán,89019017.89
Namibia,820804.27
Nepal,10876507.59
Países Bajos,2984597639.68
Curazao,7365769.66
Aruba,1229095.98
San Martín (Parte holandesa),779650.5
Bonaire, San Eustatius y Saba,112748970.08
Nueva Zelanda,183232083.02
Nicaragua,69472016.07
Níger,3506025
Nigeria,173585596.98
Noruega,20389946.39
Pakistán,131279154.55
Panamá,139843843.39
Perú,2007648016.3
Filipinas,348333171.03
Polonia,788555600.3
Portugal,140194470.9
Puerto Rico,73904298.98
Qatar,23255053.49
Rumania,146579309.82
Rusia,679975782.07
San Cristóbal y Nieves,66961.24
Santa Lucía,307219.43
Arabia Saudita,850454524.51
Senegal,158577683.48
Serbia,9222539.59
Seychelles,86340.13
Sierra Leona,2311614.9
Singapur,81403083.77
Eslovaquia,14088658.65
Vietnam,3221526799.94
Eslovenia,42570464.69
Sudáfrica, República de,452811825.8
España,1848774605.67
Sudan,774386.61
Surinam,3084256.21
Suecia,24769470.19
Suiza,954544420.18
Siria, República Arabe de,50927363.68
Tailandia,432050983.49
Togo,28738724.12
Trinidad y Tobago,18942891.62
Emiratos Arabes Unidos,773538971.28
Tunicia,164348353.76
Turquía,557476613.83
Uganda,57304789.65
Ucrania,41205748.89
Macedonia,7627469.08
Egipto,1535629139.03
Reino Unido,760357533.74
Tanzania, República Unida de,27604217.83
Estados Unidos,4921193678.66
Islas Vírgenes de los Estados Unidos,105095.57
Venezuela,175157346.84
Yemen,274611575.19
N/D,1109894377.4
