"Category","Total"
Afganistán,2462452.4
Albania,9207946.04
Argelia,709993445.87
Samoa Americana,33692.23
Andorra,174110.37
Angola,163737256
Antigua y Barbuda,408042.06
Azerbaiján,3385143.07
Australia,242346473.04
Austria,12506645.11
Bahamas,12173606.92
Bahrein,3165115.27
Bangladesh,214003761.99
Armenia,2848947.93
Barbados,2039118.36
Bélgica,456786751.65
Bolivia,580916815.35
Bosnia y Herzegovina,7885365.98
Botswana,69332.08
Belice,234384
Brunei Darussalam,664715.18
Bulgaria,11087568.71
Myanmar,486929.86
Bielorrusia,4358623.29
Camboya,6568739.15
Camerún, República Unida del,24455932.12
Canadá,466849968.88
Cabo Verde,1356640.28
República Centroafricana,71972.5
Sri Lanka,1185742.67
Chad,1043017.45
Chile,4386656154.99
China,3666460592.53
Taiwán,68140733.08
Colombia,874363998.18
Comoras,868192.65
República del Congo,74204868.23
República Democrática del Congo,20698866.53
Costa Rica,159580107.33
Croacia,27503648.93
Cuba,52086515.46
Chipre,29893933.25
República Checa,14824408.75
Benin,2842190.17
Dinamarca,440166284.07
Dominica,594286.45
República Dominicana,139637362.74
Ecuador,454573715.76
El Salvador,13332195.98
Guinea Ecuatorial,5465956.52
Etiopía,679863.07
Estonia,5051704.69
Fiji,84038.32
Finlandia,18239604.33
Francia,446145823.41
Djibouti,153670.9
Gabón,7314860.15
Georgia,6209114.17
Gambia,3567810.82
Territorios Autónomos de Palestina,2202702.23
Alemania,1391484748.34
Ghana,36685021.52
Grecia,141546306.23
Granada,501069.49
Guatemala,92422914.77
Guinea,1574791.99
Guyana,928102.32
Haití,32213646.52
Honduras,16677793.79
Hong Kong,282028758.93
Hungría,12510127.11
Islandia,2330648.86
India,648330829.98
Indonesia,603956166.3
Irán, República Islámica del,855367516.79
Irak,132054137.76
Irlanda (Eire),73650433.6
Israel,267238579.53
Italia,1501359668.62
Costa de Marfil,15515956.93
Jamaica,10245317.03
Japón,493393382.25
Kazajistán,42097472.15
Jordania,51953542.5
Kenia,22557812.7
Corea (Sur), República de,587775006.47
Kuwait,16282624.13
Kirguizistán,1734444.91
Laos, República Popular Democrática de,10635.37
Líbano,48684428.91
Letonia,24984085.92
Liberia,7258633.81
Libia,110515451.93
Liechtenstein,81606.44
Lituania,21719204.92
Luxemburgo,1582446.68
Macao,1498.57
Madagascar,5221090.81
Malawi,2772771.1
Malasia,551661409.65
Maldivas,57993.44
Malí,2808097.75
Malta,2907730.01
Mauritania,1180399.83
Mauricio,63724453.44
México,935185967.25
Mónaco,99348.9
Mongolia,1040758.4
Moldavia,1171535.56
Montenegro,3109664.81
Marruecos,123897870.88
Mozambique,19722130.82
Omán,45077291.74
Namibia,3301911.88
Nepal,165109.56
Países Bajos,2392142400.58
Aruba,3787700.7
Vanuatu,104240.57
Nueva Zelanda,45916055.73
Nicaragua,12910760.73
Níger,11695294.21
Nigeria,94202595.4
Noruega,23924851.85
Pakistán,50020538.17
Panamá,69976758.92
Papúa Nueva Guinea,228951.57
Perú,794704916.080001
Filipinas,512103836.22
Polonia,428671282.15
Portugal,121280273.55
Guinea - Bissau,2562674.6
Puerto Rico,206282389.59
Qatar,21618865.17
Rumania,37823755.32
Rusia,825019307.83
Ruanda,40120
San Cristóbal y Nieves,270834
Santa Lucía,796532.11
San Vicente y las Granadinas,455034.22
Santo Tomé y Príncipe,50754.4
Arabia Saudita,312113701.51
Senegal,79228811.05
Serbia,7556938.3
Seychelles,185715.22
Sierra Leona,4577166.05
Singapur,35675613.46
Eslovaquia,1629672.67
Vietnam,547244022.05
Eslovenia,16920097.69
Sudáfrica, República de,665821965.92
Zimbabwe,400949.92
España,1852418118.28
Surinam,6734140
Swasilandia,1073091.6
Suecia,40224403.42
Suiza,946245547.73
Siria, República Arabe de,385936367.03
Tadjikistán,37800
Tailandia,421116482.4
Togo,2677256.11
Tonga,33581.1
Trinidad y Tobago,21746804.48
Emiratos Arabes Unidos,237340158.54
Tunicia,110018321.13
Turquía,183204676.73
Turkmenistán,149508.19
Uganda,3222146.66
Ucrania,36443096.59
Macedonia,3814754.49
Egipto,591612721.37
Reino Unido,761806016.57
Tanzania, República Unida de,21766720.71
Estados Unidos,3474078038.2
Burkina Faso,1162295.21
Uzbekistán,3860657.79
Venezuela,1042565153.98
Yemen,140186119.7
Zambia,651755.77
N/D,1044576010.13
