Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Indonesia,101657692,96211741,31266907,63699368,97700263,133307174.49,174212276.8,200466034.62,223060650.11,169435584.82,294727976.93,353702638.98,327795126.24,363500857.45,286604544.65,302821263.46,264294753.7,329002186.35,327867119.2,280839833.18,221477334.68,341061332.58,418592083.62
Israel,101243547,71415318,24941244,37189007,55604312,75276383.41,89110077.47,117976966.16,144291941.49,83567149.26,123132760.05,172332325.19,126970729.06,144436249.58,111872286.17,118058394.23,114652159.58,139614293.29,170569236.31,131698287.01,127083839.25,147990763.11,186541840.61
Rusia,98912913,93167676,67590527,96662345,111785230,173862050.44,214764249.94,375168820.31,688805886.17,97320930.37,356903997.46,736161437.46,1060937786.88,1635236341.88,1275120497.44,626212669.78,360948137.95,313575127.89,481815376.81,213521141.68,144050517.05,597787419.52,249138795.75
Singapur,95191964,81142995,26312723,37226293,62098209,101136725.35,138628268.38,122332989.56,147545999.22,104394362.29,158585777.45,162337991.69,141984256.08,119236462.42,185138084.28,110184313.94,151359325.92,114032598.33,100268645.84,151543018.82,116559970.87,133770472.41,120829824.76
Dinamarca,88964724,75146712,42479121,65209640,97373701,105949456.22,110101296.24,158585416.71,138194137.67,136074847.45,136306754.03,170623729.52,145082775.8,156132631.71,159174762.8,167153820.98,164019840.69,181890955.44,291323295.64,202142972.81,147676922.65,140170066.05,199511024.55
Irlanda (Eire),84047404,76451346,29812427,40256835,47057254,69960456.68,74262727.72,90394603.79,109295612.01,108390315.74,169232850.31,187738075.66,222520658.44,221488452.11,235459444.78,201248857.01,188039414.43,221288091.45,242882969.88,222492998.88,248104875.09,267175436.68,370226086.81
Austria,77531081,77771856,34638891,54954422,84460823,99481582.17,114965040.66,146435165.74,186099781.32,133989671.29,166276403.86,183686687.6,283709119.35,220456125.59,193230429.83,162596697.01,162163960.88,194397350.6,193407778.42,192371303.47,134551028.77,174863102.37,240557941.17
Australia,62474154,50871454,42340955,54397544,61980709,119677618.17,124393894.54,128522461.49,234584344.54,163761040.1,299626612.45,384352827.1,263290110.26,190587123.67,143360117.24,246372537.28,146900198.18,264379478.52,347614412.75,234440162.32,133243295.58,354840264.46,443656906.66
Hong Kong,57131414,40788718,10936235,20947232,26265149,31257617.77,28930578.05,31461808.93,35835998.01,19146628.81,27125773.9,36530524.57,29907414.09,27281075.29,32905985.49,32701496.63,14411768.11,13935345.53,12330948.73,7394736.87,6222414.49,10551984.05,12625080.74
Puerto Rico,51696856,43015814,15388575,25089632,42040174,39605768.92,44395333.68,76485342.41,83537425.24,56983792.52,66911034.33,77518023.57,100167722.5,52918246.8,56892170.02,50403565.77,33473815.26,47122469.16,37249549.54,54792666.3,47148572.65,55930042.62,63340160.57
Colombia,49700981,45671585,15172560,18603165,41352299,47616516.55,51300969.57,79920161.82,137550691.04,99324816.15,137001704.21,221282961.19,327642248.61,406771040.68,213740254.08,209704641.01,186006184.47,219004359.77,274093943.73,210808912.15,191840760.99,317571316.33,433908955.31
Costa de Marfil,47078390,841717,740308,307094,476251,1279911.19,1583266.15,1238770.2,2070587.12,724843.42,1427998.48,1708508.08,1943090.15,1662355.28,1474677.68,1760385.89,2218332.18,13317656.12,3647616.07,1223905.5,964499.41,8532531.58,1768781.34
Portugal,39966398,39484294,28364620,34097584,48087915,51212947.86,62726069.0,81327459.44,77043133.18,63820259.17,89974689.77,82919417.54,89488645.33,219060782.53,97842950.09,165375278.55,73125673.84,112687113.62,146003007.61,70418954.26,74952964.87,157499528.64,192651454.26
Turquía,38143101,29215643,7297423,10076907,24371146,40544288.25,55503465.33,70979934.15,148220559.7,89156373.73,163396684.15,232770761.56,276398272.05,352110169.69,224673746.18,173044032.02,163446722.45,198294535.0,256288969.68,213144231.77,183910327.61,285745614.5,422124980.18
Argelia,34939996,2108032,413373,87744,252418,523480.93,14615613.88,15829807.73,324888.39,83198.08,52762.33,2757940.62,4594.96,9742.8,53853663.41,19904.09,45379282.37,16169905.25,76993529.79,57853013.17,58088982.26,41192765.82,171416339.03
Hungría,30647231,21249471,8373494,18391738,20818128,21952358.36,35845361.32,52129636.51,51564012.0,45862621.56,70004903.92,116164128.87,125273340.91,144239871.64,107608235.25,147246278.83,218613905.98,304911121.7,291677321.58,202030704.49,167945680.91,270635511.38,248735136.54
Pakistán,28844874,28749918,4631302,16380184,25767195,28920279.63,37875118.84,43026681.95,50437168.25,36222019.25,46553167.87,61555130.8,49813337.96,58740786.96,52877933.27,53746111.57,53215006.66,43188286.64,53608127.87,33905141.9,33658665.84,43856666.61,60758191.82
Polonia,27251148,25586018,11277601,24872538,39176086,49980808.08,80157662.0,99994773.15,119521720.89,61560705.48,114959870.43,140999001.51,162757689.87,208827334.76,184851585.07,175978981.04,140583755.37,254519141.64,241664231.79,218489715.85,136908123.98,225689200.83,220589287.06
Perú,26347178,19525387,13120832,15846779,31395035,42521481.12,49446378.48,110301543.57,114526784.41,64916698.46,115094087.69,154962466.21,148053331.22,123910815.21,117542590.48,118406131.5,116181422.03,146731817.15,168954280.66,115202900.29,107233620.44,172292125.9,271552636.12
Venezuela,25986103,22260072,6212262,7692182,28823001,28249587.94,21791691.24,21962416.94,22827113.53,13865373.83,19414947.68,22386136.17,21429520.56,45575872.77,8175072.64,5568145.11,55052050.41,13377460.85,7605420.1,850648.94,5628373.18,5435472.93,2856395.02
Arabia Saudita,24432395,11578139,9486121,3762313,8634775,624072.41,355217.65,19602167.16,22541673.5,1824770.85,25468910.2,31064709.5,70161656.82,18448099.49,57794513.66,161503927.44,226964821.76,87138339.46,192351600.78,107036689.78,54575028.05,299375786.42,1029960308.04
Filipinas,24273693,25645026,7549453,13368960,19575844,32164782.16,39387448.73,44856060.92,51268212.96,55602673.11,56449094.17,74664407.35,83745502.18,100379166.97,93547585.59,90339991.4,99778376.71,132138914.57,126915521.98,100162345.15,83350807.86,120258966.75,123610756.06
Noruega,22463757,20546016,10063861,12090180,20705491,18493574.54,21142451.25,24275204.26,58898331.99,24531455.44,63885881.31,47688806.46,170883574.81,85526227.62,154525867.04,293760154.97,120362856.31,38556193.94,66903504.91,41285961.87,43774883.0,63866692.63,148213668.65
Letonia,19382330,6189381,25197840,617573,24815921,26191395.28,21365169.83,115130056.38,178833242.39,49899150.89,75195663.65,78371023.11,28704353.7,13050721.06,22349866.17,3793110.9,3636253.22,5977320.06,6132512.02,4249678.21,4161190.69,6043730.89,3882022.82
Bolivia,19058293,19420312,14678661,21790193,123701993,250755268.92,303859978.25,216056852.01,144362746.12,207206160.24,339893958.92,612717788.39,1265384931.9,2758168226.3,2538641860.88,1458509252.68,864622952.24,1241088554.59,1430732595.08,1356013732.83,1020339931.21,1039879148.4,2157463494.28
Tunicia,18687248,5140353,8626108,11581659,13611961,5353571.82,8771426.85,11955036.49,30424925.12,7407238.43,34311361.61,6376611.85,9595178.03,17263062.65,6514402.13,6474436.06,6984301.7,7620660.85,42651674.46,7336834.86,17950338.46,13328839.86,19311882.88
