"Category","Total"
Afganistán,552.93
Albania,1034711.04
Argelia,41192765.82
Andorra,5028.72
Angola,8558735.75
Antigua y Barbuda,125.39
Azerbaiján,954880.95
Australia,354840264.46
Austria,174863102.37
Bahamas,1919.21
Bahrein,84419782.33
Bangladesh,12943617.03
Armenia,41312.53
Barbados,20025.61
Bélgica,450035721.22
Bután,5637.41
Bolivia,1039879148.4
Bosnia y Herzegovina,2413458.05
Belice,4924.1
Brunei Darussalam,75983.57
Bulgaria,33230651.01
Myanmar,2383352.97
Burundi,3564
Bielorrusia,5038828.17
Camboya,12755824.95
Camerún, República Unida del,367728.51
Canadá,386735576.55
República Centroafricana,194.19
Sri Lanka,14528671.47
Chile,655682478.05
China,12343324019.89
Taiwán,487546712.19
Colombia,317571316.33
Comoras,27762
República del Congo,51397499.13
República Democrática del Congo,358.32
Costa Rica,16986310.21
Croacia,3105941.3
Cuba,5207223.18
Chipre,1308140.53
República Checa,168608496.93
Benin,22285.91
Dinamarca,140170066.05
Dominica,9143.77
República Dominicana,4745787.81
Ecuador,251323585.23
El Salvador,638512.98
Etiopía,503043.68
Eritrea,3.84
Estonia,7535040.81
Fiji,779.02
Finlandia,140017822.25
Francia,954363222.660001
Djibouti,153.42
Gabón,678814.59
Georgia,859606.19
Gambia,73.56
Territorios Autónomos de Palestina,107320
Alemania,2412853015.73
Ghana,2089926.99
Gibraltar,146.44
Grecia,18383111.96
Granada,735566.36
Guatemala,3185424.23
Guinea,4005.47
Guyana,7211.53
Haití,121948.93
Honduras,1334389.99
Hong Kong,10551984.05
Hungría,270635511.38
Islandia,2381580.49
India,1291481321.25
Indonesia,341061332.58
Irán, República Islámica del,1983301.69
Irak,1701.05
Irlanda (Eire),267175436.68
Israel,147990763.11
Italia,1257935684.56
Costa de Marfil,8532531.58
Jamaica,25153.83
Japón,1091126762.93
Kazajistán,19750924.72
Jordania,936442.51
Kenia,520706.95
Corea (Sur), República de,585979599.79
Kuwait,15020303.41
Kirguizistán,9024.04
Laos, República Popular Democrática de,440274.82
Líbano,494338.29
Lesotho,41019.97
Letonia,6043730.89
Liechtenstein,462272.66
Lituania,61043298.3
Luxemburgo,12191703.32
Macao,1604602.92
Madagascar,1544804.38
Malawi,73712.46
Malasia,496196171.53
Maldivas,1354.64
Malí,7239.91
Malta,1174297.92
Mauricio,228663.94
México,1342845381.93
Mónaco,356088.82
Moldavia,97085.58
Montenegro,573.77
Marruecos,302109286.75
Mozambique,1463615.31
Omán,186036994.28
Namibia,6151.7
Nepal,9516.56
Países Bajos,687595720.68
Curazao,203111.71
Vanuatu,385.83
Nueva Zelanda,22939256.49
Nicaragua,370803.38
Níger,9800
Nigeria,16038560.49
Noruega,63866692.63
Pakistán,43856666.61
Panamá,805298.55
Papúa Nueva Guinea,36939.66
Perú,172292125.9
Filipinas,120258966.75
Polonia,225689200.83
Portugal,157499528.64
Puerto Rico,55930042.62
Qatar,405117672.54
Rumania,87464527.24
Rusia,597787419.52
Ruanda,7550.86
San Cristóbal y Nieves,99197.44
San Marino,422665.82
Santo Tomé y Príncipe,490.7
Arabia Saudita,299375786.42
Senegal,1418.47
Serbia,14990342.41
Seychelles,44072
Sierra Leona,33166.42
Singapur,133770472.41
Eslovaquia,59503838.59
Vietnam,1138366964.25
Eslovenia,17878278.17
Somalia,1489742.01
Sudáfrica, República de,194466938.83
Zimbabwe,423330.21
España,1027710162.63
Sudan,212968.9
Surinam,1032.75
Swasilandia,10562.14
Suecia,233273371.69
Suiza,519863730.23
Siria, República Arabe de,60876.66
Tailandia,1465405029.22
Togo,0.96
Tonga,470.27
Trinidad y Tobago,35100100.06
Emiratos Arabes Unidos,321724837.7
Tunicia,13328839.86
Turquía,285745614.5
Turkmenistán,1271197.14
Tuvalu,229.5
Uganda,80459.98
Ucrania,18664215.83
Macedonia,2435215.01
Egipto,509383922.04
Reino Unido,518114045.16
Tanzania, República Unida de,215456.95
Estados Unidos,5510550484.8
Burkina Faso,20536.66
Uzbekistán,356554.64
Venezuela,5435472.93
Samoa,522.61
Yemen,4661.61
Zambia,172006.66
N/D,738530716.5
