"Category","Total"
Afganistán,24591.51
Albania,704552.61
Argelia,57853013.17
Andorra,2761.58
Angola,325
Antigua y Barbuda,767.53
Azerbaiján,37209.64
Australia,234440162.32
Austria,192371303.47
Bahamas,2657280.43
Bahrein,2881628.02
Bangladesh,27708245.37
Armenia,2653.95
Barbados,14417
Bélgica,231828853.21
Bután,518
Bolivia,1356013732.83
Bosnia y Herzegovina,7637343.34
Botswana,147.13
Belice,2272.59
Brunei Darussalam,16788.18
Bulgaria,15343433.53
Myanmar,4761459.22
Burundi,251.32
Bielorrusia,10306378.03
Camboya,19695575.6
Camerún, República Unida del,19358988.23
Canadá,316269010.02
Cabo Verde,6365.63
República Centroafricana,11.5
Sri Lanka,9421352.88
Chile,496093951.03
China,8822173775.94001
Taiwán,274396753.11
Colombia,210808912.15
Comoras,22569.26
República del Congo,29696.01
República Democrática del Congo,732.83
Costa Rica,13472575.38
Croacia,24662216.69
Cuba,3637526.87
Chipre,1198922.19
República Checa,126278089.11
Benin,266.76
Dinamarca,202142972.81
Dominica,11710.89
República Dominicana,3019656.56
Ecuador,194471717.34
El Salvador,256714.41
Etiopía,95601.99
Estonia,8546383.81
Fiji,2110
Finlandia,117989901
Francia,855474985.18
Djibouti,14235
Gabón,576425.82
Georgia,613415.87
Gambia,6412.49
Territorios Autónomos de Palestina,55060
Alemania,2684272699.09
Ghana,612514.75
Gibraltar,565.17
Grecia,6504417.33
Groenlandia,11744.31
Granada,533425.32
Guatemala,955718.57
Guinea,1963.8
Guyana,1164.41
Haití,238150.38
Honduras,1904050.78
Hong Kong,7394736.87
Hungría,202030704.49
Islandia,736729.18
India,776362028.92
Indonesia,280839833.18
Irán, República Islámica del,744518.98
Irak,705782.33
Irlanda (Eire),222492998.88
Israel,131698287.01
Italia,1091935672.38
Costa de Marfil,1223905.5
Jamaica,7830786.45
Japón,870188508.34
Kazajistán,782273.71
Jordania,2346313.63
Kenia,366309.93
Corea (Sur), República de,477291139.15
Kuwait,8654.82
Kirguizistán,3858.69
Laos, República Popular Democrática de,695394.53
Líbano,199867.26
Lesotho,8028.81
Letonia,4249678.21
Liberia,117.84
Libia,11256295.71
Liechtenstein,611323.21
Lituania,4427085.4
Luxemburgo,8589420.63
Macao,303876.18
Madagascar,1023074.16
Malawi,51875.82
Malasia,253099414.98
Maldivas,725.01
Malí,4073.38
Malta,1299156.04
Mauritania,648.87
Mauricio,336736.61
México,1092811027.09
Mónaco,335943.89
Mongolia,830.45
Moldavia,100945.09
Montenegro,1798.13
Marruecos,184838841.42
Mozambique,353213
Omán,49670237.97
Namibia,1340.68
Nepal,3415.27
Países Bajos,420782235.87
Curazao,8073.98
Aruba,3.36
Nueva Zelanda,12066625.98
Nicaragua,521653.67
Níger,9481.7
Nigeria,1564234.06
Noruega,41285961.87
Marianas del Norte, Islas,727.81
Marshall, Islas,132559.96
Pakistán,33905141.9
Panamá,194273.11
Papúa Nueva Guinea,31879.57
Perú,115202900.29
Filipinas,100162345.15
Polonia,218489715.85
Portugal,70418954.26
Guinea - Bissau,21044.33
Timor Leste,177.16
Puerto Rico,54792666.3
Qatar,32423434.95
Rumania,82060797.14
Rusia,213521141.68
Ruanda,2.16
San Cristóbal y Nieves,279145.99
San Marino,354287.54
Arabia Saudita,107036689.78
Senegal,8151.76
Serbia,8745543.52
Seychelles,46868
Sierra Leona,54584.79
Singapur,151543018.82
Eslovaquia,40270463.73
Vietnam,641545242.88
Eslovenia,14530478.06
Somalia,6115.18
Sudáfrica, República de,132303209.47
Zimbabwe,329200
España,930095143.6
Sudan,93667.89
Surinam,1.48
Swasilandia,4292.61
Suecia,292988291.71
Suiza,395549883.24
Siria, República Arabe de,1565.56
Tailandia,1148878926.38
Togo,21199387.02
Tonga,6442.85
Trinidad y Tobago,147720385.12
Emiratos Arabes Unidos,175652939.57
Tunicia,7336834.86
Turquía,213144231.77
Turkmenistán,7933.13
Uganda,19.67
Ucrania,18331580.46
Macedonia,3697767.57
Egipto,115987479.5
Reino Unido,566460388.29
Tanzania, República Unida de,56007.72
Estados Unidos,5869359411.23001
Uzbekistán,290560.93
Venezuela,850648.94
Samoa,1601.38
Yemen,4877.48
N/D,665246055.69
