"Category","Total"
Afganistán,1742559.45
Albania,4635493.69
Argelia,1474694372.21
Andorra,15632.82
Angola,37349205.2
Antigua y Barbuda,243298.09
Azerbaiján,1741596.23
Australia,626330684.22
Austria,12953160.75
Bahamas,13037993.6
Bahrein,5367110.31
Bangladesh,583691726.94
Armenia,5051892.26
Barbados,694408.44
Bélgica,414096102.56
Bolivia,616711864.54
Bosnia y Herzegovina,2922987.34
Botswana,4140
Belice,838968.64
Salomón, Islas,152790.2
Brunei Darussalam,7318055.72
Bulgaria,113692047.93
Myanmar,4897871.33
Burundi,3509909.2
Bielorrusia,71962416.91
Camboya,14824076.8
Camerún, República Unida del,40367090.71
Canadá,1342480865.22
Cabo Verde,5074961.14
República Centroafricana,650304
Sri Lanka,6631906.89
Chile,2648393034.18
China,4338719451.65
Taiwán,107198273.11
Colombia,561330664.55
Comoras,2285213.39
República del Congo,15736608.41
República Democrática del Congo,15349130.91
Costa Rica,112421856.15
Croacia,61900401.3
Cuba,195863942.81
Chipre,23945874.21
República Checa,58006381.14
Benin,2283463.18
Dinamarca,225751860.53
Dominica,166763.77
República Dominicana,109990938.04
Ecuador,379114842.38
El Salvador,32997019.3
Guinea Ecuatorial,2096988.3
Etiopía,1982431.21
Estonia,1683186.89
Fiji,314675.3
Finlandia,96134227.82
Francia,298255130.56
Djibouti,447891.56
Gabón,7933112.37
Georgia,4300715.31
Gambia,4202374.44
Territorios Autónomos de Palestina,1884973.49
Alemania,1172398767.47
Ghana,44216826.82
Gibraltar,59358.5
Grecia,141484250.62
Granada,343444.3
Guatemala,147241611.83
Guinea,786510.45
Guyana,3635340.06
Haití,16477838.89
Vaticano, Ciudad del,2400
Honduras,69478515.93
Hong Kong,267770309.69
Hungría,11270776.94
Islandia,2048995.03
India,2081099277.25
Indonesia,1073799236.04
Irán, República Islámica del,446983316.57
Irak,194555020.92
Irlanda (Eire),277206664.83
Israel,202489162.73
Italia,1042625902.7
Costa de Marfil,42033180.28
Jamaica,5471450.7
Japón,638724061.98
Kazajistán,11917032.64
Jordania,250499220.59
Kenia,83793684.8
Corea (Sur), República de,505766315.74
Kuwait,43005924.48
Kirguizistán,84219.42
Laos, República Popular Democrática de,231753.51
Líbano,102844617.58
Lesotho,321710.25
Letonia,62136837.01
Liberia,1126020.7
Libia,31406727.36
Liechtenstein,22720
Lituania,46142527.82
Luxemburgo,325918.05
Madagascar,16420699.59
Malawi,2773324
Malasia,866997842.9
Maldivas,500336.55
Malí,13005346.87
Malta,175393375.33
Mauritania,5663795.34
Mauricio,46504813.05
México,650148872.07
Mónaco,17050
Mongolia,1964228.85
Moldavia,3182645.11
Montenegro,1286047.65
Marruecos,509120690.53
Mozambique,82061421.1
Omán,79076076.1
Namibia,3394019.46
Nepal,4479371.42
Países Bajos,1394020231.07
Aruba,5618749.7
Nueva Zelanda,159498292.24
Nicaragua,75401954.38
Níger,3106340.96
Nigeria,86631769.5
Noruega,17860619.38
Marshall, Islas,54990
Pakistán,172129765.94
Panamá,125493307.42
Papúa Nueva Guinea,418631.07
Perú,1073498373.71
Filipinas,254950115.34
Polonia,573126386.97
Portugal,95966677.84
Puerto Rico,56912683.46
Qatar,19642031.66
Rumania,75991828.77
Rusia,518784341.12
Ruanda,7239155.62
San Cristóbal y Nieves,64711.21
Santa Lucía,8546842.71
San Vicente y las Granadinas,233311.86
Arabia Saudita,708195308.88
Senegal,80209073.39
Serbia,8395833.67
Seychelles,141578.5
Sierra Leona,452828.48
Singapur,38479125.83
Eslovaquia,29807775.19
Vietnam,2271317489.54
Eslovenia,5037438.8
Somalia,320220.1
Sudáfrica, República de,513141272.79
Zimbabwe,29937.66
España,1485678509.71
Sudán del Sur,59000
Sudan,23151616.19
Surinam,4736443.08
Swasilandia,70496.37
Suecia,49212229.96
Suiza,1262700876.36
Siria, República Arabe de,66371510.51
Tailandia,526548893.17
Togo,318031.98
Trinidad y Tobago,11346247.78
Emiratos Arabes Unidos,225816227.58
Tunicia,135193463.45
Turquía,477944242.6
Turkmenistán,101815.75
Uganda,35275376.75
Ucrania,43873978.57
Macedonia,6222300.4
Egipto,1262592543.21
Reino Unido,784191520.34
Tanzania, República Unida de,21127925.95
Estados Unidos,4446675103.41
Islas Vírgenes de los Estados Unidos,31450239.8
Burkina Faso,3169490.7
Uzbekistán,215799.97
Venezuela,246173940.64
Yemen,159881961.4
Zambia,288024.8
N/D,1035949467.07
