"Category","Total"
Afganistán,13433.56
Albania,486446.27
Argelia,4594.96
Andorra,29061.4
Angola,1378.34
Antigua y Barbuda,144.3
Azerbaiján,1153.63
Australia,263290110.26
Austria,283709119.35
Bahamas,5155403.98
Bahrein,4855149.35
Bangladesh,8394655.43
Armenia,471703.91
Bélgica,419976913.58
Bután,1655.17
Bolivia,1265384931.9
Bosnia y Herzegovina,957155.23
Botswana,1618.64
Belice,553.5
Brunei Darussalam,605
Bulgaria,9064639.18
Myanmar,7158268.67
Burundi,1250.99
Bielorrusia,65382241.93
Camboya,11883282.18
Camerún, República Unida del,131207.71
Canadá,492262358.85
Cabo Verde,214.53
Sri Lanka,8570429.55
Chad,131892.45
Chile,937758403.29
China,9411499919.07002
Taiwán,485634678.52
Colombia,327642248.61
Comoras,29250.03
República del Congo,67752.02
República Democrática del Congo,100218.99
Costa Rica,50216431.95
Croacia,2343959.42
Cuba,10537575.36
Chipre,274504.64
República Checa,148915677.57
Dinamarca,145082775.8
Dominica,12695.45
República Dominicana,3606481.5
Ecuador,184923420.61
El Salvador,292029.58
Guinea Ecuatorial,284504.23
Etiopía,247290.4
Eritrea,1286.03
Estonia,2955914.17
Fiji,21018.25
Finlandia,199814830.95
Francia,1536828108.22
Gabón,1482540.73
Georgia,187507.61
Gambia,2591.23
Alemania,3588433267.88
Ghana,17411.49
Grecia,13184609.87
Guatemala,3780149.58
Guinea,5445.72
Guyana,14858.42
Haití,52151.58
Honduras,263467.84
Hong Kong,29907414.09
Hungría,125273340.91
Islandia,494947.53
India,623782540.55
Indonesia,327795126.24
Irán, República Islámica del,1325039.16
Irak,4860.64
Irlanda (Eire),222520658.44
Israel,126970729.06
Italia,1393634762.76
Costa de Marfil,1943090.15
Jamaica,9207.84
Japón,1449309070.86
Kazajistán,388007.87
Jordania,858774.29
Kenia,81671.44
Corea (Sur), República de,1066590794.37
Kuwait,29065331.26
Kirguizistán,3100.49
Laos, República Popular Democrática de,110660.47
Líbano,512669.72
Letonia,28704353.7
Liberia,81.2
Libia,93.92
Liechtenstein,1045966.42
Lituania,44805715.93
Luxemburgo,12007965.84
Macao,110060.36
Madagascar,501293.33
Malawi,5968818.99
Malasia,431265185.84
Maldivas,21392.28
Malí,407.63
Malta,7138240.52
Mauritania,25268.66
Mauricio,122160.02
México,2161607481.75
Mónaco,1182498.52
Mongolia,9561.75
Moldavia,36176.27
Montenegro,1187.38
Marruecos,104292806.2
Mozambique,3391752.19
Omán,611306.29
Namibia,12122.25
Nepal,389088.26
Países Bajos,1082724428.52
Nueva Zelanda,20026141.17
Nicaragua,191383.85
Níger,7855.6
Nigeria,55679928.27
Noruega,170883574.81
Marianas del Norte, Islas,105.21
Pakistán,49813337.96
Panamá,203140.22
Papúa Nueva Guinea,42821.51
Perú,148053331.22
Filipinas,83745502.18
Polonia,162757689.87
Portugal,89488645.33
Puerto Rico,100167722.5
Qatar,429874877.6
Rumania,54986008.75
Rusia,1060937786.88
San Cristóbal y Nieves,31532.97
Santa Lucía,1687.43
San Vicente y las Granadinas,184.46
San Marino,217931.32
Arabia Saudita,70161656.82
Senegal,153218.24
Serbia,1094300.07
Seychelles,68200
Sierra Leona,3832.35
Singapur,141984256.08
Eslovaquia,57137263.94
Vietnam,149035102.06
Eslovenia,16598935.28
Somalia,3647.84
Sudáfrica, República de,213255533.86
Zimbabwe,1133768.25
España,1251757113.65
Sudan,97686.73
Surinam,5203313.4
Swasilandia,9329.1
Suecia,270113676.65
Suiza,539349363.3
Siria, República Arabe de,2616425.89
Tadjikistán,48.37
Tailandia,808493609.67
Togo,2541
Tonga,17783.94
Trinidad y Tobago,1832163887
Emiratos Arabes Unidos,28018675.76
Tunicia,9595178.03
Turquía,276398272.05
Turkmenistán,1353.35
Ucrania,18374121.98
Macedonia,5027710.87
Egipto,47517350.88
Reino Unido,590638760.97
Tanzania, República Unida de,41982.34
Estados Unidos,7976981659.13001
Islas Vírgenes de los Estados Unidos,31.03
Burkina Faso,16064.84
Uzbekistán,539352.8
Venezuela,21429520.56
Yemen,543.75
Zambia,28796.89
N/D,1093591795.81
