"Category","Total"
Afganistán,165197.21
Albania,4744659.63
Argelia,1147799629.7
Angola,59153984.54
Antigua y Barbuda,434439.69
Azerbaiján,3709373.47
Australia,609439771.03
Austria,19988496.46
Bahamas,1357753.58
Bahrein,2793864.33
Bangladesh,277303716.11
Armenia,7475307.83
Barbados,855234.88
Bélgica,332226400.84
Bután,6669
Bolivia,621854385
Bosnia y Herzegovina,4043810.04
Botswana,197500
Belice,517336.62
Salomón, Islas,73264.5
Brunei Darussalam,11912635.46
Bulgaria,89270839.17
Myanmar,15670152.66
Burundi,17212
Bielorrusia,5396301.02
Camboya,9920422.65
Camerún, República Unida del,33204262.5
Canadá,1292228964.95
Cabo Verde,4223768.84
República Centroafricana,526785.9
Sri Lanka,2889369.38
Chad,145920
Chile,2404533452.03
China,5172217719.21
Taiwán,81585750.91
Colombia,394004917.84
Comoras,3582379.06
República del Congo,31826732.1
República Democrática del Congo,11346530.64
Costa Rica,47472392.15
Croacia,129676891.6
Cuba,276160273.25
Chipre,27574004.49
República Checa,67269256.47
Benin,5172491.14
Dinamarca,281610530.84
Dominica,172955.25
República Dominicana,112846196.46
Ecuador,212769270.6
El Salvador,10150414.46
Guinea Ecuatorial,23257814.98
Etiopía,1119428.45
Eritrea,23073.97
Estonia,5872942.88
Fiji,358279.19
Finlandia,10395086.58
Francia,365080719.11
Djibouti,198359.17
Gabón,8942684.43
Georgia,4651792.49
Gambia,136606.52
Territorios Autónomos de Palestina,2516238.7
Alemania,1344333735.01
Ghana,27898875.99
Gibraltar,9950750
Grecia,127918922.34
Granada,354780.76
Guatemala,68116590.6
Guinea,200326.5
Guyana,2209542.79
Haití,3926839.91
Vaticano, Ciudad del,3000
Honduras,13690268.63
Hong Kong,214415790.83
Hungría,9645694.25
Islandia,1523153.8
India,2003199267.86
Indonesia,1079251784.38
Irán, República Islámica del,721084846.79
Irak,88324968.75
Irlanda (Eire),232014844.79
Israel,182744520.57
Italia,957063579.77
Costa de Marfil,32589593.45
Jamaica,4401090.11
Japón,572731847.37
Kazajistán,13486900.43
Jordania,213390789.56
Kenia,15058444.9
Corea (Sur), República de,582440894.11
Kuwait,33857957.03
Kirguizistán,302912.34
Laos, República Popular Democrática de,152866.8
Líbano,94389894.97
Letonia,144557485.47
Liberia,1118904.53
Libia,71112624.81
Lituania,41511101.92
Luxemburgo,843987.85
Macao,83864.72
Madagascar,14025353.25
Malasia,839382942.47
Maldivas,688375.9
Malí,1941241.17
Malta,7489014
Mauritania,738077.22
Mauricio,43292180.17
México,820451952.67
Mónaco,15073.95
Mongolia,1210231.99
Moldavia,3315994.2
Montenegro,1584975.58
Marruecos,331554976.02
Mozambique,66938803.39
Omán,29219464.58
Namibia,1829124.38
Nepal,6833489.31
Países Bajos,1213575919.75
Aruba,1374214.83
Nueva Zelanda,116807530.25
Nicaragua,23452838.88
Níger,11310649
Nigeria,88762495.62
Noruega,16773210.19
Pakistán,397883877.99
Panamá,68349293.1
Papúa Nueva Guinea,15664.85
Perú,720480565.95
Filipinas,283510958.06
Polonia,562254335.04
Portugal,46245708.59
Puerto Rico,40372175.36
Qatar,11548194.45
Rumania,68435569.75
Rusia,473022251.66
Ruanda,210962.25
San Cristóbal y Nieves,3220.22
Santa Lucía,425703.15
San Vicente y las Granadinas,101274.27
San Marino,146669.99
Arabia Saudita,421377686.07
Senegal,66681578.62
Serbia,8828628.99
Seychelles,441979.6
Sierra Leona,1511368.3
Singapur,144147029.95
Eslovaquia,4423335.78
Vietnam,1801395032.63
Eslovenia,16957284.92
Somalia,910530.57
Sudáfrica, República de,677641976.43
Zimbabwe,347605
España,1364070800.07
Sudán del Sur,102346
Sudan,4861103.59
Surinam,5765640.01
Swasilandia,24740.53
Suecia,56195229.21
Suiza,1256768694.73
Siria, República Arabe de,144315761.65
Tailandia,397382095.25
Togo,274398.22
Trinidad y Tobago,11537259.31
Emiratos Arabes Unidos,173729521.65
Tunicia,70008773.06
Turquía,334798843.32
Turkmenistán,59351.41
Tuvalu,4522.26
Uganda,2370690.27
Ucrania,29262674.3
Macedonia,6461751.73
Egipto,1071884317.08
Reino Unido,721111136.46
Tanzania, República Unida de,5249937.62
Estados Unidos,3393972366.16
Islas Vírgenes de los Estados Unidos,200216.32
Burkina Faso,1189849.56
Uzbekistán,47045708.86
Venezuela,1370005961.01
Yemen,129468833.71
Zambia,388638.27
N/D,1177427334.21
