"Category","Total"
Afganistán,450976
Albania,2535167
Argelia,452048352
Andorra,64329
Angola,80937919
Antigua y Barbuda,172606
Azerbaiján,373179
Australia,123602965
Austria,12011567
Bahamas,24883975
Bahrein,9885343
Bangladesh,142944321
Armenia,2318881
Barbados,2520792
Bélgica,248841392
Bolivia,298537144
Bosnia y Herzegovina,4671425
Botswana,30446
Belice,1006206
Brunei Darussalam,155459
Bulgaria,22059618
Myanmar,108423
Bielorrusia,2752131
Camboya,1237919
Camerún, República Unida del,3517777
Canadá,176578928
Cabo Verde,496303
República Centroafricana,44740
Sri Lanka,50508649
Chad,454087
Chile,3834624130
China,2627855639
Taiwán,83150991
Colombia,273872094
Comoras,194501
República del Congo,35538333
República Democrática del Congo,16954708
Costa Rica,59214589
Croacia,22106293
Cuba,91360842
Chipre,20494520
República Checa,19840826
Benin,3231331
Dinamarca,289047931
Dominica,262590
República Dominicana,108084739
Ecuador,196320357
El Salvador,56574107
Guinea Ecuatorial,757461
Etiopía,104857
Eritrea,77200
Estonia,3459400
Fiji,58642
Finlandia,76614440
Francia,294985343
Djibouti,98455
Gabón,5740492
Georgia,642403
Gambia,1863809
Territorios Autónomos de Palestina,274651
Alemania,727317238
Ghana,13176175
Gibraltar,2843
Grecia,114605719
Groenlandia,16732
Granada,589853
Guatemala,87544642
Guinea,853712
Guyana,1210654
Haití,12988673
Vaticano, Ciudad del,22226
Honduras,32437630
Hong Kong,108256453
Hungría,11284555
Islandia,371353
India,567476858
Indonesia,248361372
Irán, República Islámica del,1129864
Irak,34306809
Irlanda (Eire),46011729
Israel,174754893
Italia,947910764
Costa de Marfil,5297242
Jamaica,10177750
Japón,362821466
Kazajistán,1495224
Jordania,75981885
Kenia,78681033
Corea (Sur), República de,318693401
Kuwait,24904709
Laos, República Popular Democrática de,56170
Líbano,33361468
Letonia,8005637
Liberia,3557408
Libia,53608210
Liechtenstein,24106
Lituania,14220273
Luxemburgo,776448
Macao,54159
Madagascar,23053580
Malawi,2011721
Malasia,275585203
Maldivas,83697
Malí,1167347
Malta,5145271
Mauritania,3682431
Mauricio,24505574
México,1035907729
Mónaco,11066
Mongolia,235574
Moldavia,132727
Marruecos,209682028
Mozambique,48648962
Omán,25776584
Namibia,2911447
Nepal,665495
Países Bajos,1242529901
Aruba,3973168
Nueva Zelanda,11399654
Nicaragua,13318331
Níger,5678535
Nigeria,98954322
Noruega,22691407
Marianas del Norte, Islas,17333
Pakistán,42916660
Panamá,81590898
Papúa Nueva Guinea,30947
Perú,499818880
Filipinas,235135275
Islas Pitcairn,18473
Polonia,183397583
Portugal,131035197
Guinea - Bissau,53000
Puerto Rico,94943552
Qatar,8395654
Rumania,14046027
Rusia,359450673
Ruanda,119304
San Cristóbal y Nieves,170519
Santa Lucía,1127919
San Vicente y las Granadinas,335596
San Marino,2132
Santo Tomé y Príncipe,200000
Arabia Saudita,174857009
Senegal,21112023
Seychelles,111307
Sierra Leona,3827400
Singapur,14674193
Eslovaquia,38581
Vietnam,146285017
Eslovenia,12464954
Sudáfrica, República de,599855106
Zimbabwe,5296419
España,1354706474
Surinam,3408840
Swasilandia,273161
Suecia,48702231
Suiza,20927044
Siria, República Arabe de,128195008
Tailandia,287583164
Togo,2035760
Trinidad y Tobago,23890175
Emiratos Arabes Unidos,189919616
Tunicia,114316372
Turquía,235290463
Uganda,1723551
Ucrania,24646227
Macedonia,1945321
Egipto,596907327
Reino Unido,405871768
Tanzania, República Unida de,25536958
Estados Unidos,3722640886
Islas Vírgenes de los Estados Unidos,24745
Burkina Faso,483158
Uzbekistán,1758972
Venezuela,438111765
Yemen,39861159
Zambia,1100333
N/D,513507535
