"Category","Total"
Afganistán,6207.92
Albania,191855.17
Argelia,19904.09
Andorra,251361.54
Angola,21397.94
Azerbaiján,29600
Australia,246372537.28
Austria,162596697.01
Bahamas,2755695.52
Bahrein,259055.26
Bangladesh,10172081.62
Armenia,11544.83
Barbados,83210.75
Bélgica,276995046.35
Bolivia,1458509252.68
Bosnia y Herzegovina,466093.06
Bulgaria,11120988.34
Myanmar,7262916.09
Burundi,2468.28
Bielorrusia,8086465.2
Camboya,12915687.23
Camerún, República Unida del,391238.83
Canadá,439749349.26
Sri Lanka,7220947.94
Chile,667651949.22
China,11349179604.97
Taiwán,470250387.28
Colombia,209704641.01
Comoras,16174.04
República del Congo,62721.58
Costa Rica,26592128.77
Croacia,3235475.36
Cuba,21753255.86
Chipre,61789.68
República Checa,151848157.92
Dinamarca,167153820.98
Dominica,3750.02
República Dominicana,3015709.38
Ecuador,216908690.86
El Salvador,579012.87
Guinea Ecuatorial,68379924.15
Etiopía,41699.3
Eritrea,8268.8
Estonia,66079641.35
Fiji,9707.6
Finlandia,132572193.04
Francia,1407736727.14
Djibouti,21503
Gabón,1089411.34
Georgia,244471.74
Alemania,3041101273.54
Ghana,639.63
Grecia,11494778.34
Granada,195000
Guatemala,2756305
Guinea,2762.1
Haití,81541.45
Honduras,13969242.99
Hong Kong,32701496.63
Hungría,147246278.83
Islandia,1160674.07
India,692257288.45
Indonesia,302821263.46
Irán, República Islámica del,813370.52
Irak,2336.24
Irlanda (Eire),201248857.01
Israel,118058394.23
Italia,1330031809.58
Costa de Marfil,1760385.89
Jamaica,4360.38
Japón,1183493608.69
Kazajistán,5312308.37
Jordania,301301.92
Kenia,100106.69
Corea (Sur), República de,1053260683.43
Kuwait,1584000
Kirguizistán,1349.58
Laos, República Popular Democrática de,45444.95
Líbano,164530.45
Letonia,3793110.9
Liechtenstein,1299733.18
Lituania,7823195.46
Luxemburgo,9640626.99
Macao,320014.42
Madagascar,624092.76
Malawi,668182.4
Malasia,325285662.77
Malta,2118995.27
Mauricio,293080.55
México,1767920640.88
Mónaco,1245796.31
Mongolia,1319.57
Moldavia,10472.42
Montenegro,1119.79
Marruecos,31558173.48
Mozambique,4707398.44
Omán,19525406.7
Namibia,6716.93
Nepal,56560.16
Países Bajos,431437595.67
Nueva Zelanda,20343490.28
Nicaragua,228985.34
Nigeria,853672833.56
Noruega,293760154.97
Pakistán,53746111.57
Panamá,170681.23
Papúa Nueva Guinea,20547.85
Perú,118406131.5
Filipinas,90339991.4
Polonia,175978981.04
Portugal,165375278.55
Timor Leste,24.5
Puerto Rico,50403565.77
Qatar,151701762.27
Rumania,64510563.18
Rusia,626212669.78
Ruanda,777.61
San Marino,201521.42
Arabia Saudita,161503927.44
Senegal,1430.81
Serbia,3785239.83
Singapur,110184313.94
Eslovaquia,44061759.4
Vietnam,322829750.9
Eslovenia,15653608.78
Somalia,8671.68
Sudáfrica, República de,167883468.31
Zimbabwe,856677.05
España,906715818.3
Sudan,358746.81
Suecia,230009081.68
Suiza,677491459.59
Siria, República Arabe de,13385.09
Tailandia,782851607.47
Trinidad y Tobago,914339512.77
Emiratos Arabes Unidos,36998667.61
Tunicia,6474436.06
Turquía,173044032.02
Uganda,1494.72
Ucrania,25975823.84
Macedonia,3702989.92
Egipto,6112282.29
Reino Unido,541459295.01
Tanzania, República Unida de,1573786.11
Estados Unidos,7534020194.15
Uzbekistán,2193943.07
Venezuela,5568145.11
N/D,665893256.28
