"Category","Total"
Afganistán,255549.61
Albania,24709.94
Argelia,15829807.73
Andorra,61708.9
Angola,1563
Azerbaiján,90914.6
Australia,128522461.49
Austria,146435165.74
Bahamas,32625970.22
Bahrein,1385895.34
Bangladesh,3260869.7
Armenia,15
Bélgica,236605942.81
Bolivia,216056852.01
Bosnia y Herzegovina,165099.03
Belice,5
Bulgaria,25412685.18
Myanmar,9169339.53
Bielorrusia,17118521.14
Camboya,2426664.34
Camerún, República Unida del,56.08
Canadá,276812612.87
Sri Lanka,6770096.75
Chad,25.15
Chile,673441101.34
China,4713492370.64
Taiwán,313464797.49
Colombia,79920161.82
Comoras,4846.74
República del Congo,45226.27
República Democrática del Congo,11.4
Costa Rica,20090846.11
Croacia,1031682.84
Cuba,2780258.15
Chipre,8805.18
República Checa,61478375.09
Benin,747.92
Dinamarca,158585416.71
Dominica,8800.16
República Dominicana,4051399.51
Ecuador,84024429.39
El Salvador,120393.54
Etiopía,5054.11
Estonia,1502940.78
Fiji,51.25
Finlandia,132841369.31
Francia,1020853664.58
Gambia,6.82
Alemania,2060381419.39
Ghana,4
Grecia,7256820.37
Granada,2266.4
Guatemala,2378117.84
Guyana,5
Haití,28868.6
Honduras,213084.53
Hong Kong,31461808.93
Hungría,52129636.51
Islandia,311183.8
India,366415664.68
Indonesia,200466034.62
Irán, República Islámica del,1568752.94
Irlanda (Eire),90394603.79
Israel,117976966.16
Italia,1029486772.66
Costa de Marfil,1238770.2
Jamaica,5352.95
Japón,1147427999.15
Kazajistán,10387890.81
Jordania,85549.17
Kenia,384767.23
Corea (Sur), República de,488985352.39
Kuwait,18663028.63
Kirguizistán,5357.76
Laos, República Popular Democrática de,330608.42
Líbano,283007.85
Letonia,115130056.38
Liberia,84491.2
Libia,4565723.84
Liechtenstein,1089878.1
Lituania,13160160.29
Luxemburgo,7119239.82
Macao,705853.32
Madagascar,623749.07
Malawi,1706830
Malasia,310404785.39
Malta,2613003.75
Mauritania,94938.27
Mauricio,108459.04
México,1289930841.25
Mónaco,1688868.36
Mongolia,0.6
Moldavia,1932.18
Montenegro,21227.31
Marruecos,47583353.43
Mozambique,1239339.02
Namibia,5562.29
Nepal,15656.16
Países Bajos,222353278.05
Aruba,4408462.99
Nueva Zelanda,13500687.38
Nicaragua,25684.55
Níger,209425.21
Nigeria,590149.74
Noruega,24275204.26
Marianas del Norte, Islas,1507.14
Pakistán,43026681.95
Panamá,832919.8
Papúa Nueva Guinea,9732.41
Perú,110301543.57
Filipinas,44856060.92
Polonia,99994773.15
Portugal,81327459.44
Guinea - Bissau,4880.12
Puerto Rico,76485342.41
Qatar,20341410.58
Rumania,37620533.65
Rusia,375168820.31
San Cristóbal y Nieves,516954.58
Santa Lucía,242.74
San Marino,251353.07
Santo Tomé y Príncipe,23.14
Arabia Saudita,19602167.16
Senegal,1056.89
Serbia,425714.73
Seychelles,48250.04
Sierra Leona,158760.71
Singapur,122332989.56
Eslovaquia,24904277.72
Vietnam,48250168.47
Eslovenia,10406519.34
Somalia,90769.7
Sudáfrica, República de,117650237.03
Zimbabwe,37092.69
España,773596719.28
Suecia,303579460.39
Suiza,279880837.08
Siria, República Arabe de,553833.6
Tailandia,432213119.66
Tonga,3934.7
Trinidad y Tobago,13754551.3
Emiratos Arabes Unidos,17160022.82
Tunicia,11955036.49
Turquía,70979934.15
Ucrania,100265573.92
Macedonia,406137.63
Egipto,30079090.69
Reino Unido,427481891.01
Tanzania, República Unida de,37793.6
Estados Unidos,5037597862.03
Uzbekistán,31903.07
Venezuela,21962416.94
Yemen,6267.58
N/D,2255975788.9
