"Category","Total"
Afganistán,24269.42
Albania,16053.45
Argelia,523480.93
Andorra,2779.86
Angola,1
Azerbaiján,57269.44
Australia,119677618.17
Austria,99481582.17
Bahamas,2120176
Bahrein,4173110.18
Bangladesh,1536441.04
Armenia,51.2
Barbados,66418.17
Bélgica,161390155.97
Bolivia,250755268.92
Bosnia y Herzegovina,378442.97
Belice,383.24
Bulgaria,7666933.04
Myanmar,6995324.26
Burundi,1093.3
Bielorrusia,3200249.98
Camboya,276735.76
Camerún, República Unida del,602.42
Canadá,150224100.25
República Centroafricana,264.28
Sri Lanka,5190180.66
Chad,2148.94
Chile,519415305.47
China,2067310863.19
Taiwán,214397938.23
Colombia,47616516.55
Comoras,6573.19
República del Congo,56375.57
Costa Rica,21655618.94
Croacia,2820661.12
Cuba,1662715.81
Chipre,156136.3
República Checa,41434794.3
Dinamarca,105949456.22
Dominica,3132.75
República Dominicana,1117250.2
Ecuador,45543319.8
El Salvador,76919.02
Etiopía,7928.24
Estonia,1470627.96
Finlandia,105212497.42
Francia,555563881.43
Georgia,10104306.04
Alemania,1257464609.33
Ghana,15268458.22
Gibraltar,217.43
Grecia,9859060.99
Granada,723480.6
Guatemala,430621.1
Guinea,145.8
Guyana,162.01
Haití,25123.98
Vaticano, Ciudad del,98.83
Honduras,81646.28
Hong Kong,31257617.77
Hungría,21952358.36
Islandia,168601.24
India,249649709.25
Indonesia,133307174.49
Irán, República Islámica del,826922.04
Irlanda (Eire),69960456.68
Israel,75276383.41
Italia,718077209.6
Costa de Marfil,1279911.19
Jamaica,8849.45
Japón,752711488.26
Kazajistán,20072480.89
Jordania,1520.09
Kenia,233614.08
Corea (Sur), República de,384828471.61
Laos, República Popular Democrática de,97106.69
Líbano,113167.47
Letonia,26191395.28
Liberia,62921.95
Liechtenstein,598556.29
Lituania,3637199.74
Luxemburgo,8844688.87
Macao,73027.79
Madagascar,195359.91
Malawi,2315640.09
Malasia,163986117.29
Malí,412.07
Malta,894477.75
Mauritania,37425.46
Mauricio,384059.3
México,764882315.08
Mónaco,1018673.18
Mongolia,585933.94
Moldavia,6
Marruecos,17361076.74
Namibia,22395.18
Nepal,15779.58
Países Bajos,170134202.7
Aruba,44795485.94
Nueva Zelanda,12732079.73
Nicaragua,25928.85
Nigeria,423938.36
Noruega,18493574.54
Marianas del Norte, Islas,7157.17
Pakistán,28920279.63
Panamá,340588.84
Papúa Nueva Guinea,8656.28
Perú,42521481.12
Filipinas,32164782.16
Polonia,49980808.08
Portugal,51212947.86
Puerto Rico,39605768.92
Rumania,25400743.46
Rusia,173862050.44
San Cristóbal y Nieves,788.61
Santa Lucía,1454.84
San Marino,23607.99
Arabia Saudita,624072.41
Senegal,1916272.59
Seychelles,38453.5
Sierra Leona,50670
Singapur,101136725.35
Eslovaquia,11166589.9
Vietnam,20817956.09
Eslovenia,5242095.51
Somalia,15344.42
Sudáfrica, República de,93927339.59
Zimbabwe,3685277.76
España,542771096.8
Swasilandia,2178.44
Suecia,306534624.34
Suiza,250047592.1
Siria, República Arabe de,341418.29
Tailandia,300386242.84
Tonga,1722.4
Trinidad y Tobago,107.5
Emiratos Arabes Unidos,880841.63
Tunicia,5353571.82
Turquía,40544288.25
Uganda,310477.64
Ucrania,23841771.4
Macedonia,1958456.84
Egipto,3554960.17
Reino Unido,305096359.26
Tanzania, República Unida de,1154.36
Estados Unidos,3820750633.87
Islas Vírgenes de los Estados Unidos,5094660
Burkina Faso,4447.24
Uzbekistán,2914.17
Venezuela,28249587.94
Yemen,1107.59
Zambia,337355.46
N/D,966146507.66
