"Category","Total"
Afganistán,18233.41
Albania,106769.06
Argelia,45379282.37
Samoa Americana,1336.73
Andorra,237870.96
Angola,10020738.7
Antigua y Barbuda,634.8
Australia,146900198.18
Austria,162163960.88
Bahamas,2844019.7
Bahrein,429438.13
Bangladesh,12755596.64
Armenia,16200.7
Barbados,1383.37
Bélgica,299305345.96
Bolivia,864622952.24
Bosnia y Herzegovina,752540.59
Belice,125.23
Brunei Darussalam,2656.4
Bulgaria,14666307.05
Myanmar,10534138.66
Burundi,4698.45
Bielorrusia,6160541.02
Camboya,14447335.79
Camerún, República Unida del,282941.01
Canadá,321172239.05
Cabo Verde,1096.17
Sri Lanka,10733433.99
Chile,641595885.37
China,10027478669.03
Taiwán,395805736.19
Colombia,186006184.47
Comoras,22300.02
República del Congo,22346.25
República Democrática del Congo,11141.49
Costa Rica,14063795.09
Croacia,3576035.43
Cuba,13865748.09
Chipre,167869.93
República Checa,154914529.8
Dinamarca,164019840.69
Dominica,4323.61
República Dominicana,3203262.87
Ecuador,222573822.08
El Salvador,531958.36
Guinea Ecuatorial,12509167.75
Etiopía,53539.9
Estonia,28303854.71
Fiji,16863.98
Finlandia,134250603.01
Francia,1513593325.88
Djibouti,110000
Gabón,921668.65
Georgia,362759.86
Alemania,2970375241.58
Ghana,314.94
Gibraltar,84.9
Grecia,6539812.4
Granada,303545.83
Guatemala,2856630.9
Guinea,31848.85
Guyana,129888
Haití,79568.39
Vaticano, Ciudad del,150.15
Honduras,12164750.86
Hong Kong,14411768.11
Hungría,218613905.98
Islandia,1120479.56
India,670739061.28
Indonesia,264294753.7
Irán, República Islámica del,3848586.79
Irak,434.71
Irlanda (Eire),188039414.43
Israel,114652159.58
Italia,1394736758.05
Costa de Marfil,2218332.18
Jamaica,20637.8
Japón,926887468.63
Kazajistán,2259613.57
Jordania,1253303.61
Kenia,152555.67
Corea (Sur), República de,848830280.19
Kuwait,13816634.79
Kirguizistán,1748.32
Laos, República Popular Democrática de,102378.64
Líbano,4089997.2
Letonia,3636253.22
Libia,35.19
Liechtenstein,1321547.21
Lituania,8263867.68
Luxemburgo,7357855.37
Macao,516573.94
Madagascar,1055545.89
Malawi,663309.85
Malasia,281274376.16
Malí,2353.67
Malta,2546711.15
Mauritania,70.3
Mauricio,269433.31
México,1731195061.56
Mónaco,449156.57
Mongolia,3149.81
Moldavia,39968.97
Montenegro,164.44
Marruecos,99120260.66
Mozambique,10650244.69
Omán,41775060.14
Namibia,57215.2
Nauru,90.84
Nepal,234375.88
Países Bajos,406333002.49
Nueva Zelanda,20735997.63
Nicaragua,385553.02
Níger,104.45
Nigeria,384738135.64
Noruega,120362856.31
Marianas del Norte, Islas,548.94
Palau, Islas,46.93
Pakistán,53215006.66
Panamá,1782886.38
Papúa Nueva Guinea,1989.69
Perú,116181422.03
Filipinas,99778376.71
Polonia,140583755.37
Portugal,73125673.84
Puerto Rico,33473815.26
Qatar,229883771.95
Rumania,76944208.47
Rusia,360948137.95
Ruanda,2516.68
Santa Lucía,954.08
San Marino,254719.44
Arabia Saudita,226964821.76
Senegal,85197.15
Serbia,4213429.54
Seychelles,41649.4
Sierra Leona,208850.38
Singapur,151359325.92
Eslovaquia,73431824.34
Vietnam,340049239.68
Eslovenia,19127327.64
Somalia,20.44
Sudáfrica, República de,169642215.52
Zimbabwe,594710.62
España,880409397.87
Sudan,243364.98
Surinam,1360.8
Swasilandia,749.52
Suecia,277767106.1
Suiza,506022189.78
Siria, República Arabe de,26050.82
Tadjikistán,93.8
Tailandia,1096014144.09
Trinidad y Tobago,266890180.1
Emiratos Arabes Unidos,66149978.88
Tunicia,6984301.7
Turquía,163446722.45
Turkmenistán,355.28
Uganda,7090.42
Ucrania,8416740.53
Macedonia,2203616.56
Egipto,7702116.17
Reino Unido,456886941.1
Tanzania, República Unida de,1015961.88
Estados Unidos,6642701709.42
Uzbekistán,2773837.5
Venezuela,55052050.41
Zambia,54.86
N/D,530434149.42
