"Category","Total"
Argelia,69888036
Angola,11930544
Antigua y Barbuda,138012
Australia,68456002
Austria,4120604
Bahamas,6842933
Bahrein,23097377
Bangladesh,132113644
Armenia,32946
Barbados,728571
Bélgica,311933831
Bolivia,268840104
Bosnia y Herzegovina,150690
Belice,1627208
Brunei Darussalam,1120478
Bulgaria,3201417
Myanmar,16469
Burundi,50941
Bielorrusia,526180
Camboya,134834
Camerún, República Unida del,267656
Canadá,271588402
Cabo Verde,19845
Sri Lanka,4276742
Chile,2674147462
China,796927268
Taiwán,64397680
Colombia,130741050
República del Congo,4000549
República Democrática del Congo,285179
Costa Rica,30896391
Croacia,73599
Cuba,53021635
Chipre,17108824
República Checa,1517352
Benin,937071
Dinamarca,202925925
Dominica,60469
República Dominicana,55931031
Ecuador,62682203
El Salvador,34497862
Guinea Ecuatorial,4349723
Etiopía,131344
Estonia,712842
Fiji,539214
Finlandia,49626380
Francia,531981694
Djibouti,31493
Gabón,1067255
Georgia,1643169
Gambia,62928
Territorios Autónomos de Palestina,28350
Alemania,595469169
Ghana,1425452
Gibraltar,7466
Grecia,81527209
Granada,190648
Guatemala,33683283
Guyana,106640
Haití,14644148
Honduras,8068320
Hong Kong,87961997
Hungría,6684246
Islandia,248131
India,437132686
Indonesia,70203711
Irán, República Islámica del,351530858
Irak,31448576
Irlanda (Eire),22657735
Israel,64011909
Italia,734571084
Costa de Marfil,4218664
Jamaica,11633598
Japón,379783229
Kazajistán,1203441
Jordania,88157687
Kenia,41575569
Corea (Sur), República de,151050312
Kuwait,20772646
Laos, República Popular Democrática de,2700
Líbano,30396090
Letonia,2269927
Liberia,1784082
Libia,53734215
Liechtenstein,3062
Lituania,944202
Luxemburgo,9527954
Madagascar,5702473
Malawi,109767
Malasia,242903751
Malí,152250
Malta,2550525
Mauritania,145843
Mauricio,20053644
México,326354909
Mónaco,13257
Marruecos,87780706
Mozambique,6307813
Omán,22475918
Namibia,3157879
Nepal,42426
Países Bajos,746205752
Nueva Zelanda,61359785
Nicaragua,3101554
Nigeria,46149432
Noruega,19337358
Pakistán,50743731
Panamá,25900602
Papúa Nueva Guinea,41615
Perú,295272066
Filipinas,17346402
Polonia,34669993
Portugal,132605962
Puerto Rico,45429699
Qatar,2935688
Rumania,12679448
Rusia,103442248
San Cristóbal y Nieves,138404
Santa Lucía,135975
San Vicente y las Granadinas,3099565
San Marino,219108
Arabia Saudita,37511147
Senegal,5833718
Seychelles,1087
Sierra Leona,49250
Singapur,28319517
Eslovaquia,140091
Vietnam,26737329
Eslovenia,3284738
Somalia,464766
Sudáfrica, República de,241309620
Zimbabwe,2754852
España,915374535
Surinam,538885
Swasilandia,11431
Suecia,58520277
Suiza,60635431
Siria, República Arabe de,63511817
Tailandia,187905054
Togo,184380
Trinidad y Tobago,6244298
Emiratos Arabes Unidos,94536789
Tunicia,72506951
Turquía,79841530
Turkmenistán,7137
Uganda,1100
Ucrania,2185203
Macedonia,374908
Egipto,348917209
Reino Unido,262234134
Tanzania, República Unida de,6056266
Estados Unidos,3103283620
Uzbekistán,1172427
Venezuela,217788279
Yemen,31772180
Zambia,63100
N/D,522850534
