"Category","Total"
Afganistán,12559.61
Albania,291018.02
Argelia,76993529.79
Andorra,7457.73
Angola,130.29
Antigua y Barbuda,3866.13
Australia,347614412.75
Austria,193407778.42
Bahamas,3465999.6
Bahrein,1248008.51
Bangladesh,42658274.5
Armenia,3017.08
Barbados,9381.37
Bélgica,301961022.96
Bolivia,1430732595.08
Bosnia y Herzegovina,1817730.46
Belice,315.95
Bulgaria,17111744.02
Myanmar,7199367.17
Burundi,3384.19
Bielorrusia,28776087.92
Camboya,21902639.57
Camerún, República Unida del,304464.77
Canadá,366050368.59
Sri Lanka,11423687.04
Chad,106.56
Chile,662519963.57
China,11495399232.96
Taiwán,396775440.6
Colombia,274093943.73
Comoras,28256.1
República del Congo,41246.72
República Democrática del Congo,548.79
Costa Rica,13779784.61
Croacia,22630488.17
Cuba,5336980.86
Chipre,555443.32
República Checa,184343049.2
Benin,10609.08
Dinamarca,291323295.64
Dominica,4523.21
República Dominicana,4449006.04
Ecuador,263588017.08
El Salvador,2008984.75
Guinea Ecuatorial,20557475.58
Etiopía,31311.1
Estonia,31018732.25
Fiji,4263
Finlandia,152901330.98
Francia,1073369779.99
Gabón,567650.18
Georgia,247711.63
Gambia,9105.87
Territorios Autónomos de Palestina,64400
Alemania,3253044067.98
Ghana,199914.28
Grecia,9012391.83
Granada,348344.33
Guatemala,1625983.86
Guinea,4834.24
Haití,288482.2
Honduras,5716732.93
Hong Kong,12330948.73
Hungría,291677321.58
Islandia,3279162.45
India,849443048.519999
Indonesia,327867119.2
Irán, República Islámica del,1601080.36
Irak,527206.31
Irlanda (Eire),242882969.88
Israel,170569236.31
Italia,1511348579.25
Costa de Marfil,3647616.07
Jamaica,817223.08
Japón,1048344707.77
Kazajistán,2804250.43
Jordania,1833217.55
Kenia,204502.89
Corea (Sur), República de,610257639.84
Kuwait,9732605.41
Laos, República Popular Democrática de,563118.95
Líbano,566779.09
Lesotho,2445.01
Letonia,6132512.02
Liechtenstein,1102566.87
Lituania,48929626.16
Luxemburgo,11688218.02
Macao,264302.25
Madagascar,1214539.05
Malawi,4892.84
Malasia,279325610.63
Malí,3898.54
Malta,1558383.14
Mauritania,1405.84
Mauricio,814843.1
México,1821703368
Mónaco,353757.62
Mongolia,1317
Moldavia,140562.82
Montenegro,4627.93
Marruecos,162680513.18
Omán,143217215.27
Namibia,1209.75
Nepal,9576.18
Países Bajos,505837125.77
Nueva Zelanda,14994886.88
Nicaragua,557684.6
Níger,1731.47
Nigeria,269142782.67
Noruega,66903504.91
Pakistán,53608127.87
Panamá,229204.05
Papúa Nueva Guinea,39913.65
Perú,168954280.66
Filipinas,126915521.98
Polonia,241664231.79
Portugal,146003007.61
Puerto Rico,37249549.54
Qatar,384721563.83
Rumania,108736758.62
Rusia,481815376.81
Ruanda,2056.37
San Cristóbal y Nieves,8466.89
San Marino,519779.75
Santo Tomé y Príncipe,25.21
Arabia Saudita,192351600.78
Senegal,8396440.97
Serbia,8378319.31
Seychelles,57047.2
Sierra Leona,35578.12
Singapur,100268645.84
Eslovaquia,60371509.92
Vietnam,614673441.76
Eslovenia,20940654.03
Somalia,13169.69
Sudáfrica, República de,205846607.28
Zimbabwe,282075.59
España,1362393231.85
Sudan,326852.69
Surinam,1609.29
Swasilandia,93490.38
Suecia,230174103.29
Suiza,569359965.82
Tailandia,1287923934.26
Togo,2552
Trinidad y Tobago,144099125.98
Emiratos Arabes Unidos,129438359.28
Tunicia,42651674.46
Turquía,256288969.68
Turkmenistán,1288.79
Uganda,1915.36
Ucrania,23812285.83
Macedonia,2483333.21
Egipto,77453912.55
Reino Unido,553138869.16
Tanzania, República Unida de,212888.09
Estados Unidos,7283722924.5
Burkina Faso,9454.34
Uzbekistán,101455.06
Venezuela,7605420.1
Yemen,37834.79
N/D,736794243.53
