"Category","Total"
Albania,2129
Argelia,34939996
Andorra,82191
Angola,13927785
Australia,62474154
Austria,77531081
Bahamas,567828
Bahrein,2749856
Bangladesh,3086350
Armenia,25
Barbados,23574
Bélgica,205080981
Bolivia,19058293
Bosnia y Herzegovina,287720
Botswana,15407
Bulgaria,3883822
Myanmar,3041990
Bielorrusia,175083
Camboya,205037
Camerún, República Unida del,16749
Canadá,287753884
Sri Lanka,6386256
Chad,108102
Chile,571179200
China,1060222207
Taiwán,261596403
Colombia,49700981
Comoras,18184
República del Congo,10884487
República Democrática del Congo,74
Costa Rica,4166931
Croacia,1109547
Cuba,3207386
Chipre,135660
República Checa,16516055
Dinamarca,88964724
República Dominicana,1200592
Ecuador,104087074
El Salvador,83620
Etiopía,1288
Estonia,275342
Fiji,1432
Finlandia,128053818
Francia,925332469
Djibouti,1089
Gabón,327
Georgia,4079121
Alemania,1205119873
Ghana,20215
Grecia,14275826
Granada,686415
Guatemala,991294
Guinea,60
Guyana,456548
Haití,21589
Honduras,476804
Hong Kong,57131414
Hungría,30647231
Islandia,152827
India,136844325
Indonesia,101657692
Irán, República Islámica del,2255676
Irak,99
Irlanda (Eire),84047404
Israel,101243547
Italia,962979760
Costa de Marfil,47078390
Jamaica,50491
Japón,954821915
Kazajistán,6896077
Kenia,487376
Corea (Sur), República de,492988833
Kuwait,107845
Kirguizistán,13945
Laos, República Popular Democrática de,20012
Líbano,139677
Letonia,19382330
Libia,2100572
Liechtenstein,190521
Lituania,12192264
Luxemburgo,6690829
Macao,2988239
Madagascar,610104
Malawi,1079038
Malasia,176083324
Maldivas,4686
Malí,363
Malta,466029
Mauritania,3224
Mauricio,586272
México,547884361
Mónaco,1259255
Mongolia,1575
Marruecos,3667929
Mozambique,590
Omán,156
Namibia,510141
Nepal,38024
Países Bajos,154272156
Nueva Zelanda,14569311
Nicaragua,1530
Nigeria,186251923
Noruega,22463757
Pakistán,28844874
Panamá,1482450
Papúa Nueva Guinea,2964
Perú,26347178
Filipinas,24273693
Polonia,27251148
Portugal,39966398
Puerto Rico,51696856
Qatar,9424477
Rumania,7294142
Rusia,98912913
San Cristóbal y Nieves,346
San Marino,723612
Arabia Saudita,24432395
Senegal,1419
Singapur,95191964
Eslovaquia,12963966
Vietnam,10348465
Eslovenia,4778331
Sudáfrica, República de,76303052
Zimbabwe,1929010
España,845995917
Surinam,450
Swasilandia,4187
Suecia,303233038
Suiza,221486515
Siria, República Arabe de,371611
Tailandia,121854374
Togo,300
Trinidad y Tobago,6221721
Emiratos Arabes Unidos,2531229
Tunicia,18687248
Turquía,38143101
Uganda,412496
Ucrania,13141008
Egipto,9028400
Reino Unido,426848672
Tanzania, República Unida de,7564
Estados Unidos,4532136104
Islas Vírgenes de los Estados Unidos,7111
Burkina Faso,70
Uzbekistán,60
Venezuela,25986103
Zambia,26778
N/D,601374074
