Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,132113644,100932253,82971804,140422001,142944321,162691242.38,140010770.63,310312095.96,204627530.86,214003761.99,214860979.8,442617211.12,358214528.36,309840530.39,358983707.19,277303716.11,489732449.37,583691726.94,531190114.23,605533101.62,456241906.88,875658773.46,742899749.29
Colombia,130741050,187055780,188729554,226551928,273872094,361062883.43,550872720.97,576450614.29,810319361.28,874363998.18,1302600875.76,1806028969.21,2079591109.04,1530541046.62,860275100.94,394004917.84,528150724.64,561330664.55,650843327.51,895809285.44,586711441.54,1129879435.9,1426405351.55
Rusia,103442248,150725444,149531023,199601346,359450673,670587928.22,901389950.46,784576192.92,969873540.55,825019307.83,635988675.49,767586562.07,745129503.58,725834438.91,730040309.64,473022251.66,491720222.06,518784341.12,759296487.61,650289677.37,610481654.86,679975782.07,498405053.69
Emiratos Arabes Unidos,94536789,100337499,112188297,184508670,189919616,216646759.03,159636347.01,191225235.48,356852219.85,237340158.54,272202905.46,337236271.69,280624031.12,256390142.94,200134257.14,173729521.65,240154896.06,225816227.58,227910404.57,453489383.41,541587168.11,773538971.28,951015761.3
Jordania,88157687,121325934,108017804,72165181,75981885,68136154.77,46582347.69,25218183.9,23656319.09,51953542.5,65434215.48,182121320.66,218935526.25,245126662.59,273693205.35,213390789.56,222385018.04,250499220.59,237418759.69,169997795.87,205451500.73,304789101.26,304443194.04
Hong Kong,87961997,100096969,83248488,97757459,108256453,142916138.06,170047116.46,193213276.62,207436104.2,282028758.93,317873635.0,322789530.03,310287669.59,325748670.72,331949308.12,214415790.83,235333162.86,267770309.69,273291843.26,234760150.56,152179977.15,139300054.88,85865554.28
Marruecos,87780706,117072931,98161666,175275538,209682028,199614703.19,232663537.1,353759643.74,491220627.63,123897870.88,235463859.17,423891789.02,516053752.78,484526042.0,536290136.79,331554976.02,368735989.86,509120690.53,374560961.94,611690990.09,487727935.96,679273545.41,943937646.53
Grecia,81527209,65937822,71222211,116972685,114605719,70154200.37,76961382.76,121693244.01,117661209.37,141546306.23,111445813.3,127886489.77,109286641.32,130934457.51,135189343.66,127918922.34,124386427.01,141484250.62,184059940.85,152219728.12,175291189.37,238361638.44,257888246.87
Turquía,79841530,55279773,78280159,167454341,235290463,211427178.7,243528497.02,271823627.58,518603973.87,183204676.73,199355108.59,563695943.87,302021297.77,451432512.58,375177142.84,334798843.32,486655434.44,477944242.6,454932721.15,514395090.91,517649340.02,557476613.83,711283354.35
Tunicia,72506951,83310430,92532605,101207311,114316372,111293720.29,132457263.11,166507960.21,349987617.99,110018321.13,122818657.74,283544921.84,175880013.64,206701140.8,166168414.67,70008773.06,125367732.94,135193463.45,67488293.38,121613822.91,106346840.35,164348353.76,214206797.07
Indonesia,70203711,43257071,72444091,73571792,248361372,370344765.76,316883274.85,408666126.43,405709710.2,603956166.3,852441664.07,1366928752.25,1549438818.72,1469194276.87,1239638889.64,1079251784.38,1243342508.36,1073799236.04,1282750324.09,1622562472.9,1317712823.87,1862979945.41,2105086018.12
Argelia,69888036,158442439,116564321,207961615,452048352,452468347.3,537743007.0,765293676.5,891611548.25,709993445.87,1012043620.07,1656128960.4,1465525991.92,1563986505.56,1601191339.26,1147799629.7,1163610478.5,1474694372.21,1726084942.93,1523638991.49,1095321247.38,1467376990.24,1597328312.72
Australia,68456002,66329541,95314289,115919397,123602965,145161753.53,135366449.29,210677991.74,309376167.47,242346473.04,286693372.13,588849133.86,585000864.85,736647458.9,708862637.32,609439771.03,516589634.89,626330684.22,620866531.19,526848031.64,567302085.31,620719211.13,646649398.07
Taiwán,64397680,31286740,83638454,125918235,83150991,107750142.2,83768587.81,85691822.55,74346042.3,68140733.08,221165050.03,173824629.4,307351197.64,382983308.49,145490511.65,81585750.91,81294930.22,107198273.11,102431848.69,163873411.53,187053179.68,336715793.35,437059453.84
Israel,64011909,86858340,62167298,99707915,174754893,208409133.6,134853990.93,212693727.35,219642767.93,267238579.53,223064198.99,232870356.06,225655791.56,199469475.26,181270617.11,182744520.57,196429300.91,202489162.73,218092767.59,233409748.51,286617105.92,366419999.52,401205883.13
Ecuador,62682203,103010566,162558106,135757831,196320357,264590426.22,302419863.71,345436193.27,458071690.12,454573715.76,501375139.81,484975277.73,417795548.81,346989153.12,398789382.08,212769270.6,241349621.0,379114842.38,408389479.97,281614693.97,212222560.61,504208463.08,649845051.25
Nueva Zelanda,61359785,5607812,9836433,11012180,11399654,14623379.22,14371422.03,30683014.72,39007001.58,45916055.73,49997521.91,87793402.76,117040061.31,128524576.33,139021745.1,116807530.25,97056412.04,159498292.24,124763794.8,142427400.01,156956718.57,183232083.02,210353306.53
Suiza,60635431,30444149,19102619,22027579,20927044,97277122.44,518513517.89,536873289.26,757957387.24,946245547.73,1017008312.56,566962441.69,656640098.99,561157297.22,544939603.42,1256768694.73,1137463146.25,1262700876.36,1291386067.14,1689665364.82,1020723260.39,954544420.18,1089068918.06
Suecia,58520277,21142043,41560829,70449127,48702231,27359430.97,34758581.73,60468916.56,45960085.55,40224403.42,49539316.15,57008362.0,71665389.26,70785683.72,61195039.95,56195229.21,70063132.55,49212229.96,44298040.28,43304390.94,27202796.71,24769470.19,38750988.45
República Dominicana,55931031,61874174,69765558,69664649,108084739,123270635.7,149169209.54,198483290.62,179967486.73,139637362.74,156465848.18,232212055.75,243934225.36,258413275.54,121998362.34,112846196.46,143863497.93,109990938.04,128332994.77,171776013.78,108982082.47,328131872.97,507621104.55
Libia,53734215,23940467,18350739,21776726,53608210,60223769.27,83792693.46,122532268.54,192437522.87,110515451.93,137322697.38,60486872.43,95540624.82,128750927.19,175245959.49,71112624.81,67977961.88,31406727.36,63907073.94,61898314.41,39538208.9,128876454.99,162382595.86
Cuba,53021635,48760920,22086316,23239951,91360842,96840548.58,95800122.34,100718538.19,84442287.78,52086515.46,88603423.12,112915897.16,106709193.65,307422693.4,272953546.75,276160273.25,324237712.66,195863942.81,253908218.38,279548792.88,273731230.75,328993309.17,243823062.51
Pakistán,50743731,20200209,58501118,55222556,42916660,39090398.96,58347782.01,79975945.63,153144954.03,50020538.17,45392263.35,40696871.24,66759480.17,146039295.31,281105732.85,397883877.99,245937178.48,172129765.94,104773893.79,101912418.28,124425694.26,131279154.55,235830644.03
Finlandia,49626380,49415147,48140355,81141374,76614440,58718233.65,111983930.19,149952810.34,31986254.56,18239604.33,17102694.45,52345066.06,50131127.91,85191996.48,42497223.23,10395086.58,147524598.79,96134227.82,8502105.78,7323644.01,6238392.66,7886600.77,10199325.37
Nigeria,46149432,60251881,73622163,70206512,98954322,108388636.54,158092997.88,302801544.99,190898392.69,94202595.4,80671368.0,86543598.15,151175201.79,107058030.05,67374615.1,88762495.62,38251684.63,86631769.5,85055021.91,110254035.81,118129915.16,173585596.98,279322417.74
Puerto Rico,45429699,59825390,88048627,109611650,94943552,78839385.73,93783276.98,193077755.47,306291953.91,206282389.59,123880721.16,53281691.27,44110350.15,75472502.72,63661039.87,40372175.36,62858627.83,56912683.46,44593278.74,39306311.1,41975638.26,73904298.98,84472450.54
Kenia,41575569,43021988,16889321,7365936,78681033,25524394.11,15305186.23,50491783.07,92881442.47,22557812.7,5911683.64,43524217.33,106190055.68,11385296.86,8019427.06,15058444.9,23476830.15,83793684.8,93938619.92,139892112.97,129490135.87,148303877.26,151304074.36
Arabia Saudita,37511147,57196771,86921067,136948774,174857009,233014327.77,343676613.17,372485659.89,445415294.68,312113701.51,309257944.75,626297808.83,789035513.4,1163011937.09,811917782.63,421377686.07,664231276.98,708195308.88,933300321.43,1009411681.48,957847068.89,850454524.51,1184568596.73
Polonia,34669993,32647965,53481362,127682701,183397583,300884864.49,338689609.65,417089980.91,471496713.35,428671282.15,460649086.04,567860474.41,556112817.25,620530775.76,731423859.55,562254335.04,634912364.85,573126386.97,631148010.16,506023500.68,576342564.13,788555600.3,919870679.75
El Salvador,34497862,50918154,10313285,19008762,56574107,59905897.93,95408908.19,93071843.07,37011560.89,13332195.98,13771682.64,14845563.77,30395376.99,31711127.76,15446448.99,10150414.46,12790216.21,32997019.3,44225060.47,40131105.72,30143548.22,56636095.57,68335216.18
Guatemala,33683283,43766296,47551729,75165102,87544642,126248349.0,171814063.87,154398832.45,107246582.2,92422914.77,79592994.19,99655899.95,133844852.91,150692797.88,55607868.38,68116590.6,72115501.86,147241611.83,127761563.57,144575341.66,124578365.01,231658098.63,302325908.67
Yemen,31772180,37248058,39133890,38467978,39861159,68117816.31,68844690.08,101723104.4,50409279.85,140186119.7,101813455.14,185563583.2,227318537.41,204470037.68,207435802.05,129468833.71,167766660.87,159881961.4,203153067.58,173475114.69,215266214.07,274611575.19,290679036.12
Irak,31448576,53948674,50022878,15446678,34306809,18769682.38,30940514.87,16854443.43,20393202.51,132054137.76,23199821.92,61346837.17,104352977.75,116105013.44,145152194.43,88324968.75,98380633.02,194555020.92,224459818.34,192056626.7,296719830.95,407036192.76,334744824.81
Costa Rica,30896391,34227693,27192540,35456037,59214589,55682646.0,99507534.75,103446765.32,130075211.89,159580107.33,162007090.21,139599436.39,100445086.71,106599776.78,51258797.93,47472392.15,48290647.07,112421856.15,94322294.19,106704025.92,81773108.47,92095160.28,149858561.57
Líbano,30396090,16658399,32583229,31078701,33361468,27866151.01,27516916.62,45945784.51,48632008.19,48684428.91,60326323.08,81590530.76,82873756.25,103255920.93,127818649.97,94389894.97,98609431.66,102844617.58,116479207.65,95819406.28,101704130.79,90204562.82,107050769.06
Singapur,28319517,28459245,15954402,9769685,14674193,16720035.08,44108330.86,26465808.23,57790841.16,35675613.46,37616338.63,62154079.42,48379369.63,114428716.56,140180688.85,144147029.95,52121596.14,38479125.83,47361533.51,102982331.28,60202850.96,81403083.77,112008020.3
Vietnam,26737329,60344272,71820546,137123099,146285017,197308303.63,204580859.13,330842502.05,328141933.59,547244022.05,655729778.05,680394780.15,800855888.6,1185116588.57,1550426654.35,1801395032.63,2546175760.06,2271317489.54,2101664333.3,2805806948.54,2850870046.7,3221526799.94,3222762261.33
Panamá,25900602,34700003,27970131,56744508,81590898,64179811.07,98544614.69,132811424.67,89065098.59,69976758.92,57998696.77,169639665.25,170841337.5,94968835.14,77355378.69,68349293.1,67912048.84,125493307.42,130402760.43,167637751.09,148541168.54,139843843.39,220050011.1
Bahrein,23097377,18862133,2285076,8724161,9885343,5289316.62,5992168.89,3679114.29,5687591.67,3165115.27,3349270.01,15817628.98,19704587.91,4860711.38,4183058.87,2793864.33,3954324.48,5367110.31,7932553.61,8214486.47,3326525.47,2912666.99,12561540.69
Irlanda (Eire),22657735,23566117,30892952,68623031,46011729,61372518.9,93211065.45,115800328.64,158680889.87,73650433.6,118272495.94,206600927.57,216778945.44,252821442.71,242172074.44,232014844.79,232195072.79,277206664.83,304644078.26,305734998.89,422203866.97,437595337.48,561867570.09
Omán,22475918,34527382,38164259,35054791,25776584,43688421.3,49177928.73,25413986.16,57382943.57,45077291.74,39695424.11,59002605.85,38999749.65,34300659.13,28701683.1,29219464.58,42975490.48,79076076.1,73131472.68,97672422.81,63031817.96,89019017.89,170900060.37
