"Category","Total"
Afganistán,421372.06
Albania,6540553.09
Argelia,891611548.25
Samoa Americana,24674.78
Andorra,101990.88
Angola,213165279.85
Antigua y Barbuda,351527.73
Azerbaiján,3423580.53
Australia,309376167.47
Austria,18233795.57
Bahamas,23187058.47
Bahrein,5687591.67
Bangladesh,204627530.86
Armenia,2287979.04
Barbados,2371348.27
Bélgica,543068398.61
Bolivia,606845400.84
Bosnia y Herzegovina,10573871.96
Botswana,74323
Belice,180304.85
Brunei Darussalam,369020.68
Bulgaria,16024346.53
Myanmar,226002.18
Bielorrusia,6725872.44
Camboya,4167946.58
Camerún, República Unida del,15593184.65
Canadá,470701999.98
Cabo Verde,6623310.18
Sri Lanka,8333663.14
Chad,600003.5
Chile,4712567976.18
China,6354956741.33
Taiwán,74346042.3
Colombia,810319361.28
Comoras,1055486.66
República del Congo,52030807.95
República Democrática del Congo,45487429.45
Costa Rica,130075211.89
Croacia,43842589.34
Cuba,84442287.78
Chipre,27965865.15
República Checa,49469280.42
Benin,5050869.12
Dinamarca,497006111.74
Dominica,224257.58
República Dominicana,179967486.73
Ecuador,458071690.12
El Salvador,37011560.89
Guinea Ecuatorial,3383697.48
Etiopía,799248.17
Estonia,6177942
Fiji,349015.33
Finlandia,31986254.56
Francia,913966452.35
Djibouti,559620
Gabón,13673155.32
Georgia,6868591.62
Gambia,2660760.79
Territorios Autónomos de Palestina,3385776.2
Alemania,1507966543
Ghana,38215223.14
Grecia,117661209.37
Granada,732344.24
Guatemala,107246582.2
Guinea,1608150.05
Guyana,3997344.82
Haití,16058856.59
Honduras,27556476.04
Hong Kong,207436104.2
Hungría,14878738.1
Islandia,2061048.54
India,829748793.59
Indonesia,405709710.2
Irán, República Islámica del,1081973567.7
Irak,20393202.51
Irlanda (Eire),158680889.87
Israel,219642767.93
Italia,1688005113.73
Costa de Marfil,35585138.77
Jamaica,14311111.38
Japón,519301263.96
Kazajistán,32019854.31
Jordania,23656319.09
Kenia,92881442.47
Corea (Sur), República de,587686335.04
Kuwait,30226900.88
Kirguizistán,1134936.59
Líbano,48632008.19
Letonia,35267026.27
Liberia,7150626.29
Libia,192437522.87
Liechtenstein,26644
Lituania,29414200.59
Luxemburgo,1580778.22
Macao,1695.9
Madagascar,38150104.91
Malawi,4773703.46
Malasia,461821346.78
Maldivas,180843.28
Malí,2428867.35
Malta,5889172.5
Mauritania,3386684
Mauricio,35902242.47
México,1336503508.44
Mónaco,13407
Mongolia,2265111.04
Moldavia,3423986.22
Montenegro,5932354.51
Marruecos,491220627.63
Mozambique,55365749.64
Omán,57382943.57
Namibia,9241286.91
Nepal,32807.92
Países Bajos,2961679063.23
Aruba,3249713.06
Vanuatu,67486.45
Nueva Zelanda,39007001.58
Nicaragua,18254595.63
Níger,13526161.58
Nigeria,190898392.69
Noruega,46077543.62
Pakistán,153144954.03
Panamá,89065098.59
Papúa Nueva Guinea,56756
Perú,1312615449.88
Filipinas,561348992.51
Polonia,471496713.35
Portugal,334229381.07
Guinea - Bissau,817930.5
Puerto Rico,306291953.91
Qatar,16141994.45
Rumania,96494230.87
Rusia,969873540.55
Ruanda,8450664.14
San Cristóbal y Nieves,129347.24
Santa Lucía,707618.16
San Vicente y las Granadinas,1208592.7
Santo Tomé y Príncipe,90850
Arabia Saudita,445415294.68
Senegal,80453881.68
Serbia,17566247.21
Seychelles,165897.8
Sierra Leona,7307102.07
Singapur,57790841.16
Eslovaquia,689334.24
Vietnam,328141933.59
Eslovenia,19184760.74
Sudáfrica, República de,1009938189.01
Zimbabwe,127101.98
España,2767883608.77
Surinam,9725758.12
Swasilandia,827442.04
Suecia,45960085.55
Suiza,757957387.24
Siria, República Arabe de,256338316.94
Tadjikistán,221558
Tailandia,395065787.6
Togo,4656952.12
Tonga,29609.39
Trinidad y Tobago,35450798.64
Emiratos Arabes Unidos,356852219.85
Tunicia,349987617.99
Turquía,518603973.87
Turkmenistán,5426409.13
Uganda,6054417.04
Ucrania,120266887.05
Macedonia,3543614.44
Egipto,1075235421.73
Reino Unido,814216410.58
Tanzania, República Unida de,37637796.29
Estados Unidos,5095475876.94
Burkina Faso,3550330.61
Uzbekistán,300108.91
Venezuela,1419683672
Yemen,50409279.85
Zambia,575483.39
N/D,1668241498.11
