"Category","Total"
Albania,106945
Argelia,158442439
Angola,18233979
Antigua y Barbuda,120659
Azerbaiján,543231
Australia,66329541
Austria,4390137
Bahamas,8356825
Bahrein,18862133
Bangladesh,100932253
Armenia,51277
Barbados,541494
Bélgica,290400343
Bolivia,269283364
Bosnia y Herzegovina,212224
Belice,1418518
Brunei Darussalam,113026
Bulgaria,5649097
Myanmar,19899
Bielorrusia,306430
Camboya,827286
Camerún, República Unida del,1015286
Canadá,224877249
República Centroafricana,18598
Sri Lanka,3399063
Chad,329147
Chile,2849376543
China,1124174312
Taiwán,31286740
Colombia,187055780
República del Congo,4867705
República Democrática del Congo,1684140
Costa Rica,34227693
Croacia,2582965
Cuba,48760920
Chipre,19528311
República Checa,2847559
Benin,334040
Dinamarca,228127365
Dominica,167292
República Dominicana,61874174
Ecuador,103010566
El Salvador,50918154
Guinea Ecuatorial,1283694
Etiopía,45869
Estonia,651970
Fiji,121486
Finlandia,49415147
Francia,257298371
Gabón,4652734
Georgia,28201
Alemania,455497710
Ghana,2268442
Gibraltar,7287
Grecia,65937822
Granada,203240
Guatemala,43766296
Guinea,326365
Guyana,163650
Haití,20117025
Honduras,7392555
Hong Kong,100096969
Hungría,8505225
Islandia,197203
India,435176485
Indonesia,43257071
Irán, República Islámica del,416777068
Irak,53948674
Irlanda (Eire),23566117
Israel,86858340
Italia,853119050
Costa de Marfil,5923216
Jamaica,10275499
Japón,350845698
Kazajistán,2612940
Jordania,121325934
Kenia,43021988
Corea (Sur), República de,389718513
Kuwait,26455085
Líbano,16658399
Letonia,2860741
Liberia,51301
Libia,23940467
Liechtenstein,3633
Lituania,4338159
Luxemburgo,3806992
Madagascar,3909475
Malawi,492000
Malasia,291815089
Malí,96850
Malta,1951664
Mauritania,617570
Mauricio,21449340
México,485188708
Mónaco,73969
Moldavia,77308
Marruecos,117072931
Mozambique,15427323
Omán,34527382
Namibia,4983348
Nepal,87378
Países Bajos,801553115
Nueva Zelanda,5607812
Nicaragua,1589536
Níger,80388
Nigeria,60251881
Noruega,16935099
Pakistán,20200209
Panamá,34700003
Papúa Nueva Guinea,12622
Perú,394134556
Filipinas,103798473
Polonia,32647965
Portugal,135392470
Puerto Rico,59825390
Qatar,7457157
Rumania,12659560
Rusia,150725444
Ruanda,67132
San Cristóbal y Nieves,170770
Santa Lucía,29550
San Vicente y las Granadinas,143026
San Marino,204760
Arabia Saudita,57196771
Senegal,14187346
Seychelles,1932
Sierra Leona,383483
Singapur,28459245
Eslovaquia,170626
Vietnam,60344272
Eslovenia,11840166
Sudáfrica, República de,311874741
Zimbabwe,2769615
España,1093297874
Surinam,857961
Swasilandia,3060
Suecia,21142043
Suiza,30444149
Siria, República Arabe de,101401224
Tailandia,304385372
Togo,541376
Trinidad y Tobago,6466557
Emiratos Arabes Unidos,100337499
Tunicia,83310430
Turquía,55279773
Uganda,98730
Ucrania,2961734
Macedonia,547859
Egipto,346945501
Reino Unido,290831379
Tanzania, República Unida de,1365660
Estados Unidos,2824256189
Islas Vírgenes de los Estados Unidos,25413
Burkina Faso,9652
Venezuela,234988138
Yemen,37248058
Zambia,546208
N/D,429294918
