"Category","Total"
Afganistán,21577.94
Albania,319880.45
Argelia,53853663.41
Samoa Americana,803.17
Andorra,193412.02
Angola,3921.86
Antigua y Barbuda,1517.75
Azerbaiján,25610
Australia,143360117.24
Austria,193230429.83
Bahamas,3617168.19
Bahrein,932638.59
Bangladesh,8341036.62
Armenia,704.74
Barbados,140.79
Bélgica,401303187.24
Bután,1581.14
Bolivia,2538641860.88
Bosnia y Herzegovina,640261.61
Botswana,230
Belice,4060.74
Bulgaria,9916922.36
Myanmar,5756789.58
Bielorrusia,9649205.88
Camboya,7197857.22
Camerún, República Unida del,166582.71
Canadá,532816224.56
Sri Lanka,6763638.82
Chad,122594.1
Chile,765801204.83
China,10299304986.18
Taiwán,455137512.89
Colombia,213740254.08
Comoras,28927.41
República del Congo,67923.05
República Democrática del Congo,39433.61
Costa Rica,43018613.52
Croacia,2888307.01
Cuba,16846384.6
Chipre,87907.1
República Checa,158490363.48
Benin,1920
Dinamarca,159174762.8
Dominica,61708.37
República Dominicana,3178565.73
Ecuador,200539801.63
El Salvador,429202.58
Etiopía,189363.78
Estonia,13044538.15
Fiji,4780.25
Finlandia,150573271.77
Francia,1371938817.44
Gabón,2372578.35
Georgia,374700.75
Gambia,500.59
Alemania,3419931046.69
Ghana,93701.95
Grecia,45943078.09
Groenlandia,83.7
Guatemala,3702046.61
Guinea,3478.2
Guyana,3763.17
Haití,74980.25
Honduras,12193353.99
Hong Kong,32905985.49
Hungría,107608235.25
Islandia,3109964.55
India,663073032.24
Indonesia,286604544.65
Irán, República Islámica del,5290544.53
Irak,20531.34
Irlanda (Eire),235459444.78
Israel,111872286.17
Italia,1578581156.49
Costa de Marfil,1474677.68
Jamaica,2565.42
Japón,1338598139.16
Kazajistán,15487268.07
Jordania,2339924.65
Kenia,48717.53
Corea (Sur), República de,862079648.19
Kuwait,7112862.86
Kirguizistán,120.77
Laos, República Popular Democrática de,14570.41
Líbano,394423.58
Lesotho,10481.79
Letonia,22349866.17
Liechtenstein,1405102.69
Lituania,19144447.04
Luxemburgo,12104031.17
Macao,338557.3
Madagascar,513493.09
Malawi,3714947.44
Malasia,386258881.46
Malta,2583880.44
Mauritania,12844
Mauricio,263786.62
México,1584509745.26
Mónaco,1335058.18
Moldavia,11100.61
Montenegro,167.74
Marruecos,45978827.76
Mozambique,5766356.77
Omán,3633665.16
Namibia,5690975.99
Nauru,759.51
Nepal,273874.04
Países Bajos,743257781.11
Nueva Zelanda,20296253.2
Nicaragua,383317.71
Níger,2015.28
Nigeria,578526997.99
Noruega,154525867.04
Pakistán,52877933.27
Panamá,646675.85
Papúa Nueva Guinea,4060.45
Perú,117542590.48
Filipinas,93547585.59
Polonia,184851585.07
Portugal,97842950.09
Puerto Rico,56892170.02
Qatar,780439019.51
Rumania,69390430
Rusia,1275120497.44
San Cristóbal y Nieves,14213.02
San Marino,375645.27
Arabia Saudita,57794513.66
Senegal,93952.41
Serbia,15100626.71
Seychelles,24350
Sierra Leona,364174.23
Singapur,185138084.28
Eslovaquia,50035594.65
Vietnam,189150536.23
Eslovenia,23983243.57
Somalia,3774.72
Sudáfrica, República de,205101025.45
Zimbabwe,459000
España,1021561977.13
Sudan,476701.04
Swasilandia,2707.66
Suecia,291942984.05
Suiza,520490101.64
Siria, República Arabe de,56746.22
Tadjikistán,68.37
Tailandia,781887695.73
Togo,428
Tonga,43032
Trinidad y Tobago,1773118259.16
Emiratos Arabes Unidos,27197522.54
Tunicia,6514402.13
Turquía,224673746.18
Turkmenistán,109.4
Uganda,6934.08
Ucrania,10322544.66
Macedonia,7754637.51
Egipto,9160537.21
Reino Unido,526376715.01
Tanzania, República Unida de,2198722.3
Estados Unidos,8662224132.77
Burkina Faso,12148.46
Uzbekistán,1844839.05
Venezuela,8175072.64
Yemen,63374.15
Zambia,36779.11
N/D,881337632.7
