"Category","Total"
Albania,12465.66
Argelia,83198.08
Andorra,67940.46
Azerbaiján,108643.94
Australia,163761040.1
Austria,133989671.29
Bahamas,2785920
Bangladesh,6043160.77
Armenia,118301.06
Bélgica,195959744.49
Bután,9660.71
Bolivia,207206160.24
Bosnia y Herzegovina,896174.62
Bulgaria,5646077.74
Myanmar,7357334.94
Bielorrusia,5315367.84
Camboya,5793253.25
Camerún, República Unida del,104920.91
Canadá,242662339.26
Sri Lanka,5678465.08
Chad,83132.28
Chile,624174435.38
China,4583975291.07
Taiwán,279993867.78
Colombia,99324816.15
Comoras,12924.72
República del Congo,169266.06
República Democrática del Congo,1.49
Costa Rica,28487374.97
Croacia,539487.36
Cuba,3510746.14
Chipre,43337.61
República Checa,68108676.7
Dinamarca,136074847.45
Dominica,40370.97
República Dominicana,2143283.73
Ecuador,107867139.15
El Salvador,223716.74
Etiopía,12312.54
Estonia,936835
Fiji,3106.8
Finlandia,105552967.46
Francia,775069323.4
Djibouti,13.6
Gabón,115030.64
Georgia,35483.84
Gambia,1724.7
Alemania,1932507890.74
Ghana,207077.25
Gibraltar,2.8
Grecia,3957515.17
Guatemala,2573496.84
Haití,48372.15
Honduras,105037.37
Hong Kong,19146628.81
Hungría,45862621.56
Islandia,370153.52
India,354077402.63
Indonesia,169435584.82
Irán, República Islámica del,8540344.33
Irlanda (Eire),108390315.74
Israel,83567149.26
Italia,822638055.74
Costa de Marfil,724843.42
Jamaica,12812.29
Japón,879120831.679999
Kazajistán,22238614.06
Jordania,208009.05
Kenia,336633.65
Corea (Sur), República de,582687349.36
Kuwait,1526.14
Kirguizistán,76327.91
Laos, República Popular Democrática de,174093.45
Líbano,1719844.95
Letonia,49899150.89
Libia,14.68
Liechtenstein,1040354.79
Lituania,985763.05
Luxemburgo,7495714.11
Macao,381517.07
Madagascar,869756.01
Malawi,3979285.55
Malasia,274225507.61
Malí,647.06
Malta,1420821.72
Mauritania,59262.74
Mauricio,143762.46
México,1122305537.39
Mónaco,857982.72
Mongolia,666.59
Moldavia,32043.89
Marruecos,51785008.99
Mozambique,524629.8
Omán,77668.82
Namibia,2086.06
Nepal,113008.38
Países Bajos,220304563.35
Aruba,810144.39
Vanuatu,3527.07
Nueva Zelanda,12984866.04
Nicaragua,19805.23
Níger,136.65
Nigeria,985929.22
Noruega,24531455.44
Palau, Islas,162.2
Pakistán,36222019.25
Panamá,109277.99
Papúa Nueva Guinea,18890.92
Perú,64916698.46
Filipinas,55602673.11
Polonia,61560705.48
Portugal,63820259.17
Puerto Rico,56983792.52
Qatar,172320.06
Rumania,17170549.78
Rusia,97320930.37
San Cristóbal y Nieves,512039.74
Santa Lucía,4583.84
San Marino,308731.69
Santo Tomé y Príncipe,34.72
Arabia Saudita,1824770.85
Senegal,2170.01
Serbia,390337.86
Seychelles,59374.6
Sierra Leona,606866.34
Singapur,104394362.29
Eslovaquia,40138045.26
Vietnam,72889721.04
Eslovenia,8006550.78
Somalia,11905.51
Sudáfrica, República de,89554411.73
España,757578383.98
Surinam,3142850.52
Suecia,245436487.42
Suiza,391627620.6
Siria, República Arabe de,450148.76
Tadjikistán,5
Tailandia,395591109.8
Tonga,1660.65
Trinidad y Tobago,220549451.31
Emiratos Arabes Unidos,2669251.69
Tunicia,7407238.43
Turquía,89156373.73
Ucrania,18144884.89
Macedonia,4163341.31
Egipto,48614119.49
Reino Unido,362144886.89
Tanzania, República Unida de,10994.88
Estados Unidos,4892869922.03
Burkina Faso,100.8
Uzbekistán,12457.76
Venezuela,13865373.83
Zambia,20643.92
N/D,1907938191
