"Category","Total"
Afganistán,3.8
Albania,145773.3
Argelia,52762.33
Andorra,6.16
Angola,1582.35
Azerbaiján,13945
Australia,299626612.45
Austria,166276403.86
Bahamas,4141620.89
Bahrein,15017529.57
Bangladesh,6339756.13
Armenia,459.36
Bélgica,282118128.98
Bolivia,339893958.92
Bosnia y Herzegovina,696622.88
Bulgaria,9943620.76
Myanmar,7176761.14
Bielorrusia,24420055.18
Camboya,6217593.6
Camerún, República Unida del,62134.39
Canadá,391867442.64
Sri Lanka,7371875.18
Chad,23997.32
Chile,831780319.77
China,7131788039.35
Taiwán,420845309.9
Colombia,137001704.21
Comoras,6069.83
República del Congo,525396.81
República Democrática del Congo,24.61
Costa Rica,33641911.5
Croacia,1008897.82
Cuba,11656865.07
Chipre,39535.14
República Checa,133043344.5
Dinamarca,136306754.03
Dominica,1600.37
República Dominicana,2600286.05
Ecuador,124420460.22
El Salvador,268137.18
Etiopía,386081.36
Estonia,2485840.98
Fiji,12510.65
Finlandia,151597714.46
Francia,1474806850.61
Gabón,318863.41
Georgia,19766.98
Territorios Autónomos de Palestina,67587.54
Alemania,3108891079.15
Ghana,115065.09
Gibraltar,2287.05
Grecia,4257727.6
Guatemala,4686942.72
Guinea,393.92
Haití,76434.06
Honduras,103870.89
Hong Kong,27125773.9
Hungría,70004903.92
Islandia,1387564.51
India,537036968.52
Indonesia,294727976.93
Irán, República Islámica del,21316907.08
Irak,8214.46
Irlanda (Eire),169232850.31
Israel,123132760.05
Italia,1253796284.24
Costa de Marfil,1427998.48
Jamaica,8637.35
Japón,1142793945.09
Kazajistán,16140145.64
Jordania,373974.11
Kenia,234474.75
Corea (Sur), República de,906452613.15
Kuwait,1818255.29
Kirguizistán,5154.98
Laos, República Popular Democrática de,18690.66
Líbano,633566.98
Letonia,75195663.65
Libia,6982128.55
Liechtenstein,1473285.46
Lituania,20527551.45
Luxemburgo,4414550.23
Macao,52559.22
Madagascar,424535.09
Malawi,1234785.69
Malasia,311591594.69
Malí,772.2
Malta,7452112.11
Mauritania,29988.57
Mauricio,203429.87
México,1747504671.84
Mónaco,863015.71
Moldavia,3532.29
Montenegro,165.29
Marruecos,92526655.63
Mozambique,1693625.6
Omán,9914189.31
Namibia,1099.26
Nepal,149978.2
Países Bajos,370511040.64
Vanuatu,1132.82
Nueva Zelanda,12343629.26
Nicaragua,165816.4
Níger,464.98
Nigeria,2512655.14
Noruega,63885881.31
Pakistán,46553167.87
Panamá,560428.43
Papúa Nueva Guinea,907.4
Perú,115094087.69
Filipinas,56449094.17
Polonia,114959870.43
Portugal,89974689.77
Puerto Rico,66911034.33
Qatar,66481520.38
Rumania,21670992.09
Rusia,356903997.46
San Cristóbal y Nieves,239528.25
Santa Lucía,5099.46
San Vicente y las Granadinas,1968.69
San Marino,112575.97
Arabia Saudita,25468910.2
Senegal,4768.2
Serbia,597996.35
Seychelles,15196.02
Sierra Leona,180305.37
Singapur,158585777.45
Eslovaquia,64124121.3
Vietnam,104216784.32
Eslovenia,10242073.84
Somalia,34448.95
Sudáfrica, República de,125429407.52
Zimbabwe,1278814.32
España,978452918.080001
Suecia,202750482.84
Suiza,473467203.53
Siria, República Arabe de,892735.87
Tadjikistán,3002.57
Tailandia,608433443.52
Trinidad y Tobago,481603378.18
Emiratos Arabes Unidos,13325270.86
Tunicia,34311361.61
Turquía,163396684.15
Uganda,3.8
Ucrania,55973929.1
Macedonia,1694570.27
Egipto,28481951.59
Reino Unido,469991689.01
Tanzania, República Unida de,2506.86
Estados Unidos,5752661670
Uzbekistán,28256.64
Venezuela,19414947.68
Zambia,24488.34
N/D,2561432420.64
