"Category","Total"
Albania,6254145.68
Argelia,1095321247.38
Andorra,45063.96
Angola,38192166.39
Antigua y Barbuda,239713.69
Azerbaiján,1421919.96
Australia,567302085.31
Austria,6193739.41
Bahamas,17887609.31
Bahrein,3326525.47
Bangladesh,456241906.88
Barbados,401249.09
Bélgica,250523188.68
Bolivia,522508690.2
Bosnia y Herzegovina,3637333.49
Belice,805203.44
Bulgaria,36706056.74
Myanmar,15913676.96
Bielorrusia,87130174.17
Camboya,5759613.59
Camerún, República Unida del,48757179.9
Canadá,438529271.35
Cabo Verde,898833.7
Sri Lanka,4381558.97
Chile,2883714205.39
China,5237047104.91
Taiwán,187053179.68
Colombia,586711441.54
Comoras,107560
República del Congo,18980351.11
República Democrática del Congo,16684893.75
Costa Rica,81773108.47
Croacia,24265038.43
Cuba,273731230.75
Chipre,31690587.01
República Checa,19670268.04
Benin,1255076.65
Dinamarca,195993390.17
República Dominicana,108982082.47
Ecuador,212222560.61
El Salvador,30143548.22
Guinea Ecuatorial,2070890.38
Etiopía,38150685.14
Estonia,1399564.64
Finlandia,6238392.66
Francia,360036980.39
Djibouti,1727966.5
Gabón,5223307.83
Georgia,10834217.9
Gambia,5304721.72
Territorios Autónomos de Palestina,867220.94
Alemania,722519302.37
Ghana,52853983.44
Grecia,175291189.37
Granada,209172.26
Guatemala,124578365.01
Guinea,1141492.72
Guyana,4284527.14
Haití,7335786.78
Honduras,41346607.47
Hong Kong,152179977.15
Hungría,9016367.67
Islandia,2127806.71
India,2507338516.37
Indonesia,1317712823.87
Irán, República Islámica del,302110151.32
Irak,296719830.95
Irlanda (Eire),422203866.97
Israel,286617105.92
Italia,814874781.41
Costa de Marfil,49290852
Jamaica,4298061.51
Japón,317166956.27
Kazajistán,13413489.5
Jordania,205451500.73
Kenia,129490135.87
Corea (Sur), República de,691225977.01
Kuwait,45579672.53
Líbano,101704130.79
Letonia,75870556.62
Liberia,1517107.75
Libia,39538208.9
Lituania,36009861.9
Luxemburgo,25662.27
Madagascar,836925.35
Malasia,945272898.72
Maldivas,88037.39
Malí,2017674.96
Malta,786360.45
Mauritania,380749.44
Mauricio,50578822.72
México,437808106.22
Mongolia,1344370.95
Moldavia,1956120.28
Montenegro,1130821.62
Marruecos,487727935.96
Mozambique,114630969.02
Omán,63031817.96
Nepal,2972571.54
Países Bajos,1591976865.13
Curazao,6288012.15
Aruba,1338743.5
San Martín (Parte holandesa),798206.04
Nueva Zelanda,156956718.57
Nicaragua,43950461.88
Níger,1491834.1
Nigeria,118129915.16
Noruega,23257887.26
Pakistán,124425694.26
Panamá,148541168.54
Perú,1377712942.28
Filipinas,215670740.02
Polonia,576342564.13
Portugal,84669788.96
Puerto Rico,41975638.26
Qatar,32042601.71
Rumania,57743675.69
Rusia,610481654.86
Santa Lucía,108754.38
Arabia Saudita,957847068.89
Senegal,79691265.32
Serbia,6390766.12
Sierra Leona,739655.07
Singapur,60202850.96
Eslovaquia,16566307.96
Vietnam,2850870046.7
Eslovenia,7715182.22
Somalia,184773.99
Sudáfrica, República de,340088963.56
España,1102114178.66
Sudan,2706422.02
Surinam,663567.07
Suecia,27202796.71
Suiza,1020723260.39
Siria, República Arabe de,67826430.45
Tailandia,414530372.06
Togo,6826708.82
Trinidad y Tobago,14702303.62
Emiratos Arabes Unidos,541587168.11
Tunicia,106346840.35
Turquía,517649340.02
Uganda,30905549.9
Ucrania,30422304.3
Macedonia,6581826.34
Egipto,1171801865.65
Reino Unido,625087046.32
Tanzania, República Unida de,276358.37
Estados Unidos,3262797725.67
Islas Vírgenes de los Estados Unidos,1532106.62
Uzbekistán,274928.31
Venezuela,103952745.08
Yemen,215266214.07
Zambia,216729.69
N/D,1142771863.83
