"Category","Total"
Argelia,413373
Andorra,15335
Australia,42340955
Austria,34638891
Bahamas,429120
Bahrein,242
Bangladesh,968792
Barbados,51021
Bélgica,78131068
Bolivia,14678661
Bosnia y Herzegovina,162315
Bulgaria,1358535
Myanmar,863602
Bielorrusia,101905
Camboya,70546
Camerún, República Unida del,322
Canadá,60354281
Sri Lanka,2031839
Chile,164130571
China,307985881
Taiwán,56765450
Colombia,15172560
Comoras,1853
República del Congo,4296136
Costa Rica,2088733
Croacia,812667
Cuba,1082842
Chipre,129011
República Checa,12130553
Dinamarca,42479121
Dominica,28
República Dominicana,405814
Ecuador,18224910
El Salvador,50538
Etiopía,527
Estonia,31776
Finlandia,29330023
Francia,247988930
Georgia,268372
Alemania,528552170
Ghana,70525
Grecia,3767748
Granada,482750
Guatemala,292476
Guyana,57350
Haití,11454
Honduras,630
Hong Kong,10936235
Hungría,8373494
Islandia,1128201
India,85134081
Indonesia,31266907
Irán, República Islámica del,14825
Irlanda (Eire),29812427
Israel,24941244
Italia,297413163
Costa de Marfil,740308
Jamaica,15205
Japón,294373090
Kazajistán,1491336
Jordania,5712
Kenia,201950
Corea (Sur), República de,64666467
Kuwait,2962720
Kirguizistán,17248
Laos, República Popular Democrática de,106
Líbano,468
Letonia,25197840
Libia,20520
Liechtenstein,133698
Lituania,6215023
Luxemburgo,3801003
Macao,337611
Madagascar,48729
Malawi,1063134
Malasia,40334397
Malta,393044
Mauritania,6829
Mauricio,13101
México,148582348
Mónaco,347108
Mongolia,12
Marruecos,10330080
Mozambique,2279727
Omán,24177
Namibia,109723
Nepal,173
Países Bajos,70147570
Nueva Zelanda,6326241
Nicaragua,1541
Níger,50
Nigeria,19131778
Noruega,10063861
Marianas del Norte, Islas,330
Pakistán,4631302
Panamá,472397
Perú,13120832
Filipinas,7549453
Islas Pitcairn,363
Polonia,11277601
Portugal,28364620
Timor Leste,151784
Puerto Rico,15388575
Qatar,3
Rumania,5185661
Rusia,67590527
Ruanda,10
San Marino,684113
Arabia Saudita,9486121
Senegal,2511
Sierra Leona,50
Singapur,26312723
Eslovaquia,3003253
Vietnam,2359461
Eslovenia,2163117
Sudáfrica, República de,30587780
Zimbabwe,579915
España,292172530
Surinam,24780
Suecia,54143078
Suiza,116186921
Siria, República Arabe de,247323
Tailandia,24863955
Trinidad y Tobago,2854895
Emiratos Arabes Unidos,2259543
Tunicia,8626108
Turquía,7297423
Uganda,187033
Ucrania,5773057
Macedonia,1255413
Egipto,1495671
Reino Unido,186234573
Estados Unidos,1692126943
Islas Vírgenes de los Estados Unidos,587
Burkina Faso,4
Venezuela,6212262
Zambia,117447
N/D,221075009
