"Category","Total"
Albania,4640837.48
Argelia,1597328312.72
Angola,132021674.08
Antigua y Barbuda,326777.35
Azerbaiján,1662147.11
Australia,646649398.07
Austria,11703377.75
Bahamas,35139979.55
Bahrein,12561540.69
Bangladesh,742899749.29
Armenia,919534.98
Barbados,1023064.46
Bélgica,492034394.52
Bolivia,543456809.99
Bosnia y Herzegovina,22165411.83
Belice,1107284.37
Bulgaria,23255444.22
Myanmar,39958727.77
Burundi,3442210
Bielorrusia,63535325.18
Camboya,7046863.53
Camerún, República Unida del,134015277.57
Canadá,874111387.4
Sri Lanka,3044509.77
Chile,5019868878.04
China,7928765039.88
Taiwán,437059453.84
Colombia,1426405351.55
República del Congo,70461219.91
República Democrática del Congo,33557819.41
Costa Rica,149858561.57
Croacia,45698934.3
Cuba,243823062.51
Chipre,48932713.04
República Checa,18229868.84
Benin,5147065.13
Dinamarca,133982969.94
República Dominicana,507621104.55
Ecuador,649845051.25
El Salvador,68335216.18
Guinea Ecuatorial,1629601.6
Etiopía,21761489.21
Estonia,6198862.96
Fiji,57738.77
Finlandia,10199325.37
Francia,477910621.15
Djibouti,834770
Gabón,5191494.51
Georgia,21189930.5
Gambia,11558409.05
Territorios Autónomos de Palestina,2166100.4
Alemania,887391021.61
Ghana,123379428.69
Grecia,257888246.87
Granada,272071.27
Guatemala,302325908.67
Guinea,7001929.19
Guyana,5331628.5
Haití,23318900.79
Honduras,94574343.45
Hong Kong,85865554.28
Hungría,8087072.72
Islandia,2916904.15
India,4542503306.4
Indonesia,2105086018.12
Irán, República Islámica del,626560518.08
Irak,334744824.81
Irlanda (Eire),561867570.09
Israel,401205883.13
Italia,1064997131.29
Costa de Marfil,133344033.72
Jamaica,33856238.35
Japón,794564190.92
Kazajistán,5513848.53
Jordania,304443194.04
Kenia,151304074.36
Corea (Sur), República de,2017783824.2
Kuwait,64337898.21
Líbano,107050769.06
Letonia,214685141.16
Liberia,2697596.98
Libia,162382595.86
Lituania,40288317.57
Madagascar,13013008.41
Malasia,1490832489.1
Maldivas,501619.59
Malí,15988606.01
Malta,1057418.96
Mauritania,61325265.51
Mauricio,80237100.41
México,1116947033.21
Mongolia,2955592.41
Moldavia,3512367.73
Montenegro,650116.96
Marruecos,943937646.53
Mozambique,249159167.55
Omán,170900060.37
Namibia,304301.52
Nepal,7379710.98
Países Bajos,3566770755.45
Curazao,9537313.61
Aruba,1500631.62
San Martín (Parte holandesa),802482.21
Bonaire, San Eustatius y Saba,105255880.1
Nueva Zelanda,210353306.53
Nicaragua,128354592.63
Níger,2884477.77
Nigeria,279322417.74
Noruega,17862159.98
Pakistán,235830644.03
Panamá,220050011.1
Perú,2438979397.05
Filipinas,519681881.45
Polonia,919870679.75
Portugal,181186341.79
Puerto Rico,84472450.54
Qatar,41129859.53
Rumania,59091473.35
Rusia,498405053.69
Santa Lucía,175236.57
Arabia Saudita,1184568596.73
Senegal,228791318.99
Serbia,7703631.07
Sierra Leona,374994.52
Singapur,112008020.3
Eslovaquia,9839785.32
Vietnam,3222762261.33
Eslovenia,24309883.07
Sudáfrica, República de,460707978.08
España,1735099835.49
Sudan,310071.05
Surinam,2350029.53
Suecia,38750988.45
Suiza,1089068918.06
Siria, República Arabe de,57773382.51
Tailandia,344603583.44
Togo,6572132
Trinidad y Tobago,19334512.38
Emiratos Arabes Unidos,951015761.3
Tunicia,214206797.07
Turquía,711283354.35
Uganda,42118337.29
Ucrania,19220771.27
Macedonia,6198796.64
Egipto,928195501.27
Reino Unido,683605257.58
Tanzania, República Unida de,57693871.52
Estados Unidos,6616341326.66
Burkina Faso,289285.28
Uzbekistán,744764.54
Venezuela,227340082.99
Yemen,290679036.12
N/D,1759974686.44
