"Category","Total"
Afganistán,44591.92
Albania,265648.3
Argelia,16169905.25
Andorra,28528.55
Angola,6471670.65
Antigua y Barbuda,357.68
Azerbaiján,42940
Australia,264379478.52
Austria,194397350.6
Bahamas,4587803.76
Bahrein,6870440.35
Bangladesh,16841103.74
Armenia,77572.99
Barbados,13327.98
Bélgica,348270360.73
Bolivia,1241088554.59
Bosnia y Herzegovina,686790.28
Salomón, Islas,596.13
Brunei Darussalam,70.39
Bulgaria,38090118.85
Myanmar,6069375.64
Burundi,3896.85
Bielorrusia,10675810.97
Camboya,15755391.84
Camerún, República Unida del,171523.73
Canadá,628446809.77
República Centroafricana,1046.25
Sri Lanka,12043350.91
Chad,0.93
Chile,793194049.28
China,11677951668.25
Taiwán,425200457.17
Colombia,219004359.77
Comoras,71029.27
República del Congo,4144.78
República Democrática del Congo,1728.47
Costa Rica,16948262.31
Croacia,3550021.27
Cuba,5835651.07
Chipre,141191.72
República Checa,173843789.86
Dinamarca,181890955.44
Dominica,6138.5
República Dominicana,3670633.94
Ecuador,262361398.01
El Salvador,536312.17
Guinea Ecuatorial,137564484.57
Etiopía,60023.52
Estonia,8899886.22
Fiji,21836
Finlandia,239237514.53
Francia,1305497541.74
Djibouti,13740
Gabón,924175.27
Georgia,114701.04
Gambia,647.19
Territorios Autónomos de Palestina,69150
Alemania,3142180899.91
Ghana,117529.94
Gibraltar,25.84
Grecia,20137983.75
Granada,439377.24
Guatemala,2210254.91
Guinea,14223232.5
Guyana,12978.42
Haití,147606.74
Vaticano, Ciudad del,46637.61
Honduras,10585002.79
Hong Kong,13935345.53
Hungría,304911121.7
Islandia,944213.41
India,782279096.15
Indonesia,329002186.35
Irán, República Islámica del,4392122.13
Irak,3553.99
Irlanda (Eire),221288091.45
Israel,139614293.29
Italia,1627128462.59
Costa de Marfil,13317656.12
Jamaica,112549.34
Japón,1026702518.87
Kazajistán,1977314.15
Jordania,1952866.14
Kenia,134068.94
Corea (Sur), República de,790020492.4
Kuwait,12672745.16
Kirguizistán,2714.83
Laos, República Popular Democrática de,317732.65
Líbano,276192.68
Lesotho,5535.8
Letonia,5977320.06
Liberia,44.55
Libia,3694016.82
Liechtenstein,1435942.11
Lituania,15386064.3
Luxemburgo,11951934.55
Macao,229367.01
Madagascar,853095.6
Malawi,58077.1
Malasia,305667452.05
Maldivas,2478.66
Malí,2577.22
Malta,1809758.27
Mauritania,57.8
Mauricio,565602.58
México,2023273596.59
Mónaco,385002.86
Moldavia,57914.73
Montenegro,2340.75
Marruecos,123253099.14
Mozambique,2812845.47
Omán,30178092.45
Namibia,13.61
Nepal,534912.73
Países Bajos,466346937.32
Nueva Zelanda,16040770.21
Nicaragua,315631.43
Níger,10.71
Nigeria,445843608.7
Noruega,38556193.94
Marianas del Norte, Islas,2161.83
Pakistán,43188286.64
Panamá,177822.94
Papúa Nueva Guinea,87962.02
Perú,146731817.15
Filipinas,132138914.57
Islas Pitcairn,5832.18
Polonia,254519141.64
Portugal,112687113.62
Puerto Rico,47122469.16
Qatar,395152497.79
Rumania,74281294.09
Rusia,313575127.89
Ruanda,2337.02
San Cristóbal y Nieves,9699.5
Santa Lucía,219.29
San Marino,551980.93
Santo Tomé y Príncipe,1845.42
Arabia Saudita,87138339.46
Senegal,9648430.17
Serbia,7631194.42
Seychelles,63928
Sierra Leona,62828.52
Singapur,114032598.33
Eslovaquia,67875775.51
Vietnam,602251120.47
Eslovenia,24283224.45
Somalia,9974.44
Sudáfrica, República de,179045142.94
Zimbabwe,651315.72
España,1377418194.88
Sudan,402425.76
Surinam,1269.7
Swasilandia,7032.14
Suecia,433367151.71
Suiza,567098328.78
Siria, República Arabe de,2980.18
Tailandia,1219130943.13
Togo,11.32
Trinidad y Tobago,151047211.55
Emiratos Arabes Unidos,45130206.41
Tunicia,7620660.85
Turquía,198294535
Turkmenistán,29936.85
Tuvalu,484.52
Uganda,2436.52
Ucrania,16279060.46
Macedonia,193074.84
Egipto,32121841.8
Reino Unido,485051968.53
Tanzania, República Unida de,298093.13
Estados Unidos,7261107637.84999
Islas Vírgenes de los Estados Unidos,1209.01
Uzbekistán,162521.1
Venezuela,13377460.85
Samoa,0.29
Yemen,17693.24
Zambia,70860.38
N/D,725625871.64
