"Category","Total"
Afganistán,165000
Albania,4117085
Argelia,207961615
Andorra,48025
Angola,64102644
Antigua y Barbuda,57791
Azerbaiján,117638
Australia,115919397
Austria,7895368
Bahamas,1493743
Bahrein,8724161
Bangladesh,140422001
Armenia,399889
Barbados,908511
Bélgica,232327491
Bolivia,242072741
Bosnia y Herzegovina,835894
Botswana,11509
Belice,2109070
Brunei Darussalam,426948
Bulgaria,22379670
Myanmar,60692
Bielorrusia,852862
Camboya,178062
Camerún, República Unida del,1885917
Canadá,214256808
Cabo Verde,233630
Sri Lanka,891488
Chad,510033
Chile,3537586973
China,2483056827
Taiwán,125918235
Colombia,226551928
República del Congo,21934553
República Democrática del Congo,473490
Costa Rica,35456037
Croacia,8232469
Cuba,23239951
Chipre,24924215
República Checa,19482270
Benin,1924567
Dinamarca,259569233
Dominica,216788
República Dominicana,69664649
Ecuador,135757831
El Salvador,19008762
Guinea Ecuatorial,774832
Etiopía,10476
Estonia,4058327
Fiji,1991449
Finlandia,81141374
Francia,329963656
Djibouti,48607
Gabón,5438454
Georgia,516143
Gambia,988228
Territorios Autónomos de Palestina,102963
Alemania,719297425
Ghana,10368983
Grecia,116972685
Granada,394256
Guatemala,75165102
Guinea,250625
Guyana,1476792
Haití,12035305
Honduras,9826690
Hong Kong,97757459
Hungría,10194412
Islandia,234820
India,558493095
Indonesia,73571792
Irán, República Islámica del,46506352
Irak,15446678
Irlanda (Eire),68623031
Israel,99707915
Italia,930663308
Costa de Marfil,3594979
Jamaica,5128756
Japón,347107701
Kazajistán,51747
Jordania,72165181
Kenia,7365936
Corea (Sur), República de,444724943
Kuwait,26143433
Líbano,31078701
Letonia,4472238
Liberia,5521434
Libia,21776726
Liechtenstein,7411
Lituania,10518692
Luxemburgo,462055
Madagascar,4464012
Malawi,123564
Malasia,216281481
Maldivas,6205
Malí,450935
Malta,2778893
Mauritania,291530
Mauricio,20704535
México,796309311
Mónaco,7513
Mongolia,218926
Moldavia,99996
Marruecos,175275538
Mozambique,18593395
Omán,35054791
Namibia,160042
Nepal,2399904
Países Bajos,1096731520
Aruba,3665501
Nueva Zelanda,11012180
Nicaragua,7023425
Níger,2262013
Nigeria,70206512
Noruega,13704099
Marianas del Norte, Islas,9363
Pakistán,55222556
Panamá,56744508
Papúa Nueva Guinea,31054
Perú,415114712
Filipinas,241785212
Polonia,127682701
Portugal,136172979
Guinea - Bissau,268390
Puerto Rico,109611650
Qatar,12117785
Rumania,15590720
Rusia,199601346
San Cristóbal y Nieves,69216
Santa Lucía,1033494
San Vicente y las Granadinas,69847
San Marino,60585
Arabia Saudita,136948774
Senegal,15054292
Seychelles,2415
Sierra Leona,1031001
Singapur,9769685
Eslovaquia,722103
Vietnam,137123099
Eslovenia,14044933
Sudáfrica, República de,333553632
Zimbabwe,1995948
España,1388273923
Surinam,2354926
Swasilandia,157821
Suecia,70449127
Suiza,22027579
Siria, República Arabe de,132642992
Tadjikistán,705870
Tailandia,431413070
Togo,1262474
Trinidad y Tobago,16039480
Emiratos Arabes Unidos,184508670
Tunicia,101207311
Turquía,167454341
Uganda,258733
Ucrania,11735048
Macedonia,822981
Egipto,447086900
Reino Unido,384427339
Tanzania, República Unida de,2167541
Estados Unidos,3364011854
Islas Vírgenes de los Estados Unidos,16239
Burkina Faso,62779
Uzbekistán,1829210
Venezuela,139752819
Yemen,38467978
Zambia,451452
N/D,368817080
